5.188.124.253    #AS202422  5.188.124.0/24     LU   GHOST - G-Core Labs S.A., LU
13.211.217.77    #AS16509   13.210.0.0/15      US   AMAZON-02 - Amazon.com, Inc., US
23.94.28.177     #AS36352   23.94.28.0/22      US   AS-COLOCROSSING - HostPapa, US
23.95.186.165    #AS36352   23.95.184.0/22     US   AS-COLOCROSSING - HostPapa, US
35.203.210.136   #AS396982  35.203.210.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.203.211.93    #AS396982  35.203.211.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
45.43.62.77      #AS135377  45.43.62.0/24      US   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
45.95.170.170    #AS211619  45.95.170.0/24     HR   MAXKO - MAXKO d.o.o., HR
45.112.149.170   #AS134039  45.112.149.0/24    IN   IBUSVNS-AS-IN - Ibus Virtual Network Services Private Limited, IN
46.101.147.100   #AS14061   46.101.128.0/17    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
51.161.174.64    #AS16276   51.161.128.0/17    CA   OVH - OVH SAS, FR
54.206.185.27    #AS16509   54.206.128.0/17    US   AMAZON-02 - Amazon.com, Inc., US
64.62.156.22     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.77     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.89     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.185    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.199    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.224    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
65.49.1.26       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.73       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.107      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.119      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.166      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.208      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.224      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.20.71      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
66.132.172.117   #AS398324  66.132.172.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.228.41.127    #AS63949   66.228.32.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
69.5.169.41      #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
71.6.233.154     #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
71.6.233.159     #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
80.82.77.139     #AS202425  80.82.77.0/24      NL   INT-NETWORK - IP Volume inc, SC
80.94.92.16      #AS47890   80.94.92.0/24      RO   UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB
85.217.140.47    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
94.154.35.40     #AS202412  94.154.35.0/24     UA   OMEGATECH-AS - Omegatech LTD, SC
94.154.43.51     #AS219502  94.154.43.0/24     UA   STORMCLOUD-AS - Storm Industries LLC, US
94.154.43.196    #AS219502  94.154.43.0/24     UA   STORMCLOUD-AS - Storm Industries LLC, US
94.154.43.213    #AS219502  94.154.43.0/24     UA   STORMCLOUD-AS - Storm Industries LLC, US
116.202.209.92   #AS24940   116.202.0.0/16     DE   HETZNER-AS - Hetzner Online GmbH, DE
134.199.160.176  #AS14061   134.199.160.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
138.252.100.192  #AS152565  138.252.100.0/24   IN   JOYSVC-AS-IN - JOY SERVICES, IN
147.185.133.48   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
150.136.12.171   #AS31898   150.136.0.0/16     US   ORACLE-BMC-31898 - Oracle Corporation, US
154.90.70.254    #AS215925  154.90.70.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
167.71.52.31     #AS14061   167.71.48.0/20     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
168.220.234.138  #AS151734  168.220.234.0/24   IN   WEBYNEDC-AS-IN - WEBYNE DATA CENTRE PRIVATE LIMITED, IN
169.58.45.48     #AS51167   169.58.0.0/17      DE   CONTABO - Contabo GmbH, DE
170.64.207.205   #AS14061   170.64.192.0/19    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
176.65.148.147   #AS51396   176.65.148.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
184.105.139.99   #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
185.107.80.93    #AS43350   185.107.80.0/22    NL   NFORCE - NForce Entertainment B.V., NL
192.158.140.24   #AS23470   192.158.140.0/24   US   RELIABLESITE - ReliableSite.Net LLC, US
194.180.48.41    #AS201814  194.180.48.0/24    BG   Mevspace - MEVSPACE sp. z o.o., PL
202.112.47.54    #AS4538    202.112.0.0/16     CN   ERX-CERNET-BKB - China Education and Research Network Center, CN
207.154.228.222  #AS14061   207.154.224.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
212.227.145.72   #AS8560    212.227.144.0/22   DE   IONOS-AS - IONOS SE, DE
216.218.206.72   #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
216.218.206.94   #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
216.218.206.125  #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
