1.11.88.114      #AS38091   1.11.88.0/21       KR   HELLONET-AS-KR-KR - LG HelloVision Corp., KR
1.28.148.201     #AS139007  1.28.148.0/22      CN   UNICOM-NM-WuLanChaBu-IDC - UNICOM InnerMongolia province network, CN
1.161.62.247     #AS3462    1.161.0.0/16       TW   HINET - Data Communication Business Group, TW
1.162.149.221    #AS3462    1.162.0.0/16       TW   HINET - Data Communication Business Group, TW
1.162.178.108    #AS3462    1.162.0.0/16       TW   HINET - Data Communication Business Group, TW
1.163.75.229     #AS3462    1.163.0.0/16       TW   HINET - Data Communication Business Group, TW
1.163.94.24      #AS3462    1.163.0.0/16       TW   HINET - Data Communication Business Group, TW
1.164.34.207     #AS3462    1.164.0.0/16       TW   HINET - Data Communication Business Group, TW
1.164.43.57      #AS3462    1.164.0.0/16       TW   HINET - Data Communication Business Group, TW
1.165.134.18     #AS3462    1.165.0.0/16       TW   HINET - Data Communication Business Group, TW
1.165.195.9      #AS3462    1.165.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.192.137    #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.199.8      #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.204.107    #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.217.50     #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.217.130    #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.239.166    #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.168.247.229    #AS3462    1.168.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.0.25       #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.88.35      #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.201.252    #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.210.69     #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.212.31     #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.217.5      #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.169.248.215    #AS3462    1.169.0.0/16       TW   HINET - Data Communication Business Group, TW
1.172.40.227     #AS3462    1.172.0.0/16       TW   HINET - Data Communication Business Group, TW
1.173.132.40     #AS3462    1.173.0.0/16       TW   HINET - Data Communication Business Group, TW
1.173.144.222    #AS3462    1.173.0.0/16       TW   HINET - Data Communication Business Group, TW
1.173.148.133    #AS3462    1.173.0.0/16       TW   HINET - Data Communication Business Group, TW
1.173.161.209    #AS3462    1.173.0.0/16       TW   HINET - Data Communication Business Group, TW
1.173.235.9      #AS3462    1.173.0.0/16       TW   HINET - Data Communication Business Group, TW
1.175.166.184    #AS3462    1.175.0.0/16       TW   HINET - Data Communication Business Group, TW
1.175.174.200    #AS3462    1.175.0.0/16       TW   HINET - Data Communication Business Group, TW
1.175.182.72     #AS3462    1.175.0.0/16       TW   HINET - Data Communication Business Group, TW
3.131.24.55      #AS16509   3.131.0.0/16       US   AMAZON-02 - Amazon.com, Inc., US
4.227.178.208    #AS8075    4.224.0.0/12       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8.211.162.45     #AS45102   8.211.160.0/19     SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
8.216.7.173      #AS45102   8.216.0.0/18       SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
14.46.10.118     #AS4766    14.40.0.0/13       KR   KIXS-AS-KR-KR - Korea Telecom, KR
14.157.19.115    #AS4134    14.144.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
18.189.74.1      #AS16509   18.189.0.0/16      US   AMAZON-02 - Amazon.com, Inc., US
18.217.208.51    #AS16509   18.216.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
18.221.179.104   #AS16509   18.220.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
20.14.78.253     #AS8075    20.0.0.0/11        US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.106.186.120   #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.127.245.101   #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.15.236    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.5.245     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.7.3       #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.7.10      #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.7.168     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.120.44    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.120.210   #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.121.45    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.122.36    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.91.108    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.104.49    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.107.206   #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.108.15    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.221.66.74     #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
27.35.89.63      #AS9319    27.35.89.0/24      KR   HCNCHUNGJU-AS-KR-KR - HCN CHUNGBUK CABLE TV SYSTEMS, KR
27.197.41.169    #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
27.200.147.58    #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
27.206.36.83     #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
27.207.26.174    #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
27.211.196.93    #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
27.212.253.166   #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
27.212.253.179   #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
