5.188.206.46     #AS200391  5.188.206.0/24     RU   KREZ999AS - KREZ 999 EOOD, BG
8.211.157.244    #AS45102   8.211.128.0/19     SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
38.145.199.204   #AS18978   38.145.198.0/23    US   ENZUINC-US - Enzu Inc, US
45.142.193.10    #AS214295  45.142.193.0/24    RO   SKYNET - SKYNET NETWORK LTD, GB
45.142.193.53    #AS214295  45.142.193.0/24    RO   SKYNET - SKYNET NETWORK LTD, GB
45.198.224.22    #AS215925  45.198.224.0/24    SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
46.151.178.13    #AS211443  46.151.178.0/24    NL   SINOWORLDWIDE - SINO WORLDWIDE TRADING LIMITED, HK
47.77.233.17     #AS45102   47.77.192.0/18     US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.250.95.71     #AS45102   47.250.64.0/18     US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.254.202.197   #AS45102   47.254.192.0/19    US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
60.205.235.109   #AS37963   60.205.128.0/17    CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
64.62.156.30     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.84     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.187    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.192    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.205    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.21     #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.54     #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.138    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.156    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.164    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.172    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.184    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.193    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.62.197.216    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
65.49.1.13       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.121      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.219      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
80.82.77.33      #AS202425  80.82.77.0/24      NL   INT-NETWORK - IP Volume inc, SC
89.248.167.131   #AS202425  89.248.167.0/24    NL   INT-NETWORK - IP Volume inc, SC
91.92.42.203     #AS209630  91.92.42.0/24      BG   KREDIT-AS - LLC VASH KREDIT BANK, UA
91.224.92.32     #AS209605  91.224.92.0/24     GB   hostbaltic - UAB Host Baltic, LT
93.123.72.166    #AS206264  93.123.72.0/24     SC   AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC
94.102.49.193    #AS202425  94.102.49.0/24     NL   INT-NETWORK - IP Volume inc, SC
106.75.171.105   #AS58466   106.75.160.0/20    CN   CT-Guangzhou-IDC - CHINANET Guangdong province network, CN
112.0.206.39     #AS56046   112.0.192.0/19     CN   CMNET-Jiangsu-AP - China Mobile communications corporation, CN
118.193.47.114   #AS135377  118.193.47.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
122.202.35.64    #AS10175   122.202.32.0/22    KR   HCNKUMHO-AS-KR-KR - Kumho Cable, KR
147.185.133.19   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.133.45   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.133.232  #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
165.154.164.92   #AS135377  165.154.164.0/24   HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
175.100.42.36    #AS38623   175.100.42.0/24    KH   VIETTELCAMBODIA-AS-AP - ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE., KH
176.65.139.31    #AS214472  176.65.139.0/24    DE   STORMINDUSTRIES - Offshore LC, US
176.65.139.126   #AS214472  176.65.139.0/24    DE   STORMINDUSTRIES - Offshore LC, US
176.65.148.20    #AS51396   176.65.148.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
180.149.125.209  #AS45204   180.149.112.0/20   MN   GEMNET-MN - GEMNET LLC, MN
180.149.125.236  #AS45204   180.149.112.0/20   MN   GEMNET-MN - GEMNET LLC, MN
184.105.139.103  #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
185.242.226.90   #AS202425  185.242.226.0/24   US   INT-NETWORK - IP Volume inc, SC
189.89.91.18     #AS262749  189.89.91.0/24     BR   AS262749 - Telecom Leopoldina LTDA, BR
192.109.200.204  #AS51396   192.109.200.0/24   BG   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
192.142.24.7     #AS60064   192.142.24.0/24    ZA   HOSTPALACE - HOSTPALACE DATACENTERS LTD, GB
192.142.24.39    #AS60064   192.142.24.0/24    ZA   HOSTPALACE - HOSTPALACE DATACENTERS LTD, GB
192.142.24.156   #AS60064   192.142.24.0/24    ZA   HOSTPALACE - HOSTPALACE DATACENTERS LTD, GB
195.178.110.204  #AS48090   195.178.110.0/24   BG   DMZHOST - TECHOFF SRV LIMITED, GB
200.106.160.81   #AS271252  200.106.160.0/24   BR   AS271252 - BHNET FIBRA TELECOMUNICACOES LTDA, BR
204.76.203.81    #AS51396   204.76.203.0/24    NL   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
206.223.228.197  #AS396356  206.223.228.0/24   US   LATITUDE-SH - Latitude.sh, US
209.38.20.237    #AS14061   209.38.16.0/20     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
216.25.89.93     #AS396982  216.25.89.0/24     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
216.180.246.215  #AS396982  216.180.246.0/24   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
216.218.206.97   #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
216.218.206.125  #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
