AS3356     IP: 4.79.142.206      PREFIX: 4.0.0.0/9            CC: US  DESC: LEVEL3 - Level 3 Parent, LLC, US
AS6205     IP: 104.247.189.50    PREFIX: 104.247.189.0/24     CC: TR  DESC: HIZLINET-TEKNOLOJI HIZLINET TEKNOLOJI A.S., TR
AS6939     IP: 64.62.156.18      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.21      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.36      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.37      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.40      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.55      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.68      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.87      PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.110     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.136     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.138     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.186     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.187     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.224     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.227     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.156.231     PREFIX: 64.62.128.0/18       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.13      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.21      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.23      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.24      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.34      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.50      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.82      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.88      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.91      PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.103     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.109     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.122     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.126     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.134     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.145     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.165     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.225     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.226     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 64.62.197.234     PREFIX: 64.62.128.0/17       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.26        PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.43        PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.91        PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.131       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.146       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.155       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.193       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.194       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.203       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.221       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.229       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.236       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.1.237       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.20.81       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.20.102      PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
