78.128.114.102   #AS50360   78.128.114.0/24    BG   TAMATIYA-AS - Tamatiya EOOD, BG
85.217.140.8     #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
91.92.47.252     #AS197170  91.92.47.0/24      BG   TECHTIES-AS - TechTies Inc., SC
115.189.240.4    #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.240.253  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.243.58   #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.243.116  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.244.38   #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.244.153  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.245.34   #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.245.173  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.245.201  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.246.168  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.248.170  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.249.81   #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.249.121  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.250.198  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.251.34   #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.251.222  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
147.185.132.10   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.21   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.76   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.88   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.159  #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
165.154.11.170   #AS135377  165.154.11.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
165.227.2.252    #AS14061   165.227.0.0/20     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
172.105.177.106  #AS63949   172.105.160.0/19   US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
194.180.48.41    #AS201814  194.180.48.0/24    BG   Mevspace - MEVSPACE sp. z o.o., PL
198.235.24.38    #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.78    #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.97    #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.132   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.184   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.193   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.208   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.219   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.241   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
