5.61.209.92      #AS206264  5.61.209.0/24      SC   AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC
35.203.210.233   #AS396982  35.203.210.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
43.228.157.9     #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
45.194.67.26     #AS215925  45.194.67.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.27     #AS215925  45.194.67.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.29     #AS215925  45.194.67.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.30     #AS215925  45.194.67.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.240     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.241     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.242     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.243     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.244     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.245     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.246     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.247     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
64.62.156.62     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.157    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
65.49.1.26       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.51       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.115      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.132      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.182      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
74.82.47.53      #AS6939    74.82.0.0/18       US   HURRICANE - Hurricane Electric LLC, US
78.128.114.174   #AS50360   78.128.114.0/24    BG   TAMATIYA-AS - Tamatiya EOOD, BG
91.230.168.165   #AS213412  91.230.168.0/24    FR   ONYPHE - ONYPHE SAS, FR
91.231.89.187    #AS213412  91.231.89.0/24     FR   ONYPHE - ONYPHE SAS, FR
151.243.11.230   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.232   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.233   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.234   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.235   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.236   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.237   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
172.94.9.74      #AS213790  172.94.9.0/24      US   LimitedNetwork-AS - Limited Network LTD, GB
172.105.177.106  #AS63949   172.105.160.0/19   US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
184.105.139.80   #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
184.105.247.203  #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
184.105.247.227  #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
185.136.15.77    #AS205997  185.136.15.0/24    KZ   Vlad_Cojuhari - Vlad Cojuhari, MD
185.242.3.226    #AS60223   185.242.3.0/24     NL   NETIFACE-AS - Netiface Limited, GB
194.180.48.41    #AS201814  194.180.48.0/24    BG   Mevspace - MEVSPACE sp. z o.o., PL
216.218.206.92   #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
216.218.206.104  #AS6939    216.218.128.0/17   US   HURRICANE - Hurricane Electric LLC, US
