31.58.68.0/24 #AS212348 FVM-NETWORK FIVEMSHIELD NETWORK, FR
67.236.16.0/20 #AS4283 CENTURYLINK-TSDS-LSVG CenturyLink Communications LLC, US
74.4.9.0/24 #AS4283 CENTURYLINK-TSDS-LSVG CenturyLink Communications LLC, US
184.0.28.0/23 #AS4283 CENTURYLINK-TSDS-LSVG CenturyLink Communications LLC, US
204.187.152.0/23 #AS18588 POSTM Postmedia Network Inc, CA
23.182.48.0/24 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
64.89.128.0/20 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
67.222.80.0/20 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
68.179.240.0/20 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
104.219.164.0/22 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
155.183.0.0/16 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
159.48.64.0/19 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
162.212.124.0/22 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
169.238.0.0/16 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
192.119.4.0/22 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
192.184.96.0/20 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
206.251.36.0/22 #AS54804 CSMIII-BUNKIELA CableSouth Media III LLC, US
178.23.248.0/24 #AS6836 LASTAMPA-AS GEDI News Network S.p.A., IT
178.23.251.0/24 #AS6836 LASTAMPA-AS GEDI News Network S.p.A., IT
178.23.252.0/24 #AS6836 LASTAMPA-AS GEDI News Network S.p.A., IT
178.23.254.0/24 #AS6836 LASTAMPA-AS GEDI News Network S.p.A., IT
66.133.64.0/21 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
69.28.108.0/24 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
69.28.116.0/24 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
192.132.8.0/24 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
199.21.152.0/21 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
199.96.112.0/22 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
208.92.0.0/21 #AS20419 NETBLK-DMRCOM DMR Communications Inc., US
23.129.192.0/24 #AS4138 FN-205-4138 FAL Networks, US
212.22.72.0/24 #AS209655 FIBERTEL LLC FIBERTEL, RU
104.37.84.0/22 #AS54456 CLOUDACCESS-NETWORK CloudAccess.net LLC, US
199.116.76.0/22 #AS54456 CLOUDACCESS-NETWORK CloudAccess.net LLC, US
185.17.20.0/22 #AS199362 WISH Wish Networks s.r.l., IT
185.144.120.0/22 #AS199362 WISH Wish Networks s.r.l., IT
216.10.32.0/20 #AS13793 T3VOICENET T3 VoiceNet LLC., US
204.10.64.0/24 #AS10487 SIMPLENET Simple Network Communications Inc, US
209.132.80.0/20 #AS10487 SIMPLENET Simple Network Communications Inc, US
209.132.96.0/19 #AS10487 SIMPLENET Simple Network Communications Inc, US
