130.87.0.0/16 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.153.112.0/24 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.153.114.0/24 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
202.13.192.0/19 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
197.154.0.0/16 #AS37467 ETHERNET Ethiopian Educational Research Network (EthERNet), ET
128.231.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
137.187.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
156.40.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
157.98.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
162.99.224.0/19 #AS3527 NIH-NET National Institutes of Health, US
165.112.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
192.231.145.0/24 #AS3527 NIH-NET National Institutes of Health, US
192.231.146.0/23 #AS3527 NIH-NET National Institutes of Health, US
204.203.92.0/24 #AS12204 SCN-NET SCN Research Inc., US
205.238.25.0/24 #AS12204 SCN-NET SCN Research Inc., US
205.238.26.0/23 #AS12204 SCN-NET SCN Research Inc., US
128.144.0.0/20 #AS542 ARNET Alberta Research Council, CA
208.87.4.0/22 #AS23176 BASICRESEARCH Basic Research LLC, US
192.106.196.0/23 #AS5502 NATO-SACLANT-UNDERSEA NATO SACLANT Undersea Research Centre, IT
198.182.157.0/24 #AS40722 CALARTS California Institute of the Arts, US
208.91.116.0/23 #AS40722 CALARTS California Institute of the Arts, US
208.91.118.0/24 #AS40722 CALARTS California Institute of the Arts, US
144.75.0.0/16 #AS14169 VMI-ASN Virginia Military Institute, US
103.90.79.0/24 #AS136304 IOPIRINN-AS Institute Of Physics Bhubaneswar, IN
24.235.8.0/23 #AS36599 SOFTETHER-AMERICA SoftEther Telecommunication Research Institute LLC, US
202.247.128.0/22 #AS36599 SOFTETHER-AMERICA SoftEther Telecommunication Research Institute LLC, US
219.100.37.0/24 #AS36599 SOFTETHER-AMERICA SoftEther Telecommunication Research Institute LLC, US
81.186.0.0/17 #AS8248 GR-EDUNET Computer Technology Institute and Press Diophantus, GR
81.186.128.0/18 #AS8248 GR-EDUNET Computer Technology Institute and Press Diophantus, GR
81.186.192.0/19 #AS8248 GR-EDUNET Computer Technology Institute and Press Diophantus, GR
194.63.160.0/19 #AS8248 GR-EDUNET Computer Technology Institute and Press Diophantus, GR
194.63.192.0/19 #AS8248 GR-EDUNET Computer Technology Institute and Press Diophantus, GR
194.63.224.0/20 #AS8248 GR-EDUNET Computer Technology Institute and Press Diophantus, GR
64.72.79.0/24 #AS12184 FORRESTER-RESEARCH Forrester Research, US
204.179.229.0/24 #AS12184 FORRESTER-RESEARCH Forrester Research, US
103.147.138.0/24 #AS140033 IITBHILAI-AS-AP INDIAN INSTITUTE OF TECHNOLOGY BHILAI, IN
63.251.236.0/24 #AS32831 RPCI-AS Roswell Park Cancer Institute, US
192.5.51.0/24 #AS32831 RPCI-AS Roswell Park Cancer Institute, US
91.90.209.0/24 #AS35658 BULAT-AS OOO SCIENTIFIC RESEARCH CENTER Bulat, RU
91.209.161.0/24 #AS208124 IR-NEGINNET Negin Narmafzar Asak Research and Information Cooperative Company, IR
185.160.205.0/24 #AS208124 IR-NEGINNET Negin Narmafzar Asak Research and Information Cooperative Company, IR
50.207.22.0/24 #AS63207 LBJI-ASN Lakeshore Bone & Joint Institute P.C., US
59.3.221.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
103.139.216.0/23 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
117.110.138.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
117.110.143.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
117.111.175.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
117.111.176.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
117.111.200.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
119.200.103.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
121.178.209.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
125.243.188.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
210.95.16.0/23 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
210.95.76.0/22 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
210.95.82.0/23 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
211.35.2.0/23 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
211.35.4.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
211.35.6.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
211.198.210.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
211.228.16.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
218.157.12.0/24 #AS38681 JNEINET-AS Jeollanamdo Educational Research Information Institute, KR
95.163.178.0/23 #AS212764 UNIWAGON-AS Public Joint Stock Company Research and production corporation United Wagon Company, RU
159.93.0.0/16 #AS2875 JINR-AS Joint Institute for Nuclear Research, RU
64.29.24.0/21 #AS36378 NYIT-AS New York Institute of Technology, US
64.35.176.0/20 #AS36378 NYIT-AS New York Institute of Technology, US
64.187.240.0/20 #AS36378 NYIT-AS New York Institute of Technology, US
216.37.96.0/20 #AS36378 NYIT-AS New York Institute of Technology, US
203.246.118.0/24 #AS17591 KRFNET-AS National Research Foundation of Korea, KR
203.252.27.0/24 #AS17591 KRFNET-AS National Research Foundation of Korea, KR
185.221.220.0/24 #AS62306 RO-8X8-AS 8x8 Research and Innovations SRL, RO
103.20.22.0/23 #AS24510 HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network, AU
103.20.48.0/24 #AS24510 HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network, AU
203.33.133.0/24 #AS24510 HOLMESGLEN-INSTITUTE-OF-TAFE-AP Optus Customer Network, AU
194.85.224.0/21 #AS3351 IOFFE-PHYSICAL-THECHICAL-INSTITUTE-AS Ioffe Physical-Technical Institute of the Russian Academy of Sciences, RU
194.85.236.0/23 #AS3351 IOFFE-PHYSICAL-THECHICAL-INSTITUTE-AS Ioffe Physical-Technical Institute of the Russian Academy of Sciences, RU
194.85.238.0/24 #AS3351 IOFFE-PHYSICAL-THECHICAL-INSTITUTE-AS Ioffe Physical-Technical Institute of the Russian Academy of Sciences, RU
203.253.227.0/24 #AS45984 DIRS-AS Dongnam Institute of Radiologycal Sciences, KR
203.253.228.0/23 #AS45984 DIRS-AS Dongnam Institute of Radiologycal Sciences, KR
23.144.148.0/24 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
130.184.47.0/24 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
147.97.8.0/24 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
147.97.12.0/22 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
147.97.16.0/21 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
147.97.30.0/23 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
159.150.4.0/22 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
161.31.0.0/16 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
198.181.214.0/24 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
198.181.240.0/24 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
208.90.104.0/21 #AS40581 AREON-AS Arkansas Research and Education Optical Network, US
165.101.81.0/24 #AS154001 IILM-IN INDIAN INSTITUTE OF LEGAL METROLOGY, IN
204.128.204.0/24 #AS19776 MIDPAC-ASN Mid-Pacific Institute, US
129.55.0.0/16 #AS63 LL-MI Massachusetts Institute of Technology, US
192.5.136.0/22 #AS63 LL-MI Massachusetts Institute of Technology, US
192.5.140.0/23 #AS63 LL-MI Massachusetts Institute of Technology, US
192.26.149.0/24 #AS63 LL-MI Massachusetts Institute of Technology, US
192.26.150.0/24 #AS63 LL-MI Massachusetts Institute of Technology, US
202.0.149.0/24 #AS139617 ISEAS-AS-AP ISEAS Yusof Ishak Institute, SG
103.164.74.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
103.164.166.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
103.164.168.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
103.180.128.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
130.34.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
130.153.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
131.206.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.7.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.8.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.12.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.14.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.16.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.20.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.23.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.29.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.30.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.32.100.0/22 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.34.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.37.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.38.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.44.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.46.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.48.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.52.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.54.0.0/18 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.54.64.0/21 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.54.76.0/22 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.54.80.0/20 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.54.96.0/19 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.54.128.0/17 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.55.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.57.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.58.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.60.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.62.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.65.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.68.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.72.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.74.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.77.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.78.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.81.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.82.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.84.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.86.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.88.224.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.88.226.0/24 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.89.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.94.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.96.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.98.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.102.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.104.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.106.0.0/21 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.187.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
133.220.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
134.160.186.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
134.160.188.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
136.187.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
144.213.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
147.157.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.7.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.9.254.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.12.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.15.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.22.0.0/22 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.42.0.0/15 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.46.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.54.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.59.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.69.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.83.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.84.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.86.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.89.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.97.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.99.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
150.100.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.1.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.6.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.7.0.0/19 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.13.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.16.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.17.0.0/19 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.19.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.63.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.76.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.80.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.102.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.105.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.111.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
157.114.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
158.203.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
158.208.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
158.210.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
158.215.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.11.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.12.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.15.0.0/16 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.18.2.0/24 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.18.100.0/24 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.18.128.0/24 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.18.136.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
160.18.148.0/23 #AS2907 SINET-AS Research Organization of Information and Systems National Institute of Informatics, JP
