131.225.0.0/16 #AS3152 FNAL-AS Fermi National Accelerator Laboratory (Fermilab), US
192.190.216.0/22 #AS3152 FNAL-AS Fermi National Accelerator Laboratory (Fermilab), US
198.49.208.0/24 #AS3152 FNAL-AS Fermi National Accelerator Laboratory (Fermilab), US
163.61.142.0/23 #AS153605 RRSLFBD REGIONAL REFERENCE STANDARDS LABORATORY, IN
128.15.0.0/16 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
128.115.0.0/16 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
134.9.88.0/21 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
134.9.96.0/19 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
134.9.128.0/17 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
192.5.99.0/24 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
192.12.17.0/24 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
192.12.133.0/24 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
192.12.134.0/24 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
192.188.35.0/24 #AS45 LLL-TIS-AS Lawrence Livermore National Laboratory, US
130.202.0.0/16 #AS683 ARGONNE-AS Argonne National Laboratory, US
140.221.0.0/18 #AS683 ARGONNE-AS Argonne National Laboratory, US
140.221.68.0/22 #AS683 ARGONNE-AS Argonne National Laboratory, US
140.221.72.0/21 #AS683 ARGONNE-AS Argonne National Laboratory, US
140.221.80.0/20 #AS683 ARGONNE-AS Argonne National Laboratory, US
140.221.96.0/23 #AS683 ARGONNE-AS Argonne National Laboratory, US
140.221.112.0/20 #AS683 ARGONNE-AS Argonne National Laboratory, US
146.137.0.0/16 #AS683 ARGONNE-AS Argonne National Laboratory, US
146.139.0.0/16 #AS683 ARGONNE-AS Argonne National Laboratory, US
164.54.0.0/16 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.5.84.0/24 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.5.86.0/23 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.5.170.0/23 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.5.174.0/23 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.5.176.0/20 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.5.200.0/24 #AS683 ARGONNE-AS Argonne National Laboratory, US
192.148.94.0/23 #AS683 ARGONNE-AS Argonne National Laboratory, US
198.252.143.0/24 #AS683 ARGONNE-AS Argonne National Laboratory, US
188.94.160.0/22 #AS49426 LINTECSAS1-AS LInTeCS ltd (Laboratory of Information Technologies and Computer Systems), RU
188.94.166.0/23 #AS49426 LINTECSAS1-AS LInTeCS ltd (Laboratory of Information Technologies and Computer Systems), RU
128.219.0.0/16 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
160.91.0.0/16 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.12.68.0/24 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.31.96.0/24 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.148.93.0/24 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.148.96.0/23 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.188.177.0/24 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.188.178.0/23 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.188.180.0/24 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
192.188.182.0/24 #AS50 ORNL-MSRNET Oak Ridge National Laboratory, US
143.48.0.0/16 #AS13748 CSHL Cold Spring Harbor Laboratory, US
192.153.157.0/24 #AS402021 MT-WILSON-OBSERVATORY Mt. Wilson Observatory, US
134.20.0.0/16 #AS14702 INL-ASN2 Idaho National Laboratory, US
141.221.0.0/16 #AS14702 INL-ASN2 Idaho National Laboratory, US
128.149.0.0/16 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
137.78.0.0/15 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
137.228.0.0/16 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
192.138.85.0/24 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
192.159.131.0/24 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
192.159.132.0/23 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
192.159.134.0/24 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
192.159.138.0/24 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
198.147.118.0/23 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
207.151.96.0/24 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
207.151.98.0/23 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
207.151.100.0/22 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
207.151.104.0/22 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
207.151.150.0/24 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
207.151.192.0/19 #AS127 JPL-AS127 Jet Propulsion Laboratory, US
8.2.68.0/24 #AS396835 CSDL01 The Charles Stark Draper Laboratory Inc., US
140.102.0.0/16 #AS396835 CSDL01 The Charles Stark Draper Laboratory Inc., US
192.80.95.0/24 #AS396835 CSDL01 The Charles Stark Draper Laboratory Inc., US
192.138.225.0/24 #AS396835 CSDL01 The Charles Stark Draper Laboratory Inc., US
64.147.48.0/20 #AS55032 JAXNET-BH-01 The Jackson Laboratory, US
192.43.249.0/24 #AS55032 JAXNET-BH-01 The Jackson Laboratory, US
128.3.0.0/16 #AS16 LBL Lawrence Berkeley National Laboratory, US
131.243.0.0/16 #AS16 LBL Lawrence Berkeley National Laboratory, US
140.208.0.0/18 #AS40623 GFDL Office of Oceanic and Atmospheric Research - Geophysical Fluid Dynamics Laboratory, US
140.208.144.0/20 #AS40623 GFDL Office of Oceanic and Atmospheric Research - Geophysical Fluid Dynamics Laboratory, US
192.12.173.0/24 #AS63331 LBL-2 Lawrence Berkeley National Laboratory, US
192.58.231.0/24 #AS63331 LBL-2 Lawrence Berkeley National Laboratory, US
204.62.155.0/24 #AS63331 LBL-2 Lawrence Berkeley National Laboratory, US
134.171.0.0/18 #AS2117 EUROPEAN-SOUTHERN-OBSERVATORY European Southern Observatory, DE
134.171.64.0/20 #AS2117 EUROPEAN-SOUTHERN-OBSERVATORY European Southern Observatory, DE
185.11.199.0/24 #AS205567 GEMOTEST-AS Gemotest Laboratory LLC, RU
65.209.173.0/24 #AS22502 LABCORP-HOLDINGS Laboratory Corporation of America, US
208.66.165.0/24 #AS22502 LABCORP-HOLDINGS Laboratory Corporation of America, US
103.98.60.0/24 #AS136702 PRLCC-AS Physical Research Laboratory, IN
199.188.184.0/22 #AS14940 LIGO-HANFORD-OBSERVATORY LIGO Livingston Observatory, US
134.9.0.0/18 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
134.9.64.0/20 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
134.9.80.0/21 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
134.9.255.0/24 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
192.12.135.0/24 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
192.12.136.0/23 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
192.226.62.0/23 #AS62525 LIFELABS-INC LifeLabs Medical Laboratory Services, CA
192.226.45.0/24 #AS32245 BC-LIFELABS-CCB LifeLabs Medical Laboratory Services, CA
37.19.0.0/21 #AS198354 SISTELECOM-AS SIS Laboratory LLC, RU
185.214.160.0/22 #AS198354 SISTELECOM-AS SIS Laboratory LLC, RU
12.35.188.0/22 #AS53768 LABCORP Laboratory Corporation of America, US
12.39.198.0/23 #AS53768 LABCORP Laboratory Corporation of America, US
12.145.88.0/21 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.32.0/19 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.64.0/19 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.96.0/21 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.160.0/20 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.250.0/24 #AS53768 LABCORP Laboratory Corporation of America, US
91.239.102.0/23 #AS58190 ASNETWORKLABORATORY Network Laboratory Ltd, RU
113.29.67.0/24 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
162.134.132.0/23 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
162.134.144.0/23 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
208.49.143.0/24 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
208.66.164.0/24 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
208.66.166.0/23 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
195.26.160.0/21 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.168.0/24 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.170.0/23 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.172.0/22 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.176.0/23 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.179.0/24 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.180.0/22 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.184.0/21 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
62.89.214.0/24 #AS200123 KGILC-AS Kola Geological Information Laboratory Centre OJSC, RU
93.170.9.0/24 #AS200123 KGILC-AS Kola Geological Information Laboratory Centre OJSC, RU
196.3.151.0/24 #AS11157 ELAB Electronic laboratory Services Pty Ltd, ZA
