100.42.26.0/24 #AS17676 GIGAINFRA SoftBank Corp., JP
101.102.128.0/17 #AS17676 GIGAINFRA SoftBank Corp., JP
101.110.0.0/18 #AS17676 GIGAINFRA SoftBank Corp., JP
101.49.206.0/23 #AS59068 SPDB-CN Shanghai Pudong Development Bank Co.,Ltd., CN
101.49.208.0/24 #AS56006 SPDB-CN Shanghai Pudong Development Bank Co.,Ltd., CN
101.49.212.0/24 #AS56006 SPDB-CN Shanghai Pudong Development Bank Co.,Ltd., CN
102.129.140.0/24 #AS135402 US-FXCAPITAL, US
102.130.100.0/24 #AS328420 Bank-of-Zambia-vAS, ZM
102.130.102.0/24 #AS328380 Prime-Bank-AS, KE
102.164.120.0/24 #AS328292 AgentBanking-AS, UG
102.176.250.0/24 #AS328300 Malawi-Bank-AS, MW
102.203.192.0/24 #AS329685 MONIEPOINT-MICROFINANCE-BANK, NG
102.204.214.0/24 #AS329628 AL_BARID_BANK, MA
102.204.44.0/24 #AS329655 FSDH-Bank, NG
102.205.204.0/23 #AS329547 Alpha_Morgan_Bank_Limited, NG
102.205.207.0/24 #AS329551 I-M-Bank-Uganda, UG
102.205.235.0/24 #AS329540 African-Banking-Corporation-Zimbabwe, ZW
102.205.4.0/23 #AS329605 ATTIJARIWAFABANK, MA
102.205.6.0/24 #AS329605 ATTIJARIWAFABANK, MA
102.205.64.0/22 #AS329588 Winners_Cooperative_Credit_Union_Limited, GH
102.206.9.0/24 #AS329534 FBNQuest_Merchant_Bank_Limited, NG
102.207.220.0/24 #AS329495 Access-Bank-Tanzania-Limited, TZ
102.207.221.0/24 #AS328233 DFCU-Bank-AS, UG
102.207.94.0/23 #AS329515 Hubtech-Investments, ZA
102.208.80.0/24 #AS329486 GCB-BANK-PLC, GH
102.208.81.0/24 #AS329469 Access-BANK-CAMEROON-PLC, CM
102.209.190.0/24 #AS329404 Providusbank-PLC, NG
102.209.88.0/23 #AS329420 Azania-Bank, TZ
102.210.159.0/24 #AS329374 Post-Bank-Uganda-Limited, UG
102.210.216.0/22 #AS329349 Optimus-Bank-Limited, NG
102.211.105.0/24 #AS329327 Bank-of-Abyssinia-Share-Company, ET
102.211.163.0/24 #AS329299 NOVA-Commercial-Bank-LTD, NG
102.211.76.0/23 #AS329319 Discovery-Bank-LTD, ZA
102.212.206.0/23 #AS329275 FBNQuest-Capital-Limited, NG
102.212.82.0/23 #AS329251 NATIONAL-BANK-OF-COMMERCE-LIMITED, TZ
102.213.16.0/23 #AS329242 Equity-Bank-Tanzania-Limited, TZ
102.214.140.0/23 #AS327884 I-and-M-Bank, KE
102.215.94.0/24 #AS329134 GTBANK-UG-AS, UG
102.216.25.0/24 #AS328751 CRDB-BANK, TZ
102.217.211.0/24 #AS328751 CRDB-BANK, TZ
102.219.194.0/23 #AS37025 BANKPHB, NG
102.219.94.0/23 #AS328890 Cal-Bank-AS, GH
102.220.119.0/24 #AS328836 SIDIAN-BANK, KE
102.22.108.0/22 #AS328592 Central-Bank-Kenya, KE
102.221.98.0/23 #AS328784 Credit-Bank, KE
