44.8.5.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
67.58.56.0/21 #AS195 SDSC-AS - San Diego Supercomputer Center, US
132.249.0.0/16 #AS195 SDSC-AS - San Diego Supercomputer Center, US
153.105.0.0/16 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.12.207.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.31.21.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.67.20.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.67.81.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.67.82.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.207.234.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
198.17.46.0/23 #AS195 SDSC-AS - San Diego Supercomputer Center, US
198.17.101.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
198.187.222.0/24 #AS195 SDSC-AS - San Diego Supercomputer Center, US
198.202.64.0/18 #AS195 SDSC-AS - San Diego Supercomputer Center, US
199.165.16.0/20 #AS195 SDSC-AS - San Diego Supercomputer Center, US
192.175.48.1/32 #AS204 PSCNET-AS - Pittsburgh Supercomputing Center, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.175.48.1/32 #AS574 PSC-TEST-AS - Pittsburgh Supercomputing Center, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
23.160.32.0/24 #AS800 ONEWEB - OneWeb, US
27.121.104.0/22 #AS800 ONEWEB - OneWeb, US
45.147.188.0/22 #AS800 ONEWEB - OneWeb, US
95.210.94.0/24 #AS800 ONEWEB - OneWeb, US
102.222.138.0/23 #AS800 ONEWEB - OneWeb, US
103.68.189.0/24 #AS800 ONEWEB - OneWeb, US
103.68.191.0/24 #AS800 ONEWEB - OneWeb, US
125.252.79.0/24 #AS800 ONEWEB - OneWeb, US
148.230.0.0/22 #AS800 ONEWEB - OneWeb, US
203.27.19.0/24 #AS800 ONEWEB - OneWeb, US
207.32.208.0/22 #AS800 ONEWEB - OneWeb, US
192.175.48.1/32 #AS895 FASTLY-NET - Fastly, Inc., US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
23.129.252.0/22 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
23.172.137.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
23.172.138.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
131.226.2.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
131.226.4.0/23 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
160.30.208.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
162.244.92.0/22 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
193.108.130.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
194.177.13.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
199.30.13.0/24 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
216.252.232.0/23 #AS965 WEBHOSTINGHOLDINGS - Webhosting Holdings LLC, US
146.19.90.0/24 #AS971 PUREVOLTAGE - PureVoltage Hosting Inc., US
192.34.101.0/24 #AS971 PUREVOLTAGE - PureVoltage Hosting Inc., US
69.17.53.0/24 #AS1015 SERVERSTARTERHOST - Server Starter Host LLC, US
193.57.8.0/24 #AS1015 SERVERSTARTERHOST - Server Starter Host LLC, US
128.182.0.0/16 #AS1206 PSCNET-HS-AS - Pittsburgh Supercomputing Center, US
192.101.139.0/24 #AS1206 PSCNET-HS-AS - Pittsburgh Supercomputing Center, US
192.101.140.0/24 #AS1206 PSCNET-HS-AS - Pittsburgh Supercomputing Center, US
128.182.64.0/18 #AS1207 PSCNET-HS-TEST-AS - Pittsburgh Supercomputing Center, US
147.73.192.0/18 #AS1207 PSCNET-HS-TEST-AS - Pittsburgh Supercomputing Center, US
192.231.243.0/24 #AS1207 PSCNET-HS-TEST-AS - Pittsburgh Supercomputing Center, US
192.175.48.1/32 #AS1227 SDSC-TEST1-AS - San Diego Supercomputer Center, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
64.64.206.0/23 #AS1616 DATABANK-CORELINK - CoreLink Data Centers, US
64.64.211.0/24 #AS1616 DATABANK-CORELINK - CoreLink Data Centers, US
64.64.220.0/23 #AS1616 DATABANK-CORELINK - CoreLink Data Centers, US
67.21.172.0/22 #AS1616 DATABANK-CORELINK - CoreLink Data Centers, US
76.9.188.0/23 #AS1616 DATABANK-CORELINK - CoreLink Data Centers, US
199.16.40.0/23 #AS1616 DATABANK-CORELINK - CoreLink Data Centers, US
192.252.132.0/24 #AS1824 HOSTING - Vertisoft, CA
208.78.158.0/24 #AS1824 HOSTING - Vertisoft, CA
209.209.74.0/24 #AS1824 HOSTING - Vertisoft, CA
216.137.165.0/24 #AS1824 HOSTING - Vertisoft, CA
192.175.48.1/32 #AS1893 Deutsches Klimarechenzentrum GmbH, DE - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
192.172.226.0/24 #AS1909 CAIDA - San Diego Supercomputer Center, US
103.30.200.0/23 #AS2042 GCT-HK HK Global Cloud DataCenter, HK
103.235.172.0/22 #AS2042 GCT-HK HK Global Cloud DataCenter, HK
