100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
100.42.240.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
101.128.64.0/18 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
101.235.0.0/17 #AS10036 CNM-AS-KR DLIVE, KR
101.235.128.0/19 #AS10036 CNM-AS-KR DLIVE, KR
101.235.160.0/20 #AS10036 CNM-AS-KR DLIVE, KR
101.235.192.0/22 #AS10036 CNM-AS-KR DLIVE, KR
101.235.196.0/22 #AS7562 HCNSEOCHO-AS-KR HCN Dongjak, KR
101.235.200.0/21 #AS10036 CNM-AS-KR DLIVE, KR
101.235.208.0/22 #AS7562 HCNSEOCHO-AS-KR HCN Dongjak, KR
101.235.212.0/22 #AS10036 CNM-AS-KR DLIVE, KR
101.235.216.0/21 #AS10036 CNM-AS-KR DLIVE, KR
101.235.224.0/19 #AS10036 CNM-AS-KR DLIVE, KR
101.50.16.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
101.50.224.0/19 #AS4685 ASAHI-NET Asahi Net, JP
101.78.127.0/24 #AS3758 SINGNET SingNet, SG
101.97.0.0/19 #AS15830 EQUINIX, NL
101.97.32.0/22 #AS15830 EQUINIX, NL
101.97.37.0/24 #AS15830 EQUINIX, NL
101.97.38.0/23 #AS15830 EQUINIX, NL
101.97.44.0/22 #AS15830 EQUINIX, NL
101.97.48.0/20 #AS15830 EQUINIX, NL
101.97.64.0/22 #AS15830 EQUINIX, NL
101.97.72.0/21 #AS15830 EQUINIX, NL
101.97.80.0/21 #AS15830 EQUINIX, NL
102.128.164.0/23 #AS9009 M247, RO
102.129.146.0/24 #AS9009 M247, RO
102.129.156.0/24 #AS9009 M247, RO
102.129.180.0/24 #AS9009 M247, RO
102.129.193.0/24 #AS9009 M247, RO
102.129.202.0/24 #AS9009 M247, RO
102.129.205.0/24 #AS9009 M247, RO
102.129.219.0/24 #AS6315 XMISSION - XMission, L.C., US
102.129.222.0/24 #AS9009 M247, RO
102.129.238.0/24 #AS9009 M247, RO
102.135.10.0/24 #AS9009 M247, RO
102.135.101.0/24 #AS9009 M247, RO
102.135.110.0/24 #AS9009 M247, RO
102.135.116.0/22 #AS9009 M247, RO
102.135.120.0/24 #AS9009 M247, RO
102.135.123.0/24 #AS9009 M247, RO
102.135.14.0/24 #AS6079 RCN-AS - RCN, US
102.135.18.0/24 #AS6079 RCN-AS - RCN, US
102.135.20.0/24 #AS6079 RCN-AS - RCN, US
102.135.248.0/22 #AS15695 EXPEREO, NL
102.135.25.0/24 #AS9009 M247, RO
102.135.26.0/23 #AS9009 M247, RO
102.135.28.0/24 #AS9009 M247, RO
102.135.30.0/23 #AS9009 M247, RO
102.135.3.0/24 #AS9009 M247, RO
102.135.34.0/23 #AS9009 M247, RO
102.135.36.0/22 #AS9009 M247, RO
102.135.4.0/24 #AS9009 M247, RO
102.135.62.0/24 #AS9009 M247, RO
102.135.65.0/24 #AS9009 M247, RO
102.135.66.0/23 #AS9009 M247, RO
102.135.69.0/24 #AS9009 M247, RO
102.135.70.0/23 #AS9009 M247, RO
102.135.72.0/24 #AS9009 M247, RO
102.135.74.0/24 #AS9009 M247, RO
102.135.76.0/22 #AS9009 M247, RO
102.135.8.0/24 #AS6079 RCN-AS - RCN, US
102.135.87.0/24 #AS9009 M247, RO
102.135.88.0/23 #AS9009 M247, RO
102.135.90.0/24 #AS9009 M247, RO
102.135.92.0/22 #AS9009 M247, RO
102.140.192.0/18 #AS15399 WANANCHI-, KE
102.165.15.0/24 #AS9009 M247, RO
102.165.19.0/24 #AS9009 M247, RO
102.165.22.0/24 #AS9009 M247, RO
102.165.27.0/24 #AS9009 M247, RO
102.165.38.0/24 #AS9009 M247, RO
102.165.6.0/24 #AS9009 M247, RO
102.166.0.0/15 #AS12455 JAMBONET, KE
102.176.128.0/19 #AS6774 ASN-BICS, BE
102.203.120.0/22 #AS15399 WANANCHI-, KE
102.204.240.0/23 #AS15964 CAMNET-AS, CM
102.204.242.0/24 #AS15964 CAMNET-AS, CM
102.205.122.0/24 #AS14988 BTC-GATE1, BW
102.206.16.0/21 #AS15399 WANANCHI-, KE
102.207.28.0/22 #AS15399 WANANCHI-, KE
102.208.152.0/22 #AS15399 WANANCHI-, KE
102.208.68.0/23 #AS15399 WANANCHI-, KE
102.209.128.0/21 #AS15399 WANANCHI-, KE
102.209.36.0/22 #AS15399 WANANCHI-, KE
102.209.92.0/22 #AS15399 WANANCHI-, KE
102.210.180.0/22 #AS15399 WANANCHI-, KE
102.210.68.0/22 #AS15964 CAMNET-AS, CM
102.210.84.0/22 #AS15399 WANANCHI-, KE
102.211.248.0/22 #AS15399 WANANCHI-, KE
102.211.32.0/22 #AS15399 WANANCHI-, KE
102.211.60.0/22 #AS15399 WANANCHI-, KE
102.211.88.0/22 #AS15399 WANANCHI-, KE
102.212.112.0/21 #AS15399 WANANCHI-, KE
102.213.140.0/23 #AS16637 MTNNS-AS, ZA
102.213.36.0/22 #AS15399 WANANCHI-, KE
102.214.148.0/22 #AS15399 WANANCHI-, KE
