102.135.164.0/23 #AS328485 -Reserved AS-, ZZ
102.135.166.0/24 #AS328485 -Reserved AS-, ZZ
102.219.128.0/23 #AS329008 -Reserved AS-, ZZ
102.219.130.0/24 #AS329008 -Reserved AS-, ZZ
102.222.60.0/24 #AS328771 -Reserved AS-, ZZ
103.10.234.0/23 #AS399546 -Reserved AS-, ZZ
103.107.70.0/24 #AS137394 -Reserved AS-, ZZ
103.111.124.0/24 #AS137518 -Reserved AS-, ZZ
103.131.220.0/24 #AS138372 -Reserved AS-, ZZ
103.148.109.0/24 #AS140094 -Reserved AS-, ZZ
103.15.88.0/23 #AS150698 -Reserved AS-, ZZ
103.164.36.0/23 #AS150698 -Reserved AS-, ZZ
103.169.172.0/23 #AS150698 -Reserved AS-, ZZ
103.170.246.0/23 #AS150698 -Reserved AS-, ZZ
103.179.152.0/23 #AS149438 -Reserved AS-, ZZ
103.181.150.0/24 #AS54339 -Reserved AS-, ZZ
103.192.184.0/22 #AS64008 -Reserved AS-, ZZ
103.241.198.0/23 #AS150698 -Reserved AS-, ZZ
103.4.109.0/24 #AS10102 -Reserved AS-, ZZ
103.50.212.0/23 #AS399546 -Reserved AS-, ZZ
103.65.136.0/23 #AS150698 -Reserved AS-, ZZ
103.71.110.0/23 #AS150698 -Reserved AS-, ZZ
103.85.134.0/24 #AS136260 -Reserved AS-, ZZ
103.90.228.0/22 #AS150698 -Reserved AS-, ZZ
104.255.32.0/24 #AS53810 -Reserved AS-, ZZ
107.1.107.0/24 #AS27289 -Reserved AS-, ZZ
108.164.0.0/20 #AS22282 -Reserved AS-, ZZ
108.164.128.0/17 #AS22282 -Reserved AS-, ZZ
109.176.254.0/23 #AS215269 -Reserved AS-, ZZ
116.50.149.0/24 #AS136260 -Reserved AS-, ZZ
117.121.245.0/24 #AS49901 -Reserved AS-, ZZ
12.106.212.0/24 #AS21861 -Reserved AS-, ZZ
12.110.210.0/23 #AS26295 -Reserved AS-, ZZ
12.129.100.0/24 #AS12114 -Reserved AS-, ZZ
12.131.3.0/24 #AS22538 -Reserved AS-, ZZ
12.133.206.0/24 #AS395476 -Reserved AS-, ZZ
12.133.6.0/24 #AS46676 -Reserved AS-, ZZ
12.147.1.0/24 #AS26295 -Reserved AS-, ZZ
12.155.208.0/24 #AS30442 -Reserved AS-, ZZ
12.164.235.0/24 #AS13342 -Reserved AS-, ZZ
12.167.83.0/24 #AS11575 -Reserved AS-, ZZ
12.17.5.0/24 #AS13342 -Reserved AS-, ZZ
12.180.244.0/23 #AS13342 -Reserved AS-, ZZ
12.180.92.0/22 #AS13342 -Reserved AS-, ZZ
12.192.3.0/24 #AS40726 -Reserved AS-, ZZ
12.195.180.0/23 #AS13342 -Reserved AS-, ZZ
12.197.208.0/24 #AS395377 -Reserved AS-, ZZ
12.206.120.0/22 #AS13342 -Reserved AS-, ZZ
12.21.93.0/24 #AS26345 -Reserved AS-, ZZ
12.23.198.0/24 #AS396831 -Reserved AS-, ZZ
12.29.252.0/24 #AS21720 -Reserved AS-, ZZ
123.136.72.0/23 #AS38471 -Reserved AS-, ZZ
12.36.194.0/23 #AS395476 -Reserved AS-, ZZ
12.37.144.0/24 #AS33684 -Reserved AS-, ZZ
12.37.59.0/24 #AS21861 -Reserved AS-, ZZ
12.68.34.0/24 #AS33684 -Reserved AS-, ZZ
12.71.107.0/24 #AS31781 -Reserved AS-, ZZ
128.177.60.0/24 #AS19753 -Reserved AS-, ZZ
