209.232.58.0/24 #AS46086 AT-T-ENTERPRISES-LLC AT&T Enterprises LLC, US
146.82.87.0/24 #AS14167 LEVEL-3-PARENT-LLC Level 3 Parent LLC, US
141.98.148.0/22 #AS6886 INTS LLC INTS, --
212.66.48.0/21 #AS6886 INTS LLC INTS, --
165.88.1.0/24 #AS940 REVVITY-INC Revvity Inc., US
165.88.5.0/24 #AS940 REVVITY-INC Revvity Inc., US
165.88.8.0/23 #AS940 REVVITY-INC Revvity Inc., US
165.88.43.0/24 #AS940 REVVITY-INC Revvity Inc., US
165.88.66.0/24 #AS940 REVVITY-INC Revvity Inc., US
165.88.133.0/24 #AS940 REVVITY-INC Revvity Inc., US
165.88.214.0/23 #AS940 REVVITY-INC Revvity Inc., US
165.88.250.0/24 #AS940 REVVITY-INC Revvity Inc., US
80.252.119.0/24 #AS8835 BINKBROADBAND BINK BROADBAND LTD, --
194.60.196.0/23 #AS8835 BINKBROADBAND BINK BROADBAND LTD, --
82.152.142.0/24 #AS219289 ISVORO-NET Jiang Songyang, CN
164.115.251.0/24 #AS66666 NATIONAL-ELECTRONICS National Electronics and Computer Technology Center, TH
103.179.154.0/23 #AS140044 BASEIT-AP Base IT, --
158.255.248.0/21 #AS51653 PRESNET-AS PRESNET s.r.o., SK
178.18.64.0/20 #AS51653 PRESNET-AS PRESNET s.r.o., SK
185.139.224.0/22 #AS51653 PRESNET-AS PRESNET s.r.o., SK
194.156.68.0/24 #AS51653 PRESNET-AS PRESNET s.r.o., SK
44.30.192.0/23 #AS395049 PROXIMUS-1 Proximus Information Technology, CA
204.126.200.0/24 #AS33417 AMERICAN-AUTOMOBILE-ASSOCIATION American Automobile Association Natoinal Office, US
180.189.10.0/24 #AS45682 EXCITE Excite Japan Co.,Ltd., --
180.235.96.0/21 #AS45682 EXCITE Excite Japan Co.,Ltd., --
170.77.180.0/24 #AS65645 DANBURY-HOSPITAL-ITG Danbury Hospital - ITG, US
193.239.138.0/23 #AS13085 PATRIA-BANK PATRIA BANK SA, --
63.83.202.0/24 #AS30004 COMUNITY-LENDING-INC COMUNITY LENDING INC., US
66.186.42.0/24 #AS40891 DYNASCALE-TECHNOLOGIES-INC Dynascale Technologies Inc., US
66.186.44.0/24 #AS40891 DYNASCALE-TECHNOLOGIES-INC Dynascale Technologies Inc., US
172.110.43.0/24 #AS394264 VEXUS-FIBER Vexus Fiber, US
193.228.174.0/24 #AS204961 ON4-AS ON4 sp. z o.o., PL
89.43.45.0/24 #AS154725 KINLLTECHNOLOGY-AS-AP KINLL TECHNOLOGY, BD
89.43.73.0/24 #AS154725 KINLLTECHNOLOGY-AS-AP KINLL TECHNOLOGY, BD
45.42.0.0/22 #AS16929 SURGE-COMMUNICATIONS Surge Communications LLC, VI
91.223.46.0/24 #AS52215 EXEPLAY-DOO Exeplay d.o.o., RS
91.224.26.0/23 #AS52215 EXEPLAY-DOO Exeplay d.o.o., RS
65.151.28.0/24 #AS395531 IMANAGE-LLC iManage LLC, US
203.14.20.0/24 #AS56228 KORDIA-LTD-AP Kordia Limited, --
203.195.124.0/24 #AS56228 KORDIA-LTD-AP Kordia Limited, --
138.252.222.0/24 #AS132495 IDNIC-NETIN-ID PT Internet Indonesia Anugerah, ID
160.236.170.0/24 #AS154772 IDNIC-HIKMAHNET-AS-ID PT Ada Hikmahnya Technology, ID
103.135.196.0/22 #AS137745 CHINA-INTERNET-NETWORK China Internet Network Information Center, --
44.30.210.0/24 #AS219158 MDWS Benjamin Meadows, US
206.208.24.0/21 #AS22272 SIEMENS-MEDICAL-SOLUTIONS Siemens Medical Solutions USA Inc., US
5.149.111.0/24 #AS59458 PURELINE Pure Line Co. For Telecommunications & Internet Ltd., --
185.39.52.0/24 #AS61262 GLOBE-35 Airlinq Inc, --
185.81.136.0/24 #AS61262 GLOBE-35 Airlinq Inc, --
204.237.244.0/23 #AS32596 XPLORE-INC Xplore Inc., CA
192.195.0.0/24 #AS394402 CHURCH-SCIENTOLOGY-INTL Church of Scientology International, US
148.224.47.0/24 #AS274413 JOSE-MANUEL-JACINTO-GARCIA JOSE MANUEL JACINTO GARCIA, MX
38.125.29.0/24 #AS14350 CABLEVISION-SYSTEMS-CORP Cablevision Systems Corp., US
69.74.145.0/24 #AS14350 CABLEVISION-SYSTEMS-CORP Cablevision Systems Corp., US
80.88.6.0/24 #AS328226 INACOM-AO INACOM (Angola), AO
64.135.35.0/24 #AS40186 BROADBANDONE-LLC BroadbandONE LLC, US
91.230.33.0/24 #AS15542 ZEELANDNET DELTA Fiber Nederland B.V., --
91.230.34.0/23 #AS15542 ZEELANDNET DELTA Fiber Nederland B.V., --
207.242.93.0/24 #AS12240 AT-T-ENTERPRISES-LLC AT&T Enterprises LLC, US
103.212.210.0/24 #AS149259 CHINA-INTERNET-NETWORK China Internet Network Information Center, --
62.164.192.0/24 #AS142473 SERANS-AS-IN SERANS, IN
85.208.113.0/24 #AS142473 SERANS-AS-IN SERANS, IN
176.125.251.0/24 #AS142473 SERANS-AS-IN SERANS, IN
157.173.31.0/24 #AS206734 CLOUDPROVIDE Sebastian Buchmann, AT
212.6.49.0/24 #AS214345 TECHNET Tech Expert SH.P.K, AL
66.92.28.0/24 #AS402818 VENICE-NET-1 Venice.ai, US
12.23.198.0/24 #AS396831 COMCAST-CABLE-COMMUNICATIONS Comcast Cable Communications LLC, US
50.171.142.0/24 #AS396831 COMCAST-CABLE-COMMUNICATIONS Comcast Cable Communications LLC, US
50.121.66.0/23 #AS32587 NCH-FTWDC-01 Verizon Business, US
50.121.72.0/22 #AS32587 NCH-FTWDC-01 Verizon Business, US
50.121.76.0/24 #AS32587 NCH-FTWDC-01 Verizon Business, US
50.121.79.0/24 #AS32587 NCH-FTWDC-01 Verizon Business, US
91.232.160.0/23 #AS57524 WEBTEAM WEBTEAM informatyka sp. z o.o., PL
193.187.53.0/24 #AS57524 WEBTEAM WEBTEAM informatyka sp. z o.o., PL
198.153.184.0/22 #AS25647 SALES-TECHNOLOGIES-INC Sales Technologies Inc., US
103.135.192.0/23 #AS137746 ID-NIC ID-NIC, US
103.135.195.0/24 #AS137746 ID-NIC ID-NIC, US
174.77.222.0/24 #AS14461 ATLINK-SERVICES-LLC ATLINK SERVICES LLC, US
177.66.72.0/22 #AS52845 SC-RIO-TELECOMUNICACOES S.C. RIO TELECOMUNICACOES E INFORMATICA LTDA, BR
190.211.165.0/24 #AS272105 MEVATEL-LIMITADA Mevatel Limitada, CL
200.112.233.0/24 #AS272105 MEVATEL-LIMITADA Mevatel Limitada, CL
200.112.236.0/24 #AS272105 MEVATEL-LIMITADA Mevatel Limitada, CL
160.22.101.0/24 #AS152809 IDNIC-SUNEOARSYADRAEN-AS-ID PT Suneo Arsyad Raen, ID
160.25.216.0/24 #AS38647 GEEKN-NETLAB NEI's NetLab, JP
130.52.192.0/20 #AS19533 WEARGUARD-CORPORATION Wearguard Corporation, US
130.52.208.0/24 #AS19533 WEARGUARD-CORPORATION Wearguard Corporation, US
170.76.151.0/24 #AS395930 JPMORGAN-CHASE-CO JPMorgan Chase & Co., US
162.4.253.0/24 #AS154716 IDNIC-JNET-AS-ID Indonesia Network Information Center, ID
77.47.180.0/22 #AS54339 TELE-COLUMBUS-AG Tele Columbus AG, DE
89.185.86.0/23 #AS54339 TELE-COLUMBUS-AG Tele Columbus AG, DE
212.111.211.0/24 #AS54339 TELE-COLUMBUS-AG Tele Columbus AG, DE
212.111.218.0/23 #AS54339 TELE-COLUMBUS-AG Tele Columbus AG, DE
131.255.156.0/22 #AS264493 CABO-TELECOM Cabo Telecom (TECNET), BR
74.121.22.0/23 #AS53313 SSN-US ITRON INC., --
38.242.14.0/24 #AS395697 CHARLES-RIVER-OPERATION Charles River Operation, US
87.83.112.0/24 #AS206981 TERITUMDEVELOPMENT Christopher Mountford, GB
208.87.109.0/24 #AS26961 CONNECTTO-COMMUNICATIONS-INC ConnectTo Communications Inc, US
208.87.110.0/23 #AS26961 CONNECTTO-COMMUNICATIONS-INC ConnectTo Communications Inc, US
103.198.1.0/24 #AS150946 IDNIC-ANJANINETWORK-AS-ID PT Bhima Anugrah Pratama, ID
209.66.93.0/24 #AS40920 INS INS, US
103.155.187.0/24 #AS154779 DATAKOMNAP-AS-ID PT Datakom Padma Jaya, ID
91.202.216.0/22 #AS44773 ZNAMENSKIY PE Znamenskiy L.V., --
93.152.209.0/24 #AS58215 OMNILINE-NET-AS Omniline Investment s.r.o., CZ
192.241.54.0/24 #AS396330 ROGERS-GROUP-INC Rogers Group Inc., US
163.52.35.0/24 #AS154851 IDNIC-MASIGA-ID PT Masiga Data Indonesia, ID
91.194.114.0/23 #AS43165 OPTIBASE-LTD Optibase ltd, --
74.113.224.0/23 #AS14902 UNITAS-GLOBAL Unitas Global, US
74.217.136.0/24 #AS14902 UNITAS-GLOBAL Unitas Global, US
199.47.167.0/24 #AS14902 UNITAS-GLOBAL Unitas Global, US
103.115.119.0/24 #AS154750 PINMART-AS-AP PIN MART, BD
125.7.8.0/24 #AS65800 MACQUARIE-TECHNOLOGY-OPERATIONS Macquarie Technology Operations Pty Limited, AU
125.7.37.0/24 #AS65800 MACQUARIE-TECHNOLOGY-OPERATIONS Macquarie Technology Operations Pty Limited, AU
207.250.99.0/24 #AS13492 LEVEL-3-PARENT-LLC Level 3 Parent LLC, US
216.37.59.0/24 #AS13492 LEVEL-3-PARENT-LLC Level 3 Parent LLC, US
12.192.3.0/24 #AS40726 MARMON-GROUP-INC MARMON GROUP INC, US
199.184.119.0/24 #AS11610 SPARTAN-MILLS SPARTAN MILLS, US
45.231.45.0/24 #AS255546 UNIFIQUE-TELECOMUNICACOES-SA UNIFIQUE TELECOMUNICACOES S/A, BR
63.247.117.0/24 #AS40144 INTERCONTINENTAL-EXCHANGE Intercontinental Exchange, Inc., --
158.224.16.0/24 #AS40144 INTERCONTINENTAL-EXCHANGE Intercontinental Exchange, Inc., --
157.10.174.0/24 #AS152327 RASUWEBHOST-AS-AP Rasu Web Host, BD
50.59.82.0/24 #AS63483 SKYNET-AS-1 Skynet, US
50.217.136.0/23 #AS63483 SKYNET-AS-1 Skynet, US
50.217.139.0/24 #AS63483 SKYNET-AS-1 Skynet, US
50.217.140.0/23 #AS63483 SKYNET-AS-1 Skynet, US
50.238.32.0/24 #AS63483 SKYNET-AS-1 Skynet, US
50.238.34.0/23 #AS63483 SKYNET-AS-1 Skynet, US
50.238.36.0/23 #AS63483 SKYNET-AS-1 Skynet, US
50.238.39.0/24 #AS63483 SKYNET-AS-1 Skynet, US
167.88.216.0/23 #AS63483 SKYNET-AS-1 Skynet, US
167.88.218.0/24 #AS63483 SKYNET-AS-1 Skynet, US
168.235.160.0/21 #AS63483 SKYNET-AS-1 Skynet, US
168.235.168.0/22 #AS63483 SKYNET-AS-1 Skynet, US
168.235.172.0/23 #AS63483 SKYNET-AS-1 Skynet, US
168.235.174.0/24 #AS63483 SKYNET-AS-1 Skynet, US
45.170.242.0/23 #AS274945 MAX-TV-S-S MAX TV S A S, CO
207.101.15.0/24 #AS21884 VERIZON-BUSINESS Verizon Business, US
185.67.21.0/24 #AS219484 RIPE-HJC-AS-ID PT HOBIMU JADI CUAN, ID
64.34.115.0/24 #AS19202 APTUM-TECHNOLOGIES Aptum Technologies, CA
72.51.28.0/24 #AS19202 APTUM-TECHNOLOGIES Aptum Technologies, CA
184.170.137.0/24 #AS19202 APTUM-TECHNOLOGIES Aptum Technologies, CA
199.120.239.0/24 #AS19202 APTUM-TECHNOLOGIES Aptum Technologies, CA
23.160.52.0/24 #AS18710 ASHTONSETH Ashton S Williams Sole Proprietorship, US
45.171.188.0/24 #AS268727 TECNEWSNET-CONSULTORIA-ASSESSORIA Tecnews.net Consultoria E Assessoria em Informatic, BR
38.103.20.0/24 #AS26483 AMER-INST-ARCHITECTS The American Institute of Architects, US
195.250.36.0/24 #AS39262 UKRPIPE Khartsyzsk Tube Works OJSC, --
147.234.34.0/24 #AS202001 CYBERINTTECHNOLOGIES CYBERINT TECHNOLOGIES LTD, --
160.202.136.0/24 #AS12237 APPTIO IBM, --
185.225.28.0/22 #AS205119 TELEKS-MK TELEKS DOOEL Skopje, MK
185.233.208.0/22 #AS205119 TELEKS-MK TELEKS DOOEL Skopje, MK
138.59.68.0/22 #AS11835 CLARO-SA CLARO S.A., BR
177.21.224.0/19 #AS11835 CLARO-SA CLARO S.A., BR
179.107.16.0/20 #AS11835 CLARO-SA CLARO S.A., BR
187.16.32.0/19 #AS11835 CLARO-SA CLARO S.A., BR
189.85.16.0/20 #AS11835 CLARO-SA CLARO S.A., BR
200.23.68.0/22 #AS11835 CLARO-SA CLARO S.A., BR
200.124.188.0/22 #AS11835 CLARO-SA CLARO S.A., BR
200.192.208.0/21 #AS11835 CLARO-SA CLARO S.A., BR
200.192.248.0/21 #AS11835 CLARO-SA CLARO S.A., BR
200.219.150.0/23 #AS11835 CLARO-SA CLARO S.A., BR
200.219.152.0/23 #AS11835 CLARO-SA CLARO S.A., BR
201.20.176.0/20 #AS11835 CLARO-SA CLARO S.A., BR
207.181.39.0/24 #AS398829 MISSISSIPPI-COMMUNITY-COLLEGE MIssissippi Community College Board, US
129.41.80.0/22 #AS14912 KYN-GTS Kyndryl, --
209.242.170.0/24 #AS33051 DLS-INTERNET-SERVICES-INC DLS Internet Services Inc, US
63.85.211.0/24 #AS394260 VERIZON-ASIA-PTE-LIMITED Verizon Asia Pte Limited, SG
210.80.168.0/24 #AS394260 VERIZON-ASIA-PTE-LIMITED Verizon Asia Pte Limited, SG
8.33.224.0/24 #AS394936 AMAZONCOM-INC Amazon.com Inc., US
72.20.148.0/24 #AS394936 AMAZONCOM-INC Amazon.com Inc., US
77.240.32.0/24 #AS41371 BIKADA BiKaDa TOO, KZ
77.240.34.0/24 #AS41371 BIKADA BiKaDa TOO, KZ
77.240.36.0/23 #AS41371 BIKADA BiKaDa TOO, KZ
77.240.40.0/22 #AS41371 BIKADA BiKaDa TOO, KZ
88.151.176.0/21 #AS41371 BIKADA BiKaDa TOO, KZ
66.103.86.0/23 #AS10425 BOINGO-WIRELESS-INC Boingo Wireless Inc., US
66.103.88.0/24 #AS10425 BOINGO-WIRELESS-INC Boingo Wireless Inc., US
192.93.162.0/23 #AS23288 AFNIC AFNIC (Association Francaise pour le Nommage Internet en Cooperation), FR
197.234.208.0/24 #AS37537 ALTRON-BOTSWANA Altron Botswana Proprietary Limited, BW
193.242.167.0/24 #AS204432 PERSPEKTIVA Perspektiva IT ApS, DK
205.162.49.0/24 #AS19081 GEAR-FOR-SPORTS GEAR FOR SPORTS, US
