101.0.64.0/18 #AS55803 HOSTOPIA-AU Hostopia Australia Web Pty Ltd, AU
101.100.193.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.200.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.203.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.204.0/23 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.208.0/23 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.216.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.221.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.239.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.242.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.251.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.253.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.100.255.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
101.103.0.0/16 #AS1221 ASN-TELSTRA Telstra Limited, AU
101.112.0.0/13 #AS133612 VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
101.115.32.0/19 #AS18291 VFAU-NET-AS VODAFONE AUSTRALIA PTY LIMITED Public Autonomous System Number, AU
101.128.4.0/22 #AS133538 HYPERNODE-AS-AP HYPERNODE PTY. LTD., AU
101.160.0.0/11 #AS1221 ASN-TELSTRA Telstra Limited, AU
101.2.168.0/22 #AS55707 SIMTRONIC-AS-AP Simtronic, AU
101.234.128.0/22 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.132.0/23 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.134.0/24 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.135.0/24 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.136.0/24 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
101.234.138.0/23 #AS10207 INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU
101.234.140.0/23 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
