104.234.7.0/24 #AS273091 GRUPO INAN SPA, CL
109.72.119.0/24 #AS263702 GRUPO ZGH SPA, CL
11.96.0.0/24 #AS27651 ENTEL CHILE S.A., CL
128.201.116.0/22 #AS265743 COMERCIAL WASHINGTON ERNESTO OYARCE SAZO E.I.R.L. SENALMAX, CL
128.201.224.0/22 #AS271872 TUMUNDO DIGITAL TELECOMUNICACIONES SPA, CL
131.0.108.0/22 #AS267906 CVT TELECOMUNICACIONES LIMITADA, CL
131.0.172.0/22 #AS14117 Telefonica del Sur S.A., CL
131.108.208.0/22 #AS26623 TECNOLOGIACHILE.COM LTDA TCHILE.COM, CL
131.161.202.0/23 #AS52439 OPTIC TELECOMUNICACIONES LIMITADA, CL
131.196.176.0/22 #AS265757 Intersur Limitada, CL
131.221.164.0/22 #AS27901 Pacifico Cable SPA., CL
131.221.32.0/22 #AS263702 GRUPO ZGH SPA, CL
131.72.232.0/22 #AS263728 Wimux EIRL, CL
131.72.236.0/22 #AS263753 SERVICIOS DE DATACENTER DATANETWORKS LIMITADA, CL
132.255.68.0/22 #AS263700 GIGAS HOSTING CHILE SpA, CL
134.162.100.0/24 #AS6471 ENTEL CHILE S.A., CL
134.162.99.0/24 #AS6471 ENTEL CHILE S.A., CL
134.171.128.0/17 #AS6471 ENTEL CHILE S.A., CL
134.171.169.0/24 #AS11340 Red Universitaria Nacional, CL
134.171.80.0/20 #AS6471 ENTEL CHILE S.A., CL
134.171.96.0/19 #AS6471 ENTEL CHILE S.A., CL
136.0.201.0/24 #AS64161 GRUPO ZGH SPA, CL
138.0.120.0/24 #AS272014 DCH COMPANIA DE COMUNICACIONES E INMOBILIARIA LTDA, CL
138.0.122.0/24 #AS265703 AUSTRO INTERNET S.A., CL
138.0.123.0/24 #AS64139 GRUPO METROWAN TELECOM SPA, CL
138.117.148.0/22 #AS265831 SOC. COMERCIAL WIRENET CHILE LTDA., CL
138.117.68.0/22 #AS61466 TV Cable Loncomilla S.A., CL
138.121.108.0/22 #AS269993 COMPANIA CHILENA DE COMUNICACIONES PARALLEL S.A., CL
138.121.168.0/22 #AS263700 GIGAS HOSTING CHILE SpA, CL
138.121.96.0/22 #AS263784 BYNARYA SPA, CL
138.186.120.0/22 #AS264681 Sociedad de Telecomunicaciones Netsouth SPA, CL
138.186.8.0/22 #AS52511 IRONSERVERS E.I.R.L, CL
138.204.228.0/22 #AS61506 INSACOM SpA, CL
138.219.228.0/22 #AS263826 LINETS CHILE SPA, CL
138.219.56.0/22 #AS52510 MI INTERNET SPA, CL
138.255.100.0/22 #AS263702 GRUPO ZGH SPA, CL
138.255.96.0/22 #AS263807 MEDIASTREAM SPA, CL
138.36.252.0/22 #AS61503 SERVICIOS DE TELECOMUNICACIONES INTERCABLE LTDA., CL
138.99.224.0/22 #AS27901 Pacifico Cable SPA., CL
139.229.132.0/24 #AS27676 ALMA - Atacama Large Millimeter Array, CL
143.202.12.0/22 #AS267776 OPTIWISP SPA, CL
143.202.140.0/22 #AS61483 Convergia Telecom S.A., CL
143.208.52.0/22 #AS52439 OPTIC TELECOMUNICACIONES LIMITADA, CL
143.255.104.0/22 #AS265675 ARTEC TELECOMUNICACIONES LIMITADA, CL
143.255.176.0/22 #AS264641 LanProject SPA, CL
143.255.24.0/23 #AS264636 CUANTA CHILE SA, CL
143.255.26.0/24 #AS264636 CUANTA CHILE SA, CL
146.155.0.0/16 #AS20191 Pontificia Universidad Catolica de Chile, CL
146.83.114.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.116.0/22 #AS11340 Red Universitaria Nacional, CL
146.83.123.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.124.0/22 #AS11340 Red Universitaria Nacional, CL
146.83.128.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.131.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.132.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.134.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.137.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.139.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.143.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.144.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.149.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.150.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.152.0/22 #AS11340 Red Universitaria Nacional, CL
146.83.160.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.16.0/20 #AS23140 Universidad de Chile, CL
146.83.164.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.168.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.173.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.176.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.178.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.180.0/22 #AS11340 Red Universitaria Nacional, CL
146.83.184.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.187.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.188.0/22 #AS11340 Red Universitaria Nacional, CL
146.83.192.0/20 #AS11340 Red Universitaria Nacional, CL
146.83.2.0/23 #AS23140 Universidad de Chile, CL
146.83.208.0/21 #AS11340 Red Universitaria Nacional, CL
146.83.216.0/22 #AS11340 Red Universitaria Nacional, CL
146.83.220.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.222.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.225.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.226.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.230.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.233.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.234.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.237.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.250.0/23 #AS11340 Red Universitaria Nacional, CL
146.83.32.0/19 #AS23140 Universidad de Chile, CL
146.83.4.0/22 #AS23140 Universidad de Chile, CL
146.83.65.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.67.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.68.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.70.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.75.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.8.0/21 #AS23140 Universidad de Chile, CL
146.83.81.0/24 #AS264724 Universidad Nacional Andres Bello, CL
146.83.82.0/24 #AS11340 Red Universitaria Nacional, CL
146.83.90.0/24 #AS26610 Universidad Tecnica Federico Santa Maria, CL
146.83.92.0/24 #AS26610 Universidad Tecnica Federico Santa Maria, CL
146.83.96.0/20 #AS11340 Red Universitaria Nacional, CL
148.143.127.0/24 #AS271871 ENGIE ENERGIA CHILE S.A., CL
148.222.224.0/24 #AS64152 EDGEUNO SPA, CL
149.78.188.0/23 #AS272022 ZAPPING SPA, CL
149.78.191.0/24 #AS272022 ZAPPING SPA, CL
151.241.80.0/21 #AS274099 VALLENET SPA, CL
151.242.242.0/24 #AS270013 J AND J SPA INFOFRACTAL, CL
151.247.32.0/24 #AS274199 INGENIERIA INVERSIONES TECNOLOGIA Y CONSTRUCCION ENGINEERING SPA, CL
152.172.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
152.174.0.0/16 #AS7418 TELEFONICA CHILE S.A., CL
152.230.0.0/16 #AS14259 Gtd Internet S.A., CL
152.230.100.0/23 #AS18822 Manquehuenet, CL
152.230.102.0/24 #AS18822 Manquehuenet, CL
152.230.109.0/24 #AS18822 Manquehuenet, CL
152.230.110.0/23 #AS18822 Manquehuenet, CL
152.230.116.0/23 #AS18822 Manquehuenet, CL
152.230.118.0/24 #AS18822 Manquehuenet, CL
152.230.128.0/23 #AS18822 Manquehuenet, CL
152.230.130.0/24 #AS18822 Manquehuenet, CL
152.230.132.0/22 #AS18822 Manquehuenet, CL
152.230.136.0/24 #AS18822 Manquehuenet, CL
152.230.138.0/23 #AS18822 Manquehuenet, CL
152.230.140.0/23 #AS18822 Manquehuenet, CL
152.230.149.0/24 #AS18822 Manquehuenet, CL
152.230.150.0/23 #AS18822 Manquehuenet, CL
152.230.153.0/24 #AS18822 Manquehuenet, CL
152.230.154.0/24 #AS18822 Manquehuenet, CL
152.230.160.0/24 #AS18822 Manquehuenet, CL
152.230.166.0/23 #AS18822 Manquehuenet, CL
152.230.17.0/24 #AS18822 Manquehuenet, CL
152.230.171.0/24 #AS18822 Manquehuenet, CL
152.230.172.0/23 #AS18822 Manquehuenet, CL
152.230.174.0/24 #AS18822 Manquehuenet, CL
152.230.176.0/22 #AS18822 Manquehuenet, CL
152.230.18.0/23 #AS18822 Manquehuenet, CL
152.230.184.0/22 #AS18822 Manquehuenet, CL
152.230.194.0/23 #AS18822 Manquehuenet, CL
152.230.200.0/23 #AS18822 Manquehuenet, CL
152.230.20.0/23 #AS18822 Manquehuenet, CL
152.230.202.0/24 #AS18822 Manquehuenet, CL
152.230.204.0/22 #AS18822 Manquehuenet, CL
152.230.208.0/23 #AS18822 Manquehuenet, CL
152.230.210.0/24 #AS18822 Manquehuenet, CL
152.230.216.0/21 #AS18822 Manquehuenet, CL
152.230.22.0/24 #AS18822 Manquehuenet, CL
152.230.226.0/23 #AS18822 Manquehuenet, CL
152.230.228.0/24 #AS18822 Manquehuenet, CL
152.230.232.0/24 #AS18822 Manquehuenet, CL
152.230.237.0/24 #AS18822 Manquehuenet, CL
152.230.238.0/23 #AS18822 Manquehuenet, CL
152.230.242.0/24 #AS18822 Manquehuenet, CL
152.230.249.0/24 #AS18822 Manquehuenet, CL
152.230.250.0/24 #AS18822 Manquehuenet, CL
152.230.33.0/24 #AS18822 Manquehuenet, CL
152.230.35.0/24 #AS18822 Manquehuenet, CL
152.230.39.0/24 #AS18822 Manquehuenet, CL
152.230.40.0/24 #AS18822 Manquehuenet, CL
152.230.48.0/21 #AS18822 Manquehuenet, CL
152.230.56.0/23 #AS18822 Manquehuenet, CL
152.230.58.0/24 #AS18822 Manquehuenet, CL
152.230.60.0/22 #AS18822 Manquehuenet, CL
152.230.7.0/24 #AS18822 Manquehuenet, CL
152.230.72.0/24 #AS18822 Manquehuenet, CL
