178.19.192.0/20 #AS15389 FAROESE-TELECOM-AS, FO
185.171.172.0/22 #AS206928 PF-ELEKTRON, FO
185.74.208.0/22 #AS15389 FAROESE-TELECOM-AS, FO
185.88.228.0/22 #AS20963 NEMA, FO
192.175.48.1/32 #AS200664 PF-FTNET, FO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS210417 NET2, FO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.34.104.0/22 #AS15389 FAROESE-TELECOM-AS, FO
195.80.36.0/22 #AS209175 KRINGVARP_FOROYA, FO
198.137.136.0/22 #AS15389 FAROESE-TELECOM-AS, FO
212.55.32.0/19 #AS15389 FAROESE-TELECOM-AS, FO
217.172.80.0/20 #AS15389 FAROESE-TELECOM-AS, FO
46.227.112.0/21 #AS20963 NEMA, FO
80.77.128.0/20 #AS20963 NEMA, FO
81.18.224.0/20 #AS15389 FAROESE-TELECOM-AS, FO
81.25.176.0/20 #AS20963 NEMA, FO
88.85.32.0/19 #AS15389 FAROESE-TELECOM-AS, FO
