102.128.76.0/22 #AS328088 NetOne-Cellular-AS, ZW
102.165.112.0/23 #AS328291 Veritran-AS, ZW
102.177.192.0/21 #AS328230 Hammer-and-Tongues-AS, ZW
102.177.72.0/22 #AS328269 IT-Anywhere-AS, ZW
102.204.108.0/23 #AS329638 Bindura-University-of-Science-Education, ZW
102.204.48.0/22 #AS329006 DZL1-AS, ZW
102.205.235.0/24 #AS329540 African-Banking-Corporation-Zimbabwe, ZW
102.207.50.0/23 #AS37329 FRAMPOL, ZW
102.210.112.0/22 #AS329376 Zimbabwe-Research-and-Education-Network, ZW
102.212.220.0/22 #AS329271 IEL2-AS, ZW
102.212.231.0/24 #AS329232 Women-s-University-AS, ZW
102.213.40.0/22 #AS37204 TELONE, ZW
102.217.48.0/22 #AS329006 DZL1-AS, ZW
102.218.12.0/22 #AS37329 FRAMPOL, ZW
154.119.80.0/20 #AS37123 TELCO-, ZW
154.120.233.0/24 #AS37332 ZOL, ZW
154.120.238.0/24 #AS37332 ZOL, ZW
154.120.245.0/24 #AS37332 ZOL, ZW
154.73.80.0/22 #AS37184 POWERTEL, ZW
168.253.32.0/19 #AS31856 CABS, ZW
168.253.56.0/21 #AS37189 YoAfrica3, ZW
169.239.24.0/22 #AS37329 FRAMPOL, ZW
192.175.48.1/32 #AS27576 AfOL-Zw-NET, ZW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329699 Fibrehood-Private, ZW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37355 ZINX, ZW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.201.1.0/24 #AS37332 ZOL, ZW
196.201.16.0/21 #AS37332 ZOL, ZW
196.216.224.0/23 #AS327971 FBC-Holdings, ZW
196.220.96.0/19 #AS37568 NUoS-ASN, ZW
196.2.64.0/20 #AS37183 UTANDE, ZW
196.27.96.0/19 #AS37332 ZOL, ZW
196.29.32.0/21 #AS37183 UTANDE, ZW
196.41.88.0/24 #AS328088 NetOne-Cellular-AS, ZW
196.43.199.0/24 #AS37344 ZOU, ZW
196.43.96.0/19 #AS37183 UTANDE, ZW
196.44.176.0/23 #AS31856 CABS, ZW
196.44.180.0/22 #AS31856 CABS, ZW
196.44.184.0/24 #AS31856 CABS, ZW
196.44.186.0/23 #AS31856 CABS, ZW
196.44.188.0/22 #AS31856 CABS, ZW
196.4.80.0/24 #AS327863 UNIVERSITY-OF-ZIMBABWE, ZW
196.49.46.0/24 #AS328235 ZINX-MGMT, ZW
197.157.204.0/22 #AS329425 Tagtel-Communications, ZW
197.211.192.0/18 #AS37332 ZOL, ZW
197.221.224.0/19 #AS37204 TELONE, ZW
41.173.194.0/23 #AS37332 ZOL, ZW
41.173.196.0/23 #AS37332 ZOL, ZW
41.173.200.0/21 #AS37332 ZOL, ZW
41.173.208.0/22 #AS37332 ZOL, ZW
41.173.214.0/24 #AS37332 ZOL, ZW
41.173.216.0/21 #AS37332 ZOL, ZW
41.173.224.0/22 #AS37332 ZOL, ZW
41.173.230.0/23 #AS37332 ZOL, ZW
41.173.232.0/22 #AS37332 ZOL, ZW
41.173.236.0/23 #AS37332 ZOL, ZW
41.173.37.0/24 #AS37332 ZOL, ZW
41.173.48.0/21 #AS37332 ZOL, ZW
41.173.57.0/24 #AS37332 ZOL, ZW
41.173.58.0/23 #AS37332 ZOL, ZW
41.173.60.0/23 #AS37332 ZOL, ZW
41.174.100.0/22 #AS37332 ZOL, ZW
41.174.105.0/24 #AS37332 ZOL, ZW
41.174.106.0/23 #AS37332 ZOL, ZW
41.174.110.0/23 #AS37332 ZOL, ZW
41.174.112.0/21 #AS37332 ZOL, ZW
41.174.120.0/22 #AS37332 ZOL, ZW
41.174.160.0/20 #AS37332 ZOL, ZW
41.174.180.0/22 #AS37332 ZOL, ZW
41.174.185.0/24 #AS37332 ZOL, ZW
41.174.186.0/23 #AS37332 ZOL, ZW
41.174.64.0/19 #AS37332 ZOL, ZW
41.174.97.0/24 #AS37332 ZOL, ZW
41.174.98.0/24 #AS37332 ZOL, ZW
41.175.128.0/20 #AS37332 ZOL, ZW
41.175.144.0/24 #AS37332 ZOL, ZW
41.175.147.0/24 #AS37332 ZOL, ZW
41.175.154.0/24 #AS37332 ZOL, ZW
41.175.186.0/23 #AS37332 ZOL, ZW
41.175.200.0/24 #AS37332 ZOL, ZW
41.175.64.0/18 #AS37332 ZOL, ZW
