43.225.97.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
45.222.103.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
80.84.147.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
84.17.73.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
103.255.131.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
116.0.47.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
141.105.166.0/23 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
185.19.80.0/23 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
185.19.83.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
195.94.26.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
203.171.127.0/24 #AS198504 LU1 Star Satellite Communications Company - PJSC, AE
185.200.53.0/24 #AS205988 PLAYCO-AS Playco Entertainment FZ LLC, AE
185.76.204.0/22 #AS201340 ENBD EMIRATES NBD (P.J.S.C)., AE
194.164.220.0/23 #AS201340 ENBD EMIRATES NBD (P.J.S.C)., AE
194.164.225.0/24 #AS201340 ENBD EMIRATES NBD (P.J.S.C)., AE
194.170.8.0/24 #AS201340 ENBD EMIRATES NBD (P.J.S.C)., AE
194.170.245.0/24 #AS201340 ENBD EMIRATES NBD (P.J.S.C)., AE
94.231.192.0/24 #AS214095 ESIMINTERNATIONAL E Sim international LLC, AE
131.222.244.0/24 #AS214095 ESIMINTERNATIONAL E Sim international LLC, AE
5.194.252.0/22 #AS201678 ADNET Abu Dhabi Digital Authority, AE
5.195.16.0/22 #AS201678 ADNET Abu Dhabi Digital Authority, AE
5.195.21.0/24 #AS201678 ADNET Abu Dhabi Digital Authority, AE
185.66.16.0/22 #AS201678 ADNET Abu Dhabi Digital Authority, AE
46.174.142.0/23 #AS211112 QRATOR-FZ Qrator Technologies FZ-LLC, AE
66.220.48.0/22 #AS204832 MORO Data Hub Integrated Solutions Moro LLC, AE
185.66.144.0/22 #AS204832 MORO Data Hub Integrated Solutions Moro LLC, AE
185.238.180.0/22 #AS204832 MORO Data Hub Integrated Solutions Moro LLC, AE
185.71.206.0/24 #AS59773 ALARD Al Ard Al Thahabia Phone & Internet Devices Trading L.L.C, AE
46.149.96.0/24 #AS57000 LINKIWAY LinkiWay DMCC, AE
176.241.84.0/24 #AS57000 LINKIWAY LinkiWay DMCC, AE
194.39.228.0/23 #AS57000 LINKIWAY LinkiWay DMCC, AE
103.152.182.0/23 #AS140871 ZETAFZLLC-AS-AP Zeta FZ-LLC, AE
185.87.32.0/24 #AS201062 HQ-BP-IRAQ-NV Basra Energy Company Limited, AE
185.87.35.0/24 #AS201062 HQ-BP-IRAQ-NV Basra Energy Company Limited, AE
185.48.64.0/24 #AS59868 VAPORVM VAPORVM IT SERVICES DMCC, AE
185.64.5.0/24 #AS49647 SKY-UNWIRED Sky Unwired DWC-LLC, AE
185.24.74.0/24 #AS213811 NEKOTOPIA Richard Lowton, AE
185.65.116.0/24 #AS213811 NEKOTOPIA Richard Lowton, AE
193.143.16.0/23 #AS213811 NEKOTOPIA Richard Lowton, AE
185.151.4.0/22 #AS202670 CLOUDZMEASN1 CLOUDZME FZE, AE
79.98.120.0/23 #AS47201 AEDAAS1 TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY, AE
79.98.124.0/23 #AS47201 AEDAAS1 TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY, AE
81.85.92.0/22 #AS44578 ITGLOBALCOM-DMCC ITGLOBAL COM DMCC, AE
90.156.220.0/23 #AS44578 ITGLOBALCOM-DMCC ITGLOBAL COM DMCC, AE
185.209.49.0/24 #AS44578 ITGLOBALCOM-DMCC ITGLOBAL COM DMCC, AE
188.244.112.0/24 #AS44578 ITGLOBALCOM-DMCC ITGLOBAL COM DMCC, AE
45.11.160.0/22 #AS200851 BAMBOOZLE-AS Bamboozle Web Services MEA FZ-LLC, AE
45.66.244.0/22 #AS200851 BAMBOOZLE-AS Bamboozle Web Services MEA FZ-LLC, AE
84.38.255.0/24 #AS200851 BAMBOOZLE-AS Bamboozle Web Services MEA FZ-LLC, AE
185.93.244.0/22 #AS200851 BAMBOOZLE-AS Bamboozle Web Services MEA FZ-LLC, AE
185.243.76.0/22 #AS200851 BAMBOOZLE-AS Bamboozle Web Services MEA FZ-LLC, AE
212.108.126.0/24 #AS205951 MCBBANKDXB Anwar Bahadar, AE
132.243.30.0/23 #AS197703 FIRST-SERVER-AE IP MARKET - FZCO, AE
135.136.182.0/23 #AS197703 FIRST-SERVER-AE IP MARKET - FZCO, AE
91.216.13.0/24 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
130.185.120.0/22 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
185.204.168.0/22 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
185.235.40.0/22 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
193.24.119.0/24 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
194.5.192.0/23 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
194.5.206.0/23 #AS57568 TR-ARVANCLOUD ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C, AE
