103.177.206.0/23 #AS149173 HBISC-AS-AP Hindukush Bridge ICT Services Company, AF
160.187.18.0/24 #AS153324 NWISC-AS-AP Noori Wave ICT Services Company, AF
103.157.85.0/24 #AS141355 ANTS-AS-AP Amoo Net Technology Services, AF
43.230.209.0/24 #AS133894 EASYCONNECTISP-AS-AP Easy Connect- ISP, AF
103.46.208.0/22 #AS133894 EASYCONNECTISP-AS-AP Easy Connect- ISP, AF
103.88.192.0/22 #AS133894 EASYCONNECTISP-AS-AP Easy Connect- ISP, AF
103.96.233.0/24 #AS133894 EASYCONNECTISP-AS-AP Easy Connect- ISP, AF
103.146.104.0/24 #AS133894 EASYCONNECTISP-AS-AP Easy Connect- ISP, AF
160.191.140.0/24 #AS133894 EASYCONNECTISP-AS-AP Easy Connect- ISP, AF
103.132.98.0/23 #AS58469 MOCI-AS-AP Ministry of Communication & IT, AF
103.185.231.0/24 #AS149771 HASC-AS-AP Hewad Aziz Services Company, AF
157.10.229.0/24 #AS149771 HASC-AS-AP Hewad Aziz Services Company, AF
103.23.36.0/23 #AS132173 STREAMLINK-AS Streamlink, AF
103.23.38.0/24 #AS132173 STREAMLINK-AS Streamlink, AF
103.165.190.0/23 #AS142051 HAQNET-AS-AP HaqNet Technology Services, AF
64.207.208.0/23 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
64.207.212.0/22 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
74.118.80.0/22 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
103.28.132.0/22 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
103.112.164.0/22 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
111.125.152.0/21 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
116.206.188.0/23 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
116.206.190.0/24 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
203.174.27.0/24 #AS45178 ROSHAN-AF Roshan Afganistan via EMIX, AF
103.125.186.0/24 #AS133533 KIL-AF Khogiyant International ltd, AF
103.233.183.0/24 #AS133533 KIL-AF Khogiyant International ltd, AF
160.30.234.0/24 #AS142570 ARYANDUNYAICT-AS-AP ARYAN DUNYA ICT, AF
103.110.53.0/24 #AS153323 POWER-AS-AP Power Bridge ICT Services, AF
103.110.54.0/24 #AS153323 POWER-AS-AP Power Bridge ICT Services, AF
160.187.20.0/24 #AS153323 POWER-AS-AP Power Bridge ICT Services, AF
103.144.237.0/24 #AS139770 SADATTELECOM-AS-AP SADAT Telecom, AF
103.119.27.0/24 #AS137975 STARKTELECOM-AS-AP Stark Telecom, AF
45.65.58.0/23 #AS134134 WESTERN2-AS-AP Western ICT Solutions Services, AF
45.126.253.0/24 #AS134134 WESTERN2-AS-AP Western ICT Solutions Services, AF
