185.188.216.0/22 #AS206358 ISP-BROADCAST Qendrim Kryeziu trading as N.P.SH ISP - Broadcast, AL
37.35.64.0/21 #AS33983 ARTMOTION-AS ARTMOTION SH.P.K., AL
84.22.32.0/19 #AS33983 ARTMOTION-AS ARTMOTION SH.P.K., AL
185.173.204.0/22 #AS33983 ARTMOTION-AS ARTMOTION SH.P.K., AL
46.183.120.0/22 #AS56468 MCNET MC NETWORKING Sh.p.k., AL
46.183.124.0/23 #AS56468 MCNET MC NETWORKING Sh.p.k., AL
171.22.148.0/23 #AS56468 MCNET MC NETWORKING Sh.p.k., AL
171.22.150.0/24 #AS56468 MCNET MC NETWORKING Sh.p.k., AL
204.93.221.0/24 #AS56468 MCNET MC NETWORKING Sh.p.k., AL
188.93.112.0/24 #AS210693 KOSOVANET Kamenicanet sh.p.k, AL
91.240.165.0/24 #AS215883 FASTLINK FastLink SHPK, AL
212.6.49.0/24 #AS214345 TECHNET Tech Expert SH.P.K, AL
185.237.18.0/23 #AS38916 FBD-AL-AS FBD shpk, AL
45.84.236.0/24 #AS208630 INFOTELECOMALBANIA-AS INFO-Telecom Shpk, AL
193.107.12.0/24 #AS211385 DIGITEL NEXT-TV SHPK, AL
185.49.24.0/22 #AS39611 TIBO-AS Tibo Communications Sh.p.k, AL
213.207.32.0/19 #AS39611 TIBO-AS Tibo Communications Sh.p.k, AL
