193.186.212.0/24 #AS210077 TREIBACHER-AT Treibacher Industrie AG, AT
185.98.15.0/24 #AS207773 HEPTABIT-AS Heptabit GmbH, AT
185.155.216.0/23 #AS207773 HEPTABIT-AS Heptabit GmbH, AT
195.114.113.0/24 #AS207773 HEPTABIT-AS Heptabit GmbH, AT
193.164.238.0/24 #AS21406 SWAROVSKI-AS DSW Kristall AG & Co KG, AT
193.188.212.0/24 #AS21406 SWAROVSKI-AS DSW Kristall AG & Co KG, AT
140.78.0.0/16 #AS1205 JKU-LINZ-AS University Linz, AT
192.107.124.0/23 #AS1205 JKU-LINZ-AS University Linz, AT
193.186.172.0/22 #AS1205 JKU-LINZ-AS University Linz, AT
193.186.176.0/22 #AS1205 JKU-LINZ-AS University Linz, AT
193.228.140.0/24 #AS207528 ASFASNET FAS Vermietungs- und Beteiligungs-GmbH, AT
193.228.142.0/24 #AS207528 ASFASNET FAS Vermietungs- und Beteiligungs-GmbH, AT
193.228.145.0/24 #AS207528 ASFASNET FAS Vermietungs- und Beteiligungs-GmbH, AT
193.228.148.0/24 #AS207528 ASFASNET FAS Vermietungs- und Beteiligungs-GmbH, AT
193.110.182.0/23 #AS24656 ARZ Accenture TiGital GmbH, AT
62.249.64.0/18 #AS3330 PROFINET-AT eww ag, AT
91.208.80.0/24 #AS3330 PROFINET-AT eww ag, AT
91.209.33.0/24 #AS3330 PROFINET-AT eww ag, AT
185.92.100.0/22 #AS3330 PROFINET-AT eww ag, AT
193.43.212.0/23 #AS3330 PROFINET-AT eww ag, AT
193.186.161.0/24 #AS3330 PROFINET-AT eww ag, AT
194.112.128.0/17 #AS3330 PROFINET-AT eww ag, AT
195.43.149.0/24 #AS3330 PROFINET-AT eww ag, AT
195.149.75.0/24 #AS3330 PROFINET-AT eww ag, AT
195.242.175.0/24 #AS3330 PROFINET-AT eww ag, AT
41.66.64.0/18 #AS51265 MASSRESPONSE-AS Mass Response Service GmbH, AT
62.240.128.0/19 #AS51265 MASSRESPONSE-AS Mass Response Service GmbH, AT
