38.226.122.0/23 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
103.243.84.0/24 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
103.243.87.0/24 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
119.15.96.0/23 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
119.15.99.0/24 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
119.15.100.0/22 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
119.15.104.0/22 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
119.15.108.0/23 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
119.15.111.0/24 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
175.106.4.0/23 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
175.106.7.0/24 #AS38826 INFINITENETWORKS-AS-AP Infinite Networks PTY LTD, AU
43.245.72.0/21 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
43.250.92.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.13.86.0/23 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.41.216.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.82.136.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.247.224.0/23 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.253.92.0/22 #AS132405 SUMMITINTERNET-AS-AP The Summit Group (Australia) Pty Ltd, AU
103.77.224.0/24 #AS136165 X4B-AS-AP X4B, AU
103.100.107.0/24 #AS136165 X4B-AS-AP X4B, AU
103.249.70.0/23 #AS136165 X4B-AS-AP X4B, AU
103.166.132.0/23 #AS142116 UPLINKMEPTYLTD-AS-AP UplinkMe, AU
103.176.119.0/24 #AS149017 DURATECLIMITED-AS-AP Duratec Limited, AU
103.163.2.0/24 #AS141734 RIPL-AS-AP Rapid Internet Pty Ltd, AU
103.226.53.0/24 #AS133394 C2ACOMAU-AS-AP C2A Internet.com.au Pty. Ltd., AU
103.239.76.0/23 #AS133394 C2ACOMAU-AS-AP C2A Internet.com.au Pty. Ltd., AU
103.114.172.0/24 #AS137814 EBIT-AS-AP E-BIT Systems Pty Ltd, AU
103.142.168.0/24 #AS137814 EBIT-AS-AP E-BIT Systems Pty Ltd, AU
