138.255.252.0/24 #AS264645 NEW-MILLENNIUM-TELECOM NEW MILLENNIUM TELECOM SERVICES N.V., AW
138.255.254.0/23 #AS264645 NEW-MILLENNIUM-TELECOM NEW MILLENNIUM TELECOM SERVICES N.V., AW
186.190.232.0/24 #AS264645 NEW-MILLENNIUM-TELECOM NEW MILLENNIUM TELECOM SERVICES N.V., AW
190.104.96.0/21 #AS264645 NEW-MILLENNIUM-TELECOM NEW MILLENNIUM TELECOM SERVICES N.V., AW
181.41.0.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.4.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.8.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.20.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.26.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.28.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.32.0/20 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.50.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.52.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
181.41.56.0/21 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.159.100.0/24 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.0.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.6.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.8.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.12.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.16.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.22.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.24.0/21 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.32.0/21 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.42.0/23 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
186.189.44.0/22 #AS11816 SERVICIO-DI-TELECOMUNICACION SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V., AW
