94.20.153.0/24 #AS214682 EPRO-IO Epro.io LLC, AZ
185.83.124.0/23 #AS213328 RSL AZETEL LLC, AZ
46.228.176.0/20 #AS39280 ULTELNET-AS Ultel LLC, AZ
81.21.80.0/20 #AS39280 ULTELNET-AS Ultel LLC, AZ
93.184.224.0/20 #AS39280 ULTELNET-AS Ultel LLC, AZ
185.41.200.0/22 #AS39280 ULTELNET-AS Ultel LLC, AZ
85.132.14.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
85.132.19.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
85.132.104.0/23 #AS48830 TEC-AS TransEuroCom LLC, AZ
93.88.80.0/20 #AS48830 TEC-AS TransEuroCom LLC, AZ
94.20.26.0/23 #AS48830 TEC-AS TransEuroCom LLC, AZ
94.20.28.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
94.20.31.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
94.20.32.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
94.20.69.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
94.20.70.0/24 #AS48830 TEC-AS TransEuroCom LLC, AZ
185.36.200.0/22 #AS48830 TEC-AS TransEuroCom LLC, AZ
91.218.56.0/24 #AS213139 DIGINET-LLC Faraon-1 LLC, AZ
80.69.48.0/22 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.53.0/24 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.56.0/23 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
80.69.60.0/24 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.240.0/22 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.244.0/24 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
91.135.252.0/23 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
92.39.90.0/23 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
92.39.92.0/23 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
92.39.94.0/24 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
158.181.34.0/24 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
158.181.37.0/24 #AS34170 AS-AZTELEKOM Aztelekom LLC, AZ
