5.149.143.0/24 #AS2611 BELNET, BE
77.246.241.0/24 #AS2611 BELNET, BE
93.190.122.0/24 #AS2611 BELNET, BE
109.69.223.0/24 #AS2611 BELNET, BE
130.104.0.0/16 #AS2611 BELNET, BE
134.58.0.0/16 #AS2611 BELNET, BE
134.184.0.0/16 #AS2611 BELNET, BE
138.48.0.0/16 #AS2611 BELNET, BE
139.165.0.0/16 #AS2611 BELNET, BE
139.191.112.0/20 #AS2611 BELNET, BE
143.129.0.0/16 #AS2611 BELNET, BE
143.169.0.0/16 #AS2611 BELNET, BE
144.248.0.0/16 #AS2611 BELNET, BE
146.175.0.0/16 #AS2611 BELNET, BE
157.193.0.0/16 #AS2611 BELNET, BE
164.15.0.0/16 #AS2611 BELNET, BE
185.122.248.0/22 #AS2611 BELNET, BE
185.182.132.0/22 #AS2611 BELNET, BE
185.226.167.0/24 #AS2611 BELNET, BE
192.31.23.0/24 #AS2611 BELNET, BE
192.135.167.0/24 #AS2611 BELNET, BE
192.135.168.0/24 #AS2611 BELNET, BE
192.156.132.0/24 #AS2611 BELNET, BE
193.9.8.0/22 #AS2611 BELNET, BE
193.53.3.0/24 #AS2611 BELNET, BE
193.53.34.0/24 #AS2611 BELNET, BE
193.53.113.0/24 #AS2611 BELNET, BE
193.53.114.0/23 #AS2611 BELNET, BE
193.53.116.0/22 #AS2611 BELNET, BE
193.53.120.0/22 #AS2611 BELNET, BE
193.53.124.0/24 #AS2611 BELNET, BE
193.58.148.0/23 #AS2611 BELNET, BE
193.58.156.0/24 #AS2611 BELNET, BE
193.58.158.0/23 #AS2611 BELNET, BE
193.58.172.0/24 #AS2611 BELNET, BE
193.190.0.0/15 #AS2611 BELNET, BE
192.175.48.1/32 #AS5406 BNIX AS for BNIX, BE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
23.61.4.0/22 #AS5432 PROXIMUS-ISP-AS, BE
37.62.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
37.184.0.0/15 #AS5432 PROXIMUS-ISP-AS, BE
46.178.0.0/15 #AS5432 PROXIMUS-ISP-AS, BE
62.4.128.0/17 #AS5432 PROXIMUS-ISP-AS, BE
62.235.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
80.200.0.0/15 #AS5432 PROXIMUS-ISP-AS, BE
80.236.128.0/17 #AS5432 PROXIMUS-ISP-AS, BE
81.11.128.0/17 #AS5432 PROXIMUS-ISP-AS, BE
81.169.0.0/17 #AS5432 PROXIMUS-ISP-AS, BE
81.240.0.0/13 #AS5432 PROXIMUS-ISP-AS, BE
83.134.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
87.64.0.0/14 #AS5432 PROXIMUS-ISP-AS, BE
88.197.128.0/17 #AS5432 PROXIMUS-ISP-AS, BE
91.176.0.0/13 #AS5432 PROXIMUS-ISP-AS, BE
92.48.128.0/18 #AS5432 PROXIMUS-ISP-AS, BE
109.128.0.0/12 #AS5432 PROXIMUS-ISP-AS, BE
178.144.0.0/15 #AS5432 PROXIMUS-ISP-AS, BE
188.5.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
193.74.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
193.75.128.0/17 #AS5432 PROXIMUS-ISP-AS, BE
193.91.96.0/19 #AS5432 PROXIMUS-ISP-AS, BE
193.121.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
194.78.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
194.119.224.0/19 #AS5432 PROXIMUS-ISP-AS, BE
195.0.0.0/17 #AS5432 PROXIMUS-ISP-AS, BE
195.13.0.0/19 #AS5432 PROXIMUS-ISP-AS, BE
195.74.192.0/19 #AS5432 PROXIMUS-ISP-AS, BE
195.95.0.0/17 #AS5432 PROXIMUS-ISP-AS, BE
195.207.0.0/16 #AS5432 PROXIMUS-ISP-AS, BE
