41.138.96.0/19 #AS25543 FasoNet-AS, BF
41.203.224.0/20 #AS25543 FasoNet-AS, BF
154.66.160.0/20 #AS25543 FasoNet-AS, BF
192.136.55.0/24 #AS25543 FasoNet-AS, BF
196.28.240.0/20 #AS25543 FasoNet-AS, BF
206.82.130.0/24 #AS25543 FasoNet-AS, BF
212.52.128.0/19 #AS25543 FasoNet-AS, BF
41.223.232.0/22 #AS37008 Alink-Faso, BF
102.68.101.0/24 #AS37008 Alink-Faso, BF
102.68.102.0/23 #AS37008 Alink-Faso, BF
41.216.144.0/20 #AS37073 IPP-burkina-as, BF
41.78.48.0/21 #AS37163 IPSYSTEM, BF
105.235.176.0/20 #AS37526 Telecel-Faso, BF
102.178.0.0/17 #AS37577 Orange-, BF
102.178.128.0/18 #AS37577 Orange-, BF
102.178.192.0/19 #AS37577 Orange-, BF
102.178.224.0/20 #AS37577 Orange-, BF
102.178.240.0/21 #AS37577 Orange-, BF
102.178.248.0/23 #AS37577 Orange-, BF
102.178.255.0/24 #AS37577 Orange-, BF
102.179.0.0/19 #AS37577 Orange-, BF
102.179.32.0/20 #AS37577 Orange-, BF
102.179.48.0/23 #AS37577 Orange-, BF
102.179.50.0/24 #AS37577 Orange-, BF
102.179.96.0/19 #AS37577 Orange-, BF
102.179.128.0/17 #AS37577 Orange-, BF
102.180.0.0/24 #AS37577 Orange-, BF
102.180.2.0/23 #AS37577 Orange-, BF
102.180.4.0/22 #AS37577 Orange-, BF
102.180.8.0/21 #AS37577 Orange-, BF
102.180.16.0/20 #AS37577 Orange-, BF
102.180.32.0/19 #AS37577 Orange-, BF
102.180.64.0/23 #AS37577 Orange-, BF
102.180.67.0/24 #AS37577 Orange-, BF
102.180.68.0/22 #AS37577 Orange-, BF
102.180.72.0/21 #AS37577 Orange-, BF
102.180.80.0/20 #AS37577 Orange-, BF
102.180.96.0/24 #AS37577 Orange-, BF
102.180.100.0/22 #AS37577 Orange-, BF
102.180.104.0/21 #AS37577 Orange-, BF
102.180.112.0/20 #AS37577 Orange-, BF
102.180.128.0/19 #AS37577 Orange-, BF
102.180.160.0/21 #AS37577 Orange-, BF
102.180.168.0/22 #AS37577 Orange-, BF
102.180.180.0/22 #AS37577 Orange-, BF
102.180.184.0/21 #AS37577 Orange-, BF
102.180.192.0/21 #AS37577 Orange-, BF
102.180.200.0/22 #AS37577 Orange-, BF
102.180.204.0/24 #AS37577 Orange-, BF
102.180.207.0/24 #AS37577 Orange-, BF
102.180.208.0/20 #AS37577 Orange-, BF
102.180.224.0/19 #AS37577 Orange-, BF
197.239.64.0/23 #AS37577 Orange-, BF
197.239.66.0/24 #AS37577 Orange-, BF
197.239.72.0/21 #AS37577 Orange-, BF
197.239.80.0/20 #AS37577 Orange-, BF
197.239.96.0/22 #AS37577 Orange-, BF
197.239.101.0/24 #AS37577 Orange-, BF
197.239.102.0/23 #AS37577 Orange-, BF
197.239.104.0/22 #AS37577 Orange-, BF
197.239.108.0/23 #AS37577 Orange-, BF
197.239.112.0/22 #AS37577 Orange-, BF
197.239.116.0/24 #AS37577 Orange-, BF
154.65.60.0/22 #AS37648 UEMOA, BF
192.175.48.1/32 #AS37716 Burkina-IX-PEERING, BF - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
102.67.96.0/19 #AS37721 Virtual-Technologies-Solutions-SA, BF
102.214.64.0/22 #AS37721 Virtual-Technologies-Solutions-SA, BF
154.73.48.0/23 #AS37721 Virtual-Technologies-Solutions-SA, BF
160.119.88.0/21 #AS37721 Virtual-Technologies-Solutions-SA, BF
165.16.208.0/20 #AS37721 Virtual-Technologies-Solutions-SA, BF
102.212.160.0/24 #AS37734 Virtix-Datacenter, BF
