102.215.124.0/23 #AS329086 FIRSTNET FIRSTNET SA, BJ
196.251.153.0/24 #AS328133 ABC-CORPORATION-AS ABC Corporation SARL, BJ
196.251.155.0/24 #AS328133 ABC-CORPORATION-AS ABC Corporation SARL, BJ
102.207.112.0/22 #AS329512 AD-SOLUTIONS AD Solutions, BJ
196.49.8.0/24 #AS327818 BENIN-IX ISOCEL SA, BJ
196.60.118.0/24 #AS329544 CHAPITRE-BENINOIS-DE-L-INTERNET-SOCIETY-MGMT CHAPITRE BENINOIS DE L'INTERNET SOCIETY, BJ
45.221.224.0/19 #AS328092 SUD-TELCOM-AS SUD TELECOM SOLUTIONS, BJ
41.86.224.0/19 #AS37090 ISOCEL ISOCEL SA, BJ
41.222.192.0/22 #AS37090 ISOCEL ISOCEL SA, BJ
102.38.128.0/19 #AS37090 ISOCEL ISOCEL SA, BJ
102.209.80.0/22 #AS37090 ISOCEL ISOCEL SA, BJ
102.215.136.0/22 #AS37090 ISOCEL ISOCEL SA, BJ
154.66.128.0/20 #AS37090 ISOCEL ISOCEL SA, BJ
41.85.162.0/23 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.85.167.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.85.168.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.85.173.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.85.176.0/22 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.85.181.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.216.34.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.216.42.0/23 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.216.53.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
41.216.54.0/24 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
81.91.230.0/23 #AS328228 SBIN-AS SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES, BJ
