63.115.0.0/20 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
66.55.112.0/20 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
104.218.168.0/21 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
142.54.192.0/21 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
162.255.216.0/21 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
167.245.253.0/24 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
167.245.254.0/24 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
192.40.86.0/23 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
198.207.16.0/21 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
199.96.64.0/22 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
199.172.192.0/18 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
206.188.128.0/19 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
207.228.128.0/18 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
216.249.32.0/20 #AS3855 LOGIC-3855 - Logic Communications Ltd, BM
