170.82.244.0/23 #AS264858 SERVICIO-IMPUESTOS-NACIONALES Servicio de Impuestos Nacionales, BO
200.12.255.0/24 #AS272041 FUNDACION-DIACONIA-FONDO FUNDACION DIACONIA FONDO ROTATIVO DE INVERSION Y FOMENTO INSTITUCION FINANCIERA DE DESARROLLO (DIACONIA FRIF - IFD), BO
132.251.224.0/19 #AS27839 COMTECO Comteco Ltda, BO
181.114.64.0/19 #AS27839 COMTECO Comteco Ltda, BO
181.177.128.0/18 #AS27839 COMTECO Comteco Ltda, BO
190.11.64.0/19 #AS27839 COMTECO Comteco Ltda, BO
190.106.240.0/20 #AS27839 COMTECO Comteco Ltda, BO
190.107.32.0/19 #AS27839 COMTECO Comteco Ltda, BO
200.58.64.0/19 #AS27839 COMTECO Comteco Ltda, BO
201.150.160.0/20 #AS27839 COMTECO Comteco Ltda, BO
190.111.178.0/24 #AS269959 ADMINISTRADORA-TARJETAS-CREDITO ADMINISTRADORA DE TARJETAS DE CRÉDITO S.A (ATC S.A), BO
166.114.16.0/20 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
166.114.32.0/19 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
166.114.64.0/18 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
166.114.128.0/17 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
168.205.96.0/22 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
181.115.128.0/17 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
190.0.248.0/22 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
190.0.252.0/23 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
190.0.254.0/24 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
190.129.0.0/16 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
200.13.158.0/24 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
200.87.0.0/16 #AS6568 EMPRESA-NACIONAL-TELECOMUNICACIONES EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA, BO
190.14.64.0/19 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.96.0/22 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.100.0/24 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.104.0/22 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.108.0/24 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.110.0/24 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.114.0/23 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.116.0/22 #AS22541 MEGALINK MEGALINK S.R.L., BO
190.14.120.0/21 #AS22541 MEGALINK MEGALINK S.R.L., BO
200.75.160.0/21 #AS22541 MEGALINK MEGALINK S.R.L., BO
200.75.168.0/23 #AS22541 MEGALINK MEGALINK S.R.L., BO
200.75.170.0/24 #AS22541 MEGALINK MEGALINK S.R.L., BO
200.75.172.0/22 #AS22541 MEGALINK MEGALINK S.R.L., BO
200.7.160.0/20 #AS27828 UNIVERSIDAD-MAYOR-SAN-ANDRES UNIVERSIDAD MAYOR DE SAN ANDRES, BO
45.145.132.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
45.145.134.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
82.21.156.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
82.21.195.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
82.25.21.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
82.25.32.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
82.29.148.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
167.157.0.0/16 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.192.0/20 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.208.0/21 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.216.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.220.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.222.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.224.0/20 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.240.0/21 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.249.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.250.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
186.121.252.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.181.0.0/21 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.181.8.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.181.12.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.181.15.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.181.16.0/20 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.181.32.0/19 #AS26210 AXS-BLV Divinetworks for BLV, BO
192.223.121.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
192.223.122.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
192.223.126.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.128.0/18 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.192.0/21 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.200.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.205.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.206.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.208.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.212.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.215.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
