186.232.108.0/22 #AS263062 CDZNET-DATACENTER CDZNET DATACENTER LTDA, BR
191.243.140.0/22 #AS263062 CDZNET-DATACENTER CDZNET DATACENTER LTDA, BR
45.172.216.0/23 #AS268794 FINCH-BRASIL-SOLUCOES FINCH BRASIL SOLUCOES INTEGRADAS DE TECNOLOGIA LTD, BR
24.152.4.0/22 #AS270494 JNET-TELECOM JNET TELECOM, BR
170.0.192.0/22 #AS266299 MARCOS-SINDOR-RIBEIRAO MARCOS SINDOR RIBEIRAO BRANCO EIRELI - ME, BR
170.79.148.0/22 #AS266299 MARCOS-SINDOR-RIBEIRAO MARCOS SINDOR RIBEIRAO BRANCO EIRELI - ME, BR
190.89.184.0/22 #AS270390 EVANUEL-SANTOS-GOMES Evanuel dos Santos Gomes- ME, BR
38.226.106.0/23 #AS275641 EDGE-TELECOM EDGE TELECOM LTDA, BR
177.125.48.0/21 #AS262334 NB-INFORMATICA NB INFORMATICA, BR
200.219.20.0/22 #AS270811 INFO-HOUSE-TELECOM INFO HOUSE TELECOM LTDA, BR
200.192.96.0/21 #AS13357 AMPERNET-TELECOMUNICACOES Ampernet Telecomunicações Ltda, BR
181.232.228.0/23 #AS271577 CLIKPOWER-TELECOMUNICACOES-EIRELI CLIKPOWER TELECOMUNICACOES EIRELI, BR
131.0.60.0/22 #AS61704 CONECTIVA-TELECOM Conectiva Telecom LTDA, BR
179.42.48.0/22 #AS271128 FAST-WEB FAST WEB, BR
177.125.140.0/23 #AS52646 SERVIMED-COMERCIAL Servimed Comercial Ltda, BR
177.128.117.0/24 #AS28253 OPERADOR-NACIONAL-SISTEMA Operador Nacional do Sistema Elétrico, BR
200.9.186.0/24 #AS28253 OPERADOR-NACIONAL-SISTEMA Operador Nacional do Sistema Elétrico, BR
131.72.20.0/22 #AS61716 REDE-TUPINIQUIM-COMUNICACAO Rede Tupiniquim de Comunicação Ltda - ME, BR
38.41.192.0/22 #AS271751 GIGANET-WIRELESS GIGANET WIRELESS LTDA, BR
45.164.40.0/24 #AS271751 GIGANET-WIRELESS GIGANET WIRELESS LTDA, BR
206.0.20.0/22 #AS271751 GIGANET-WIRELESS GIGANET WIRELESS LTDA, BR
45.224.176.0/22 #AS266918 NCB-TELECOMUNICACOES-EIRELI NCB TELECOMUNICAÇÕES EIRELI EPP, BR
177.21.64.0/20 #AS53245 ACTION-INFINITE-COMMUNICATIONS ActiON Infinite Communications Brazil, BR
45.176.212.0/22 #AS275614 ALTA-AMERICA-LATINA ALTA - América Latina Telecomunicações Avançadas, BR
45.70.172.0/22 #AS267584 JAB-NET-PROVEDOR J.A.B. Net Provedor de Serviços de Internet Eireli, BR
186.232.8.0/21 #AS263056 INDNET-TELECOMUNICACOES INDNET TELECOMUNICACOES LTDA, BR
186.225.208.0/21 #AS263101 NETMAX-TECNOLOGIA Netmax Tecnologia Ltda, BR
138.121.208.0/23 #AS265315 BINDNET-RJ BINDNET RJ, BR
138.121.210.0/24 #AS265315 BINDNET-RJ BINDNET RJ, BR
168.121.176.0/22 #AS265315 BINDNET-RJ BINDNET RJ, BR
204.157.78.0/24 #AS265315 BINDNET-RJ BINDNET RJ, BR
206.0.0.0/22 #AS265315 BINDNET-RJ BINDNET RJ, BR
138.122.56.0/22 #AS264327 ANDERSON-MANZANO-BACHIEGA ANDERSON MANZANO BACHIEGA, BR
170.233.200.0/22 #AS271265 TUDO-ON-TELECOMUNICACOES TUDO ON TELECOMUNICACOES, BR
45.161.16.0/22 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
45.188.120.0/22 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
168.90.164.0/22 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
170.238.164.0/22 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
177.66.240.0/21 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
177.84.16.0/22 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
189.50.60.0/22 #AS53005 REDE-CONNECT-TELECOMUNICACOES REDE CONNECT TELECOMUNICACOES LTDA, BR
