103.129.63.0/24 #AS7615 BTIX-AS-AP Bhutan Internet Exchange, BT
192.175.48.1/32 #AS17482 BTIX-AS-AP Bhutan Internet Exchange, BT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.64.248.0/22 #AS17660 DRUKNET-AS DrukNet ISP, BT
103.245.240.0/22 #AS17660 DRUKNET-AS DrukNet ISP, BT
119.2.96.0/19 #AS17660 DRUKNET-AS DrukNet ISP, BT
163.227.12.0/23 #AS17660 DRUKNET-AS DrukNet ISP, BT
163.227.18.0/23 #AS17660 DRUKNET-AS DrukNet ISP, BT
163.227.20.0/22 #AS17660 DRUKNET-AS DrukNet ISP, BT
163.227.24.0/21 #AS17660 DRUKNET-AS DrukNet ISP, BT
202.144.128.0/19 #AS17660 DRUKNET-AS DrukNet ISP, BT
45.64.251.0/24 #AS18024 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT
103.245.240.0/23 #AS18024 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT
119.2.96.0/19 #AS18024 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT
202.144.128.0/19 #AS18024 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT
45.64.248.0/23 #AS18025 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT
45.64.250.0/24 #AS18025 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT
192.175.48.1/32 #AS18205 BTTELECOM-AS-AP Bhutan Telecom Ltd, BT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
43.241.136.0/22 #AS23955 TASHICELL-DOMESTIC-AS Tashi InfoComm Limited, BT
103.29.224.0/22 #AS23955 TASHICELL-DOMESTIC-AS Tashi InfoComm Limited, BT
103.71.40.0/22 #AS23955 TASHICELL-DOMESTIC-AS Tashi InfoComm Limited, BT
118.103.136.0/21 #AS23955 TASHICELL-DOMESTIC-AS Tashi InfoComm Limited, BT
202.89.24.0/21 #AS38004 FASTLINK-ISP FastLink Wireless ISP, DrukCom Pvt. Enterprise., BT
192.175.48.1/32 #AS38740 TASHICELL-TRANSIT-AS Tashi InfoComm Limited, BT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS59219 MOIC-BT Ministry of Information & Communications, BT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
