102.134.160.0/20 #AS327776 Stature-PTY-LTD, BW
102.134.84.0/22 #AS328348 FasttrackLearning-AS, BW
102.141.112.0/21 #AS327830 Concerotel-Botswana, BW
102.165.128.0/19 #AS37395 ABARI, BW
102.165.144.0/20 #AS329078 ABARI-FTTH, BW
102.202.190.0/23 #AS329731 Digital-Delta-IX, BW
102.204.97.0/24 #AS329713 Malakana-Enterprises-Proprietary-Limited, BW
102.205.122.0/24 #AS14988 BTC-GATE1, BW
102.207.236.0/22 #AS37604 Zebranet-AS, BW
102.208.32.0/22 #AS329473 Click-Connect, BW
102.211.140.0/22 #AS329301 BOTSWANA-RESEARCH-AND-EDUCATION-NETWORK, BW
102.214.126.0/24 #AS329185 PNPL1-AS, BW
102.215.0.0/22 #AS37014 Mascom-Wireless-Botswana, BW
102.219.206.0/24 #AS328869 BGL-AS, BW
102.219.75.0/24 #AS328996 BPSL1-AS, BW
102.222.173.0/24 #AS328757 Donya-Digital-AS, BW
102.222.8.0/22 #AS328737 Netway-Proprietary-Limited, BW
105.235.240.0/20 #AS36963 OBO, BW
129.205.192.0/18 #AS37678 BOFINET, BW
154.0.16.0/24 #AS37711 SeaBreeze, BW
154.0.18.0/23 #AS37711 SeaBreeze, BW
154.0.20.0/22 #AS37711 SeaBreeze, BW
154.70.144.0/21 #AS327716 Microteck-AS, BW
154.73.36.0/22 #AS327757 ICT-DYNAMIX, BW
154.73.84.0/22 #AS327776 Stature-PTY-LTD, BW
156.38.16.0/20 #AS328459 VBN-Services, BW
156.38.4.0/22 #AS37014 Mascom-Wireless-Botswana, BW
168.167.0.0/16 #AS14988 BTC-GATE1, BW
169.255.80.0/22 #AS327830 Concerotel-Botswana, BW
192.175.48.1/32 #AS327696 BINX-MGMT-AS, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS328070 MTN-Business-Solutions-BW-AS, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329381 FIBRE-SOURCING, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329581 Botswana-Communications-Regulatory, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329604 Elemech_Contractors_Proprietary_Limited, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329615 Cloud-Raptor, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329732 Digital-Delta-IX, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37771 BINX-Peering, BW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.216.163.0/24 #AS37051 govbw-as0, BW
196.2.2.0/24 #AS329301 BOTSWANA-RESEARCH-AND-EDUCATION-NETWORK, BW
196.44.118.0/24 #AS212122 ADMIRA-SOLUTIONS, BW
196.45.164.0/22 #AS33781 OPQ, BW
197.231.192.0/22 #AS37604 Zebranet-AS, BW
38.51.240.0/23 #AS327776 Stature-PTY-LTD, BW
41.138.72.0/21 #AS36963 OBO, BW
41.190.244.0/22 #AS36963 OBO, BW
41.191.216.0/22 #AS37678 BOFINET, BW
41.191.64.0/22 #AS37604 Zebranet-AS, BW
41.216.208.0/21 #AS37678 BOFINET, BW
41.223.140.0/22 #AS36963 OBO, BW
41.223.192.0/24 #AS328181 GCSat-Botswana, BW
41.223.195.0/24 #AS37678 BOFINET, BW
41.223.72.0/22 #AS37014 Mascom-Wireless-Botswana, BW
41.74.48.0/20 #AS36963 OBO, BW
41.75.0.0/20 #AS33781 OPQ, BW
41.76.240.0/21 #AS37678 BOFINET, BW
41.76.240.0/24 #AS328459 VBN-Services, BW
41.76.244.0/24 #AS328459 VBN-Services, BW
41.77.88.0/21 #AS36963 OBO, BW
41.78.92.0/22 #AS14988 BTC-GATE1, BW
41.79.136.0/22 #AS37395 ABARI, BW
41.79.32.0/22 #AS327760 ELECTRO-METIC, BW
41.87.160.0/19 #AS37257 BBI, BW
83.143.24.0/21 #AS37678 BOFINET, BW
