192.175.48.1/32 #AS58 SSC-299-Z-58 - Shared Services Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
128.100.0.0/16 #AS239 UTORONTO-AS - University of Toronto, CA
138.51.0.0/16 #AS239 UTORONTO-AS - University of Toronto, CA
142.1.0.0/16 #AS239 UTORONTO-AS - University of Toronto, CA
142.150.0.0/15 #AS239 UTORONTO-AS - University of Toronto, CA
192.12.174.0/24 #AS239 UTORONTO-AS - University of Toronto, CA
192.12.176.0/21 #AS239 UTORONTO-AS - University of Toronto, CA
192.75.254.0/24 #AS239 UTORONTO-AS - University of Toronto, CA
192.82.128.0/22 #AS239 UTORONTO-AS - University of Toronto, CA
104.128.240.0/20 #AS271 BCNET-AS - BCNET, CA
128.189.0.0/16 #AS271 BCNET-AS - BCNET, CA
134.87.0.0/16 #AS271 BCNET-AS - BCNET, CA
142.231.0.0/16 #AS271 BCNET-AS - BCNET, CA
192.67.9.0/24 #AS271 BCNET-AS - BCNET, CA
192.146.156.0/24 #AS271 BCNET-AS - BCNET, CA
192.197.225.0/24 #AS271 BCNET-AS - BCNET, CA
192.197.226.0/24 #AS271 BCNET-AS - BCNET, CA
198.162.20.0/22 #AS271 BCNET-AS - BCNET, CA
198.162.96.0/20 #AS271 BCNET-AS - BCNET, CA
198.162.112.0/21 #AS271 BCNET-AS - BCNET, CA
199.9.57.0/24 #AS271 BCNET-AS - BCNET, CA
199.60.119.0/24 #AS271 BCNET-AS - BCNET, CA
199.60.120.0/24 #AS271 BCNET-AS - BCNET, CA
199.60.226.0/23 #AS271 BCNET-AS - BCNET, CA
206.12.0.0/16 #AS271 BCNET-AS - BCNET, CA
206.87.0.0/16 #AS271 BCNET-AS - BCNET, CA
206.123.160.0/19 #AS271 BCNET-AS - BCNET, CA
207.23.0.0/16 #AS271 BCNET-AS - BCNET, CA
209.87.16.0/20 #AS271 BCNET-AS - BCNET, CA
209.87.32.0/19 #AS271 BCNET-AS - BCNET, CA
74.121.120.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
132.204.0.0/14 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
132.208.0.0/13 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
132.216.0.0/14 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
142.81.0.0/16 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.26.210.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.77.46.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.77.49.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.77.63.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.77.69.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.77.70.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.77.72.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.139.149.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.149.23.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.197.51.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.197.190.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.219.64.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
192.219.72.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
198.73.164.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
198.168.27.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
198.168.46.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
