41.222.196.0/24 #AS37020 CELTEL-DRC, CD
41.222.198.0/23 #AS37020 CELTEL-DRC, CD
41.243.1.0/24 #AS37020 CELTEL-DRC, CD
41.243.2.0/23 #AS37020 CELTEL-DRC, CD
41.243.4.0/22 #AS37020 CELTEL-DRC, CD
41.243.8.0/21 #AS37020 CELTEL-DRC, CD
41.243.16.0/23 #AS37020 CELTEL-DRC, CD
41.243.18.0/24 #AS37020 CELTEL-DRC, CD
41.243.20.0/22 #AS37020 CELTEL-DRC, CD
41.243.25.0/24 #AS37020 CELTEL-DRC, CD
41.243.27.0/24 #AS37020 CELTEL-DRC, CD
41.243.28.0/22 #AS37020 CELTEL-DRC, CD
41.243.40.0/21 #AS37020 CELTEL-DRC, CD
41.243.48.0/22 #AS37020 CELTEL-DRC, CD
41.243.52.0/23 #AS37020 CELTEL-DRC, CD
41.243.54.0/24 #AS37020 CELTEL-DRC, CD
41.243.56.0/22 #AS37020 CELTEL-DRC, CD
41.243.60.0/23 #AS37020 CELTEL-DRC, CD
41.243.72.0/23 #AS37020 CELTEL-DRC, CD
41.243.75.0/24 #AS37020 CELTEL-DRC, CD
41.243.76.0/24 #AS37020 CELTEL-DRC, CD
41.243.240.0/20 #AS37020 CELTEL-DRC, CD
196.61.74.0/23 #AS37020 CELTEL-DRC, CD
41.189.196.0/23 #AS37102 CIELUX-RDC, CD
41.189.206.0/23 #AS37102 CIELUX-RDC, CD
41.189.208.0/22 #AS37102 CIELUX-RDC, CD
41.189.214.0/24 #AS37102 CIELUX-RDC, CD
41.223.104.0/22 #AS37414 Microcom-Sprl, CD
196.61.72.0/22 #AS37414 Microcom-Sprl, CD
41.222.216.0/22 #AS37415 AFRINET, CD
192.175.48.1/32 #AS37431 ISPA-DRC, CD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.77.220.0/22 #AS37447 ORANGE-RDC, CD
102.206.156.0/22 #AS37447 ORANGE-RDC, CD
102.223.128.0/22 #AS37447 ORANGE-RDC, CD
169.239.156.0/22 #AS37447 ORANGE-RDC, CD
169.255.204.0/22 #AS37447 ORANGE-RDC, CD
196.8.224.0/24 #AS37447 ORANGE-RDC, CD
197.29.122.0/24 #AS37447 ORANGE-RDC, CD
197.29.125.0/24 #AS37447 ORANGE-RDC, CD
197.157.208.0/22 #AS37447 ORANGE-RDC, CD
206.42.64.0/21 #AS37447 ORANGE-RDC, CD
206.42.73.0/24 #AS37447 ORANGE-RDC, CD
206.42.74.0/24 #AS37447 ORANGE-RDC, CD
206.42.76.0/23 #AS37447 ORANGE-RDC, CD
206.42.79.0/24 #AS37447 ORANGE-RDC, CD
206.42.84.0/23 #AS37447 ORANGE-RDC, CD
206.42.87.0/24 #AS37447 ORANGE-RDC, CD
41.78.192.0/22 #AS37453 VODACOM-CONGO, CD
41.190.80.0/22 #AS37453 VODACOM-CONGO, CD
41.215.252.0/22 #AS37453 VODACOM-CONGO, CD
102.209.212.0/22 #AS37453 VODACOM-CONGO, CD
169.159.208.0/21 #AS37453 VODACOM-CONGO, CD
169.159.216.0/22 #AS37453 VODACOM-CONGO, CD
169.159.220.0/23 #AS37453 VODACOM-CONGO, CD
169.159.223.0/24 #AS37453 VODACOM-CONGO, CD
