197.214.128.0/17 #AS37550 CONGOB-AIRTEL CongoB Airtel Pointe Noire, CG
102.64.116.0/23 #AS328500 AMC-TELECOM A.M.C Telecom, CG
102.64.119.0/24 #AS328500 AMC-TELECOM A.M.C Telecom, CG
154.53.208.0/24 #AS328500 AMC-TELECOM A.M.C Telecom, CG
196.43.240.0/24 #AS37548 ARPCE-AS ARPCE's Autonomous System Number, CG
196.49.56.0/24 #AS328329 ARPCE-AS ARPCE, CG
102.204.124.0/24 #AS329632 TELECOMMUNICATION-DU-CONGO TELECOMMUNICATION DU CONGO, CG
102.220.244.0/22 #AS328857 SILICONEAS SILICONE CONNECT, CG
102.223.220.0/22 #AS327829 AS-SKYTIC-TELECOM SKYTIC TELECOM, CG
169.255.72.0/22 #AS327829 AS-SKYTIC-TELECOM SKYTIC TELECOM, CG
160.113.0.0/16 #AS37463 MTN-CONGO MTN Congo, CG
169.255.120.0/22 #AS37463 MTN-CONGO MTN Congo, CG
197.149.136.0/22 #AS37463 MTN-CONGO MTN Congo, CG
102.129.64.0/24 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.66.0/23 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.68.0/22 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.72.0/21 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.81.0/24 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.82.0/24 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.84.0/23 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.88.0/22 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.92.0/23 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.129.94.0/24 #AS37451 CONGOTELECOM CONGO TELECOM, CG
102.213.232.0/24 #AS37451 CONGOTELECOM CONGO TELECOM, CG
154.53.209.0/24 #AS37451 CONGOTELECOM CONGO TELECOM, CG
154.53.210.0/23 #AS37451 CONGOTELECOM CONGO TELECOM, CG
197.157.252.0/22 #AS37451 CONGOTELECOM CONGO TELECOM, CG
