65.208.122.0/23 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
190.4.128.0/18 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
190.88.0.0/16 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
198.93.48.0/22 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
198.93.176.0/21 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
200.6.56.0/21 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
200.26.192.0/19 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
206.113.24.0/21 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
216.152.160.0/20 #AS11081 UNITED-TELECOMMUNICATION-SERVICES United Telecommunication Services (UTS), CW
200.26.196.0/24 #AS52301 MADURO-CURIELS-BANK Maduro & Curiels Bank, CW
63.245.108.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
131.221.144.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
138.219.140.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
161.0.96.0/20 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
170.245.0.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
186.2.176.0/20 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.128.0/20 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.144.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.148.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.154.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.157.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.160.0/21 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.168.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.172.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.174.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.4.181.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.0.0/19 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.40.0/21 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.49.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.50.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.52.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.58.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.128.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.130.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.132.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.88.136.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
190.112.224.0/19 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.6.56.0/22 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.26.192.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.26.195.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.26.202.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.26.205.0/24 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.26.206.0/23 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
200.26.208.0/20 #AS52233 COLUMBUS-COMMUNICATIONS-CURACAO Columbus Communications Curacao NV, CW
45.234.112.0/22 #AS266780 GROTE-VREUGDE-NV GROTE VREUGDE NV, CW
190.185.0.0/18 #AS265825 WORLDSTREAM-LATAM-BV WORLDSTREAM LATAM B.V, CW
186.148.216.0/22 #AS262164 NETPRO-NV NetPro N.V., CW
200.115.179.0/24 #AS262238 ENNIA-CARIBE-HOLDING-NV Ennia Caribe Holding N.V., CW
185.185.184.0/22 #AS52165 BALTSPORT-AS Sportesla N.V., CW
45.139.204.0/23 #AS60906 PLAYDOM Playdom B.V., CW
185.170.164.0/23 #AS60906 PLAYDOM Playdom B.V., CW
185.171.230.0/23 #AS60906 PLAYDOM Playdom B.V., CW
185.191.169.0/24 #AS60906 PLAYDOM Playdom B.V., CW
193.23.16.0/22 #AS60906 PLAYDOM Playdom B.V., CW
193.148.244.0/23 #AS60906 PLAYDOM Playdom B.V., CW
38.65.58.0/24 #AS52391 CURACAO-TECHNOLOGY-EXCHANGE-NV Curacao Technology Exchange N.V (CTEX), CW
190.123.20.0/22 #AS52391 CURACAO-TECHNOLOGY-EXCHANGE-NV Curacao Technology Exchange N.V (CTEX), CW
216.122.184.0/23 #AS52391 CURACAO-TECHNOLOGY-EXCHANGE-NV Curacao Technology Exchange N.V (CTEX), CW
216.122.188.0/23 #AS52391 CURACAO-TECHNOLOGY-EXCHANGE-NV Curacao Technology Exchange N.V (CTEX), CW
38.43.69.0/24 #AS274149 DATAPLANET-NV Dataplanet N.V., CW
200.0.21.0/24 #AS28017 CAR-IX1 Carribean Internet Exchange (CAR-IX) Peering AS, CW
186.148.220.0/22 #AS27748 NETPRO-NV NetPro N.V., CW
38.18.232.0/22 #AS274122 AQUATEL-NV Aquatel N.V., CW
194.169.132.0/22 #AS274122 AQUATEL-NV Aquatel N.V., CW
200.16.93.0/24 #AS262162 FATUM-HOLDING-NV Fatum Holding N.V, CW
45.71.156.0/22 #AS272996 SINCERE-NETWORKS-BV SINCERE NETWORKS B.V., CW
177.93.140.0/23 #AS272996 SINCERE-NETWORKS-BV SINCERE NETWORKS B.V., CW
138.99.212.0/22 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
138.255.253.0/24 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
161.22.48.0/21 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
186.190.233.0/24 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
186.190.235.0/24 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
190.13.120.0/22 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
190.13.124.0/23 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
190.13.126.0/24 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
190.104.104.0/21 #AS27660 CURACAO-TELECOM Curacao Telecom, CW
186.190.240.0/20 #AS26505 E-COMMERCE-PARK-NV E-Commerce Park N.V., CW
200.124.128.0/19 #AS26505 E-COMMERCE-PARK-NV E-Commerce Park N.V., CW
190.13.127.0/24 #AS61473 SFT-BANK-NV SFT Bank N.V., CW
