196.49.10.0/24 #AS327831 ORG-DDCS1-AFRINIC Djibouti Data Center, DJ
41.189.224.0/22 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
41.189.228.0/24 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
41.189.230.0/24 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
41.189.232.0/21 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
41.189.242.0/23 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
41.189.244.0/22 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
41.189.248.0/21 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
102.202.232.0/24 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
196.201.192.0/20 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.0.0/20 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.16.0/23 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.18.0/24 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.20.0/22 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.24.0/21 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.32.0/21 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.41.0/24 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.42.0/23 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.44.0/24 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.48.0/20 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
197.241.64.0/18 #AS30990 ADJIB-AS DJIBOUTI TELECOM - Internet Service, DJ
102.214.90.0/24 #AS329140 AS5-AS Afrifiber SAS, DJ
