45.9.148.0/22 #AS49447 NICEIT Nice IT Services Group Inc., DM
69.12.108.0/22 #AS40945 SATTEL SAT TELECOMMUNICATIONS LTD, DM
104.153.248.0/22 #AS40945 SATTEL SAT TELECOMMUNICATIONS LTD, DM
104.245.204.0/22 #AS40945 SATTEL SAT TELECOMMUNICATIONS LTD, DM
162.213.168.0/22 #AS40945 SATTEL SAT TELECOMMUNICATIONS LTD, DM
199.127.196.0/24 #AS40945 SATTEL SAT TELECOMMUNICATIONS LTD, DM
199.127.198.0/24 #AS40945 SATTEL SAT TELECOMMUNICATIONS LTD, DM
65.48.144.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.153.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.154.0/23 #AS11139 CWRIN CW BARBADOS, DM
65.48.156.0/23 #AS11139 CWRIN CW BARBADOS, DM
65.48.174.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.207.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.214.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.217.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.218.0/23 #AS11139 CWRIN CW BARBADOS, DM
65.48.220.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.236.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.247.0/24 #AS11139 CWRIN CW BARBADOS, DM
65.48.251.0/24 #AS11139 CWRIN CW BARBADOS, DM
67.213.153.0/24 #AS11139 CWRIN CW BARBADOS, DM
67.213.158.0/24 #AS11139 CWRIN CW BARBADOS, DM
69.57.224.0/19 #AS11139 CWRIN CW BARBADOS, DM
69.73.247.0/24 #AS11139 CWRIN CW BARBADOS, DM
69.73.248.0/24 #AS11139 CWRIN CW BARBADOS, DM
69.80.36.0/22 #AS11139 CWRIN CW BARBADOS, DM
69.80.40.0/22 #AS11139 CWRIN CW BARBADOS, DM
69.80.44.0/23 #AS11139 CWRIN CW BARBADOS, DM
69.80.59.0/24 #AS11139 CWRIN CW BARBADOS, DM
72.22.148.0/24 #AS11139 CWRIN CW BARBADOS, DM
72.51.67.0/24 #AS11139 CWRIN CW BARBADOS, DM
72.51.68.0/23 #AS11139 CWRIN CW BARBADOS, DM
72.51.116.0/24 #AS11139 CWRIN CW BARBADOS, DM
72.51.125.0/24 #AS11139 CWRIN CW BARBADOS, DM
72.51.126.0/23 #AS11139 CWRIN CW BARBADOS, DM
76.76.160.0/19 #AS11139 CWRIN CW BARBADOS, DM
104.218.176.0/22 #AS11139 CWRIN CW BARBADOS, DM
162.210.156.0/22 #AS11139 CWRIN CW BARBADOS, DM
162.220.137.0/24 #AS11139 CWRIN CW BARBADOS, DM
162.220.139.0/24 #AS11139 CWRIN CW BARBADOS, DM
162.220.140.0/24 #AS11139 CWRIN CW BARBADOS, DM
162.222.84.0/22 #AS11139 CWRIN CW BARBADOS, DM
162.252.188.0/22 #AS11139 CWRIN CW BARBADOS, DM
162.253.100.0/22 #AS11139 CWRIN CW BARBADOS, DM
192.64.120.0/22 #AS11139 CWRIN CW BARBADOS, DM
192.214.112.0/23 #AS11139 CWRIN CW BARBADOS, DM
192.214.114.0/24 #AS11139 CWRIN CW BARBADOS, DM
196.1.160.0/24 #AS11139 CWRIN CW BARBADOS, DM
196.1.162.0/24 #AS11139 CWRIN CW BARBADOS, DM
196.1.167.0/24 #AS11139 CWRIN CW BARBADOS, DM
196.1.168.0/24 #AS11139 CWRIN CW BARBADOS, DM
196.1.171.0/24 #AS11139 CWRIN CW BARBADOS, DM
198.56.56.0/22 #AS11139 CWRIN CW BARBADOS, DM
198.101.28.0/22 #AS11139 CWRIN CW BARBADOS, DM
199.16.56.0/22 #AS11139 CWRIN CW BARBADOS, DM
199.189.112.0/22 #AS11139 CWRIN CW BARBADOS, DM
199.195.220.0/24 #AS11139 CWRIN CW BARBADOS, DM
199.195.223.0/24 #AS11139 CWRIN CW BARBADOS, DM
200.50.67.0/24 #AS11139 CWRIN CW BARBADOS, DM
200.50.68.0/23 #AS11139 CWRIN CW BARBADOS, DM
200.50.76.0/23 #AS11139 CWRIN CW BARBADOS, DM
200.50.84.0/23 #AS11139 CWRIN CW BARBADOS, DM
200.50.93.0/24 #AS11139 CWRIN CW BARBADOS, DM
200.50.95.0/24 #AS11139 CWRIN CW BARBADOS, DM
204.16.113.0/24 #AS11139 CWRIN CW BARBADOS, DM
204.16.114.0/23 #AS11139 CWRIN CW BARBADOS, DM
204.212.241.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.160.233.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.192.0/23 #AS11139 CWRIN CW BARBADOS, DM
205.214.194.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.197.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.198.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.200.0/22 #AS11139 CWRIN CW BARBADOS, DM
205.214.204.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.206.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.213.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.214.0/23 #AS11139 CWRIN CW BARBADOS, DM
205.214.216.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.219.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.221.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.214.222.0/24 #AS11139 CWRIN CW BARBADOS, DM
205.217.224.0/19 #AS11139 CWRIN CW BARBADOS, DM
206.53.141.0/24 #AS11139 CWRIN CW BARBADOS, DM
206.214.0.0/19 #AS11139 CWRIN CW BARBADOS, DM
207.42.132.0/22 #AS11139 CWRIN CW BARBADOS, DM
208.0.224.0/21 #AS11139 CWRIN CW BARBADOS, DM
208.169.73.0/24 #AS11139 CWRIN CW BARBADOS, DM
208.169.74.0/23 #AS11139 CWRIN CW BARBADOS, DM
208.169.81.0/24 #AS11139 CWRIN CW BARBADOS, DM
208.169.82.0/24 #AS11139 CWRIN CW BARBADOS, DM
209.59.64.0/18 #AS11139 CWRIN CW BARBADOS, DM
209.236.54.0/23 #AS11139 CWRIN CW BARBADOS, DM
209.236.60.0/22 #AS11139 CWRIN CW BARBADOS, DM
216.110.102.0/24 #AS11139 CWRIN CW BARBADOS, DM
23.186.240.0/24 #AS399915 EPIC-COMMUNICATIONS EPIC Communications Inc, DM
66.118.36.0/22 #AS399915 EPIC-COMMUNICATIONS EPIC Communications Inc, DM
