103.23.62.0/23 #AS272877 TVDATOS S.C.C, EC
123.200.232.0/21 #AS271795 SERVITELCONET CIA. LTDA., EC
123.200.248.0/21 #AS271795 SERVITELCONET CIA. LTDA., EC
128.201.160.0/22 #AS265762 CASTRO TELLO MARCO IVAN CONEXION GLOBAL, EC
131.161.220.0/22 #AS270049 MARVICNET CIA LTDA, EC
131.196.60.0/22 #AS270016 ALAVA MACAS GALO ALFREDO AIRNET, EC
131.196.8.0/22 #AS265632 ANGEL BENIGNO CONDOLO GUAYA, EC
138.122.108.0/22 #AS263792 IN.PLANET S. A, EC
138.185.136.0/22 #AS263805 SOLUCIONES AVANZADAS INFORMATICAS Y TELECOMUNICACIONES SAITEL, EC
143.255.248.0/22 #AS61468 CEDIA, EC
148.227.163.0/24 #AS272889 URDATEL S.A.S., EC
148.227.173.0/24 #AS273177 TELECOM3000 S.A., EC
149.50.192.0/20 #AS22724 PUNTONET S.A., EC
154.197.111.0/24 #AS27947 Telconet S.A, EC
154.198.172.0/24 #AS27947 Telconet S.A, EC
154.84.160.0/22 #AS27947 Telconet S.A, EC
157.100.0.0/16 #AS27947 Telconet S.A, EC
157.100.204.0/24 #AS271936 SERVICIOS DE TELECOMUNICACIONES ATVCABLE CIA. LTDA., EC
164.163.160.0/22 #AS266867 WILSON FERNANDO GOMEZ BARRIONUEVO, EC
164.163.48.0/22 #AS271923 ZOENETV S.A., EC
167.250.132.0/23 #AS273883 MEGATEL-EC S.A., EC
168.194.148.0/23 #AS264744 WIFITELECOM, EC
168.194.150.0/24 #AS264744 WIFITELECOM, EC
168.197.189.0/24 #AS264788 Telconet S.A, EC
168.232.100.0/23 #AS273035 CORPORACION LORIATELECOM S.A.S., EC
170.238.0.0/22 #AS264744 WIFITELECOM, EC
170.238.170.0/23 #AS264801 BANCO GUAYAQUIL, EC
170.239.204.0/22 #AS265629 FIBERNET, EC
170.244.208.0/24 #AS271882 LLANOS ALOMIA LIGIA VERONICA, EC
170.246.84.0/22 #AS265657 SERVICABLE CIA. LTDA., EC
170.254.28.0/22 #AS264746 Maria Teresa Vivar CITYCOM, EC
170.82.112.0/22 #AS264836 Asociacion de Proveedores de Servicio de Valor AgregadoAPROSVA, EC
170.83.216.0/22 #AS264851 IFOTONCORP S.A., EC
171.22.165.0/24 #AS272827 AMMAZONTVNET CIA.LTDA., EC
171.22.166.0/23 #AS272939 TELECOMNET S.A., EC
177.184.92.0/23 #AS271785 TELECOMUNICACIONES NETHOME CIA.LTDA., EC
177.184.94.0/24 #AS273877 TELECOMUNICACIONES NETHOMEMANTA S.A.S., EC
177.184.95.0/24 #AS271785 TELECOMUNICACIONES NETHOME CIA.LTDA., EC
177.234.195.0/24 #AS271874 SERVITRACTOR S.A., EC
177.234.211.0/24 #AS272954 VUELATECHNOLOGY S.A.S., EC
177.234.228.0/24 #AS271837 DESPLIEGUE COMPUTACIONAL E INTERNET DCNET S.A., EC
177.234.241.0/24 #AS273190 VASQUEZ BURGOS LIVINGTON, EC
177.53.212.0/22 #AS263238 Eliana Vanessa Morocho Ona, EC
179.0.129.0/24 #AS267907 CORPORACION FAVORITA C.A., EC
179.0.40.0/22 #AS23031 TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S., EC
179.0.41.0/24 #AS274144 TELINCOM S.A., EC
179.0.42.0/24 #AS271929 INTERCOMMERCE S.A., EC
179.43.95.0/24 #AS269805 MEDIA COMMERCE MEDCOMM S.A, EC
179.49.0.0/18 #AS22724 PUNTONET S.A., EC
179.49.200.0/24 #AS270092 ZAMBRANO CARRENO HUMBERTO ALEJANDRO PROGRAMAX, EC
179.49.201.0/24 #AS263238 Eliana Vanessa Morocho Ona, EC
179.51.136.0/22 #AS270095 SALAZAR GUEVARA ELVIS XAVIER CABLE MAGICO, EC
179.51.140.0/22 #AS263792 IN.PLANET S. A, EC
179.60.136.0/22 #AS269992 Universidad de Guayaquil, EC
179.60.188.0/22 #AS263238 Eliana Vanessa Morocho Ona, EC
179.60.244.0/22 #AS52458 WISP INTERNET ECUADOR, EC
179.60.48.0/23 #AS28058 Stealth Telecom del Ecuador, EC
179.60.50.0/24 #AS28058 Stealth Telecom del Ecuador, EC
179.60.51.0/24 #AS265799 EXPERTSERVI S.A., EC
179.60.52.0/24 #AS271929 INTERCOMMERCE S.A., EC
179.60.54.0/24 #AS265799 EXPERTSERVI S.A., EC
179.60.56.0/24 #AS263805 SOLUCIONES AVANZADAS INFORMATICAS Y TELECOMUNICACIONES SAITEL, EC
179.63.148.0/22 #AS271873 ZAIGOVER S.A, EC
179.63.20.0/22 #AS271837 DESPLIEGUE COMPUTACIONAL E INTERNET DCNET S.A., EC
181.112.104.0/22 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.115.0/24 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.12.0/24 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.136.0/21 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.144.0/20 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.162.0/24 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.164.0/22 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
181.112.180.0/22 #AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP, EC
