196.43.237.0/24 #AS37444 SCCT SCCT, EG
102.212.66.0/23 #AS328786 VALU valU, EG
196.43.219.0/24 #AS37339 MSCC Mediterranean Smart Cards Company, EG
41.68.0.0/15 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
62.68.224.0/19 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
62.240.96.0/19 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
82.129.128.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
102.184.0.0/13 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
102.217.112.0/22 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
102.219.140.0/22 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
105.196.0.0/14 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.128.128.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.129.0.0/16 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.130.0.0/15 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.132.0.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.132.128.0/18 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.132.192.0/19 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.134.0.0/16 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.135.64.0/18 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.135.128.0/18 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.136.0.0/14 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.148.0.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.150.0.0/18 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.150.128.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.151.0.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.151.160.0/19 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.152.128.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.154.0.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.154.128.0/18 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.155.0.0/16 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.156.0.0/16 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.157.0.0/17 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.158.0.0/15 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
196.204.0.0/16 #AS24835 RAYA-AS Vodafone Data - Egypt, EG
