87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
93.190.96.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
91.230.4.0/23 #AS197930 HK-AS Haahtela Oy, FI
91.210.154.0/24 #AS200137 AXNET AX Networks Ab, FI
185.84.30.0/23 #AS200137 AXNET AX Networks Ab, FI
192.121.243.0/24 #AS200137 AXNET AX Networks Ab, FI
91.229.137.0/24 #AS57066 YLE Yleisradio Oy, FI
91.229.138.0/23 #AS57066 YLE Yleisradio Oy, FI
45.8.52.0/22 #AS50585 DATASAFE-AS Suomen Datasafe Oy, FI
185.53.84.0/22 #AS50585 DATASAFE-AS Suomen Datasafe Oy, FI
193.105.97.0/24 #AS50585 DATASAFE-AS Suomen Datasafe Oy, FI
194.110.142.0/24 #AS50585 DATASAFE-AS Suomen Datasafe Oy, FI
193.143.128.0/23 #AS29093 FINGRID Fingrid Oyj, FI
195.234.135.0/24 #AS29093 FINGRID Fingrid Oyj, FI
146.66.28.0/22 #AS43016 KSVVNET Keski-Suomen Valokuituverkot Oy, FI
185.121.216.0/22 #AS43016 KSVVNET Keski-Suomen Valokuituverkot Oy, FI
195.181.192.0/20 #AS43016 KSVVNET Keski-Suomen Valokuituverkot Oy, FI
192.103.102.0/23 #AS198737 TS-YHTYMA TS-Yhtyma Oy, FI
192.103.104.0/24 #AS198737 TS-YHTYMA TS-Yhtyma Oy, FI
45.154.112.0/22 #AS44146 ASFOXCODE FoxCodePlus Oy, FI
77.95.16.0/22 #AS43024 DALAHTI-GER-AS Datalahti Oy, FI
5.180.72.0/22 #AS212916 SUPERCELL Supercell Oy, FI
185.213.224.0/22 #AS29132 IMAGEWORLD-AS Easylinehost Finland Oy, FI
212.94.64.0/20 #AS29132 IMAGEWORLD-AS Easylinehost Finland Oy, FI
212.94.80.0/23 #AS29132 IMAGEWORLD-AS Easylinehost Finland Oy, FI
212.94.88.0/21 #AS29132 IMAGEWORLD-AS Easylinehost Finland Oy, FI
82.199.224.0/19 #AS30978 ATKOS-AS Posti Group Oyj, FI
185.184.44.0/24 #AS206520 HUBLOGISTICS HUB logistics Finland Oy, FI
185.248.34.0/24 #AS211135 MIRKA Mirka Oy, FI
151.244.8.0/24 #AS207003 WEB1-AS Web1 Oy, FI
185.159.237.0/24 #AS207003 WEB1-AS Web1 Oy, FI
185.188.30.0/24 #AS207003 WEB1-AS Web1 Oy, FI
185.218.192.0/23 #AS207003 WEB1-AS Web1 Oy, FI
193.163.5.0/24 #AS207003 WEB1-AS Web1 Oy, FI
192.98.101.0/24 #AS29432 TREX-AS TREX Regional Exchanges Oy, FI
195.140.194.0/23 #AS29432 TREX-AS TREX Regional Exchanges Oy, FI
5.44.240.0/21 #AS201692 ZONER-AS Zoner Oy, FI
193.56.196.0/22 #AS202407 PPSHP Pohjois-Pohjanmaan Sairaanhoitopiirin kuntayhtyma, FI
217.71.144.0/20 #AS30754 FI-PARLIAMENT-AS Eduskunta, FI
31.7.16.0/20 #AS719 ELISA-AS Elisa Oyj, FI
31.132.12.0/24 #AS719 ELISA-AS Elisa Oyj, FI
46.182.112.0/21 #AS719 ELISA-AS Elisa Oyj, FI
62.142.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
62.148.192.0/19 #AS719 ELISA-AS Elisa Oyj, FI
62.216.96.0/19 #AS719 ELISA-AS Elisa Oyj, FI
62.240.64.0/19 #AS719 ELISA-AS Elisa Oyj, FI
62.248.128.0/17 #AS719 ELISA-AS Elisa Oyj, FI
77.109.192.0/18 #AS719 ELISA-AS Elisa Oyj, FI
80.81.160.0/19 #AS719 ELISA-AS Elisa Oyj, FI
80.88.176.0/20 #AS719 ELISA-AS Elisa Oyj, FI
80.186.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
80.248.96.0/19 #AS719 ELISA-AS Elisa Oyj, FI
81.197.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
81.209.0.0/17 #AS719 ELISA-AS Elisa Oyj, FI
82.103.192.0/18 #AS719 ELISA-AS Elisa Oyj, FI
82.118.192.0/19 #AS719 ELISA-AS Elisa Oyj, FI
82.141.64.0/18 #AS719 ELISA-AS Elisa Oyj, FI
82.215.192.0/18 #AS719 ELISA-AS Elisa Oyj, FI
83.245.128.0/17 #AS719 ELISA-AS Elisa Oyj, FI
84.230.0.0/15 #AS719 ELISA-AS Elisa Oyj, FI
85.76.0.0/14 #AS719 ELISA-AS Elisa Oyj, FI
85.156.0.0/15 #AS719 ELISA-AS Elisa Oyj, FI
85.217.0.0/17 #AS719 ELISA-AS Elisa Oyj, FI
88.112.0.0/14 #AS719 ELISA-AS Elisa Oyj, FI
91.152.0.0/13 #AS719 ELISA-AS Elisa Oyj, FI
91.194.20.0/23 #AS719 ELISA-AS Elisa Oyj, FI
91.199.148.0/24 #AS719 ELISA-AS Elisa Oyj, FI
91.202.112.0/22 #AS719 ELISA-AS Elisa Oyj, FI
91.235.215.0/24 #AS719 ELISA-AS Elisa Oyj, FI
94.22.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
109.232.80.0/21 #AS719 ELISA-AS Elisa Oyj, FI
109.234.240.0/21 #AS719 ELISA-AS Elisa Oyj, FI
131.207.133.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.134.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.168.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.174.0/23 #AS719 ELISA-AS Elisa Oyj, FI
131.207.176.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.199.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.213.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.225.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.230.0/24 #AS719 ELISA-AS Elisa Oyj, FI
131.207.242.0/23 #AS719 ELISA-AS Elisa Oyj, FI
131.207.248.0/21 #AS719 ELISA-AS Elisa Oyj, FI
139.97.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
141.127.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
157.144.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
158.127.152.0/22 #AS719 ELISA-AS Elisa Oyj, FI
158.233.0.0/22 #AS719 ELISA-AS Elisa Oyj, FI
185.205.0.0/22 #AS719 ELISA-AS Elisa Oyj, FI
192.26.119.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.49.8.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.49.32.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.49.69.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.49.171.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.49.172.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.58.30.0/23 #AS719 ELISA-AS Elisa Oyj, FI
192.58.49.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.77.120.0/22 #AS719 ELISA-AS Elisa Oyj, FI
192.81.184.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.102.36.0/22 #AS719 ELISA-AS Elisa Oyj, FI
192.102.40.0/23 #AS719 ELISA-AS Elisa Oyj, FI
192.102.42.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.102.49.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.102.50.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.103.87.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.103.90.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.121.144.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.126.1.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.126.23.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.126.24.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.126.35.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.126.44.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.126.46.0/24 #AS719 ELISA-AS Elisa Oyj, FI
192.133.110.0/23 #AS719 ELISA-AS Elisa Oyj, FI
192.163.32.0/19 #AS719 ELISA-AS Elisa Oyj, FI
192.163.64.0/18 #AS719 ELISA-AS Elisa Oyj, FI
192.163.128.0/19 #AS719 ELISA-AS Elisa Oyj, FI
193.64.0.0/15 #AS719 ELISA-AS Elisa Oyj, FI
193.66.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
193.94.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
193.110.110.0/23 #AS719 ELISA-AS Elisa Oyj, FI
193.142.64.0/19 #AS719 ELISA-AS Elisa Oyj, FI
193.142.96.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.142.99.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.142.101.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.142.102.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.142.204.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.142.224.0/21 #AS719 ELISA-AS Elisa Oyj, FI
193.142.235.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.142.236.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.143.5.0/24 #AS719 ELISA-AS Elisa Oyj, FI
193.143.232.0/21 #AS719 ELISA-AS Elisa Oyj, FI
193.184.0.0/15 #AS719 ELISA-AS Elisa Oyj, FI
193.199.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
193.229.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
194.71.87.0/24 #AS719 ELISA-AS Elisa Oyj, FI
194.86.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
194.110.38.0/24 #AS719 ELISA-AS Elisa Oyj, FI
194.110.44.0/22 #AS719 ELISA-AS Elisa Oyj, FI
194.136.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
194.157.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
194.188.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
194.211.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
194.240.0.0/15 #AS719 ELISA-AS Elisa Oyj, FI
195.8.54.0/23 #AS719 ELISA-AS Elisa Oyj, FI
195.16.192.0/19 #AS719 ELISA-AS Elisa Oyj, FI
195.74.0.0/19 #AS719 ELISA-AS Elisa Oyj, FI
195.138.213.0/24 #AS719 ELISA-AS Elisa Oyj, FI
195.149.83.0/24 #AS719 ELISA-AS Elisa Oyj, FI
195.170.128.0/19 #AS719 ELISA-AS Elisa Oyj, FI
195.197.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
195.218.64.0/19 #AS719 ELISA-AS Elisa Oyj, FI
195.236.0.0/15 #AS719 ELISA-AS Elisa Oyj, FI
195.238.192.0/19 #AS719 ELISA-AS Elisa Oyj, FI
195.255.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
212.38.224.0/20 #AS719 ELISA-AS Elisa Oyj, FI
212.50.192.0/19 #AS719 ELISA-AS Elisa Oyj, FI
212.54.0.0/19 #AS719 ELISA-AS Elisa Oyj, FI
212.63.0.0/19 #AS719 ELISA-AS Elisa Oyj, FI
212.226.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
212.246.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
213.130.224.0/19 #AS719 ELISA-AS Elisa Oyj, FI
213.161.32.0/19 #AS719 ELISA-AS Elisa Oyj, FI
213.169.0.0/19 #AS719 ELISA-AS Elisa Oyj, FI
213.192.128.0/18 #AS719 ELISA-AS Elisa Oyj, FI
213.250.64.0/18 #AS719 ELISA-AS Elisa Oyj, FI
217.24.96.0/20 #AS719 ELISA-AS Elisa Oyj, FI
217.25.96.0/20 #AS719 ELISA-AS Elisa Oyj, FI
217.77.192.0/20 #AS719 ELISA-AS Elisa Oyj, FI
217.152.0.0/16 #AS719 ELISA-AS Elisa Oyj, FI
91.197.84.0/22 #AS43499 DOCUMENTA-AS Innofactor Software Oy, FI
93.90.48.0/20 #AS45010 MEGATUUTTI S1 Networks Oy, FI
