45.112.224.0/22 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
103.52.88.0/22 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
103.76.157.0/24 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
103.148.54.0/23 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
119.235.64.0/19 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
119.235.96.0/21 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
202.62.118.0/23 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
202.62.120.0/21 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
210.7.0.0/19 #AS4638 IS-FJ-AS Telecom Fiji Limited, FJ
113.20.64.0/19 #AS9241 FINTEL-FJ Fiji International Telecomunications Ltd, FJ
202.170.32.0/20 #AS9241 FINTEL-FJ Fiji International Telecomunications Ltd, FJ
144.120.0.0/16 #AS24390 USP-AS-AP The University of the South Pacific, FJ
192.175.48.1/32 #AS37976 TAOF-AS-AP Telecommunications Authority of Fiji, FJ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
27.123.128.0/18 #AS38442 VODAFONEFIJI-AS-FJ Vodafone Fiji Limited, FJ
80.92.59.0/24 #AS38442 VODAFONEFIJI-AS-FJ Vodafone Fiji Limited, FJ
103.244.228.0/22 #AS38442 VODAFONEFIJI-AS-FJ Vodafone Fiji Limited, FJ
183.81.128.0/20 #AS38442 VODAFONEFIJI-AS-FJ Vodafone Fiji Limited, FJ
202.137.176.0/23 #AS45349 TFL-AS-AP Telecom Fiji Ltd, FJ
202.137.179.0/24 #AS45349 TFL-AS-AP Telecom Fiji Ltd, FJ
202.137.180.0/22 #AS45349 TFL-AS-AP Telecom Fiji Ltd, FJ
45.117.240.0/21 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
103.1.180.0/22 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
103.58.20.0/22 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
103.101.240.0/22 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
202.129.228.0/22 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
202.151.16.0/20 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
203.202.235.0/24 #AS45355 DIGICELPACIFIC-1-AP Digicel Fiji Limited, FJ
103.71.204.0/24 #AS132248 RBOF-AS-AP Reserve Bank of Fiji, FJ
192.175.48.1/32 #AS133067 NEWCOM-AS-AP Newcom Live Fiji Limited, FJ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS133625 HFC1-AS-AP HFC Bank, FJ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS134208 BSP-AS-AP Bank of South Pacifc Fiji, FJ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.77.225.0/24 #AS135647 AFL-AS-AP Airports Fiji Limited, FJ
103.137.129.0/24 #AS135647 AFL-AS-AP Airports Fiji Limited, FJ
192.175.48.1/32 #AS136415 KIDANET1-AS-AP KIDANET Internet Service Provider, FJ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.99.43.0/24 #AS136921 FNU-AS-AP Fiji National University, FJ
103.116.156.0/24 #AS137890 WALESILTD-AS-AP Walesi Ltd, FJ
124.108.24.0/21 #AS141470 GOVNET-AS-AP ITC Services, FJ
198.15.17.0/24 #AS142245 KASTLEFIJIPTELTD-AS-AP Kastle Fiji Pte Ltd, FJ
