206.126.244.0/24 #AS14432 GREX - NTRC-Grenada, GD
192.175.48.1/32 #AS19303 ASN-SGU - St. Georges University, GD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
23.155.216.0/24 #AS30272 GOG-ASN1-GND - Government of Grenada, GD
67.159.199.0/24 #AS30272 GOG-ASN1-GND - Government of Grenada, GD
63.245.30.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
63.245.56.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
63.245.66.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
65.48.134.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
65.48.136.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
65.48.202.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
65.48.204.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
65.48.206.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.73.194.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.73.208.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.73.230.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.73.240.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.73.244.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.80.46.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.80.48.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
69.80.50.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.22.146.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.22.154.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.70.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.72.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.81.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.82.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.84.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.86.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
72.51.124.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
74.117.84.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
74.122.88.0/21 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
104.245.92.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
162.222.84.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
162.245.152.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
192.214.126.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
199.83.192.0/21 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
199.85.236.0/22 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
200.50.71.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
200.50.72.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
205.214.207.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
205.214.210.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
216.110.113.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
216.110.114.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
216.110.116.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
216.110.118.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
216.110.125.0/24 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
216.110.126.0/23 #AS46650 ASN46650-CCGL - Columbus Communications Grenada Ltd., GD
