94.247.85.0/24 #AS34738 WHL-ASN Webhost Limited, GG
185.31.220.0/22 #AS34738 WHL-ASN Webhost Limited, GG
194.9.2.0/23 #AS41337 ISG-AS ISG Limited, GG
185.85.253.0/24 #AS211913 GUERNSEY-AIRTEL Guernsey Airtel Limited, GG
45.135.252.0/22 #AS212565 SPECSAVERS Specsavers Optical Group Limited, GG
155.254.214.0/23 #AS212565 SPECSAVERS Specsavers Optical Group Limited, GG
185.159.16.0/23 #AS202621 TXODDS TXODDS Sport Betting Limited, GG
5.42.128.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
5.253.76.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
37.18.136.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
37.72.152.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
46.31.200.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
46.102.107.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
46.254.248.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
62.68.160.0/19 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
77.81.75.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
78.111.192.0/20 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
83.137.248.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
84.247.1.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
85.204.71.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
85.204.135.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
85.204.144.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
85.204.192.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
86.104.12.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
86.104.64.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
86.105.10.0/23 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
88.81.128.0/19 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.32.207.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.33.15.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.35.82.0/23 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.37.59.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.40.64.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.42.115.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.42.174.0/23 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.42.179.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.43.49.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.43.172.0/23 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.44.107.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.47.248.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
89.47.253.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
91.190.160.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
92.114.55.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
93.114.188.0/23 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
93.187.144.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
93.191.200.0/21 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
146.247.48.0/20 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.3.100.0/22 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.16.78.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.48.60.0/22 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.48.76.0/22 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.70.159.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.104.200.0/22 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
185.110.36.0/22 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
188.214.59.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
188.241.17.0/24 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
212.30.0.0/19 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
217.19.128.0/20 #AS8680 SURE-INTERNATIONAL-LIMITED Sure (Guernsey) Limited, GG
46.235.128.0/23 #AS34497 AS2E2-1 Logicalis Guernsey Ltd, GG
46.235.130.0/24 #AS34497 AS2E2-1 Logicalis Guernsey Ltd, GG
46.235.132.0/24 #AS34497 AS2E2-1 Logicalis Guernsey Ltd, GG
46.235.134.0/24 #AS34497 AS2E2-1 Logicalis Guernsey Ltd, GG
