5.187.96.0/19 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
46.238.128.0/18 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
93.121.128.0/17 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
95.138.0.0/17 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
104.250.0.0/19 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
107.191.208.0/20 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
154.67.0.0/16 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
161.22.64.0/18 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
164.160.224.0/20 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
185.29.48.0/22 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
185.161.8.0/24 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
213.16.0.0/19 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
213.188.160.0/19 #AS21351 CANALPLUSTELECOM Canal + Telecom SAS, GP
208.72.228.0/23 #AS17149 GCN-AS Global Caribbean Network, GP
38.86.161.0/24 #AS63351 ASN-SCF-45 Southern Caribbean Fiber, GP
38.86.162.0/23 #AS63351 ASN-SCF-45 Southern Caribbean Fiber, GP
38.87.192.0/22 #AS63351 ASN-SCF-45 Southern Caribbean Fiber, GP
199.91.162.0/24 #AS63351 ASN-SCF-45 Southern Caribbean Fiber, GP
207.90.254.0/23 #AS63351 ASN-SCF-45 Southern Caribbean Fiber, GP
154.7.12.0/23 #AS394648 WEELAX-TELECOM Weelax, GP
