102.164.252.0/22 #AS328311 CONEXXIA-AS Conexxia Guinea Equatorial S.L, GQ
102.164.248.0/22 #AS37529 GITGE AS GITGE, GQ
102.213.52.0/23 #AS37529 GITGE AS GITGE, GQ
169.239.112.0/22 #AS37529 GITGE AS GITGE, GQ
197.214.64.0/20 #AS37529 GITGE AS GITGE, GQ
105.235.224.0/20 #AS37487 GUINEANET guineanet, GQ
41.222.112.0/21 #AS37173 GETESA GETESA (Orange Equatorial Guinea), GQ
193.251.153.0/24 #AS37173 GETESA GETESA (Orange Equatorial Guinea), GQ
193.251.218.0/23 #AS37173 GETESA GETESA (Orange Equatorial Guinea), GQ
193.251.222.0/23 #AS37173 GETESA GETESA (Orange Equatorial Guinea), GQ
196.251.240.0/22 #AS328207 OFFICE-TECH OFFICE TECH, GQ
41.79.48.0/22 #AS37337 HITS-EG-ASN Hits Equatorial Guinea ASN, GQ
102.223.24.0/22 #AS37337 HITS-EG-ASN Hits Equatorial Guinea ASN, GQ
164.160.84.0/22 #AS329219 FENIX-EG Fenix S.L., GQ
