46.12.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
46.246.128.0/17 #AS1241 FORTHNET-GR Forthnet, GR
62.1.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
77.49.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
79.103.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
91.198.183.0/24 #AS1241 FORTHNET-GR Forthnet, GR
91.216.206.0/24 #AS1241 FORTHNET-GR Forthnet, GR
91.223.104.0/24 #AS1241 FORTHNET-GR Forthnet, GR
91.230.247.0/24 #AS1241 FORTHNET-GR Forthnet, GR
130.43.0.0/17 #AS1241 FORTHNET-GR Forthnet, GR
176.97.196.0/24 #AS1241 FORTHNET-GR Forthnet, GR
185.72.148.0/24 #AS1241 FORTHNET-GR Forthnet, GR
185.117.229.0/24 #AS1241 FORTHNET-GR Forthnet, GR
188.4.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
193.92.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
193.218.1.0/24 #AS1241 FORTHNET-GR Forthnet, GR
194.0.185.0/24 #AS1241 FORTHNET-GR Forthnet, GR
194.50.43.0/24 #AS1241 FORTHNET-GR Forthnet, GR
194.219.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
195.74.224.0/19 #AS1241 FORTHNET-GR Forthnet, GR
212.54.192.0/19 #AS1241 FORTHNET-GR Forthnet, GR
212.251.0.0/17 #AS1241 FORTHNET-GR Forthnet, GR
213.16.128.0/17 #AS1241 FORTHNET-GR Forthnet, GR
