192.175.48.1/32 #AS4914 Red Nacional de Honduras, HONDUNet, HN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
131.221.8.0/22 #AS7727 Hondutel, HN
181.210.0.0/16 #AS7727 Hondutel, HN
190.130.0.0/18 #AS7727 Hondutel, HN
45.4.128.0/22 #AS22869 CABLECOLOR S.A., HN
45.171.64.0/22 #AS22869 CABLECOLOR S.A., HN
138.94.144.0/22 #AS22869 CABLECOLOR S.A., HN
143.208.56.0/22 #AS22869 CABLECOLOR S.A., HN
168.227.128.0/22 #AS22869 CABLECOLOR S.A., HN
190.122.184.0/22 #AS22869 CABLECOLOR S.A., HN
65.182.0.0/22 #AS23383 METRORED S.A. DE C.V., HN
65.182.4.0/23 #AS23383 METRORED S.A. DE C.V., HN
65.182.6.0/24 #AS23383 METRORED S.A. DE C.V., HN
186.2.148.0/23 #AS23383 METRORED S.A. DE C.V., HN
190.4.0.0/18 #AS23383 METRORED S.A. DE C.V., HN
190.109.192.0/19 #AS23383 METRORED S.A. DE C.V., HN
191.103.64.0/20 #AS23383 METRORED S.A. DE C.V., HN
191.103.80.0/22 #AS23383 METRORED S.A. DE C.V., HN
191.103.84.0/23 #AS23383 METRORED S.A. DE C.V., HN
191.103.87.0/24 #AS23383 METRORED S.A. DE C.V., HN
191.103.88.0/21 #AS23383 METRORED S.A. DE C.V., HN
200.13.134.0/23 #AS23383 METRORED S.A. DE C.V., HN
200.13.162.0/23 #AS23383 METRORED S.A. DE C.V., HN
200.13.164.0/23 #AS23383 METRORED S.A. DE C.V., HN
200.13.176.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.13.183.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.13.187.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.30.129.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.30.134.0/23 #AS23383 METRORED S.A. DE C.V., HN
200.30.137.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.30.155.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.30.156.0/23 #AS23383 METRORED S.A. DE C.V., HN
200.30.164.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.30.178.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.35.165.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.106.224.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.106.226.0/23 #AS23383 METRORED S.A. DE C.V., HN
200.106.228.0/24 #AS23383 METRORED S.A. DE C.V., HN
200.106.236.0/23 #AS23383 METRORED S.A. DE C.V., HN
192.175.48.1/32 #AS26612 CGI TELEPORTS, HN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
