38.92.116.0/22 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
38.93.248.0/22 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
38.93.252.0/23 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
148.102.128.0/17 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
168.197.100.0/22 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
170.239.12.0/22 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
179.51.206.0/24 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
186.190.0.0/17 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
190.105.175.0/24 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
190.120.192.0/19 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
190.196.192.0/20 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
200.2.128.0/19 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
200.4.160.0/19 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
200.115.182.0/23 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
201.150.104.0/22 #AS27759 ACCESS-HAITI ACCESS HAITI S.A., HT
201.131.77.0/24 #AS263685 SOGEBANK SOGEBANK, HT
179.51.206.0/24 #AS271897 UNIBANK UNIBANK S.A., HT
186.1.192.0/20 #AS52260 TELECOMMUNICATIONS-HAITI Télécommunications de Haití (Teleco), HT
190.102.64.0/19 #AS52260 TELECOMMUNICATIONS-HAITI Télécommunications de Haití (Teleco), HT
190.115.128.0/18 #AS52260 TELECOMMUNICATIONS-HAITI Télécommunications de Haití (Teleco), HT
161.0.128.0/20 #AS27653 DIGICEL-HAITI DIGICEL HAITI, HT
161.0.144.0/21 #AS27653 DIGICEL-HAITI DIGICEL HAITI, HT
200.113.192.0/18 #AS27653 DIGICEL-HAITI DIGICEL HAITI, HT
