146.110.0.0/16 #AS1955 HBONE-AS KIFU, HU
192.146.134.0/23 #AS1955 HBONE-AS KIFU, HU
192.160.172.0/24 #AS1955 HBONE-AS KIFU, HU
192.188.242.0/23 #AS1955 HBONE-AS KIFU, HU
192.188.244.0/22 #AS1955 HBONE-AS KIFU, HU
192.190.173.0/24 #AS1955 HBONE-AS KIFU, HU
193.6.0.0/16 #AS1955 HBONE-AS KIFU, HU
193.224.0.0/15 #AS1955 HBONE-AS KIFU, HU
195.111.0.0/16 #AS1955 HBONE-AS KIFU, HU
195.199.0.0/16 #AS1955 HBONE-AS KIFU, HU
157.181.0.0/16 #AS2012 ELTENET ELTENET, HU
192.153.18.0/24 #AS2012 ELTENET ELTENET, HU
