37.25.88.0/21 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
43.225.112.0/22 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
46.226.184.0/21 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
66.132.133.0/24 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
80.65.240.0/20 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
82.41.73.0/24 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
86.38.4.0/24 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
87.254.64.0/19 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
89.116.126.0/24 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
92.39.192.0/20 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
151.242.28.0/24 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
178.16.0.0/20 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
185.63.184.0/22 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
195.10.96.0/19 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
213.137.0.0/19 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
217.28.0.0/20 #AS13122 MANX-AS MANX-TELECOM Autonomous System, IM
81.88.160.0/20 #AS15766 DOMICILIUM-AS, IM
83.218.0.0/19 #AS15766 DOMICILIUM-AS, IM
217.23.160.0/20 #AS15766 DOMICILIUM-AS, IM
82.21.123.0/24 #AS24851 UK-NETCETERA Netcetera Autonomous System Peers, IM
82.25.22.0/24 #AS24851 UK-NETCETERA Netcetera Autonomous System Peers, IM
82.25.27.0/24 #AS24851 UK-NETCETERA Netcetera Autonomous System Peers, IM
185.185.108.0/22 #AS35691 PLAN-COM, IM
84.246.200.0/21 #AS42455 WI-MANX-AS, IM
89.107.0.0/21 #AS42455 WI-MANX-AS, IM
109.70.40.0/21 #AS42455 WI-MANX-AS, IM
185.74.56.0/22 #AS42455 WI-MANX-AS, IM
77.87.176.0/21 #AS43338 RATIONAL-AS, IM
192.175.48.1/32 #AS44168 Continent 8 Gaming Exchange, IM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.219.111.0/24 #AS44481 PDMS-AS Professional Data Management Services Limited, IM
213.137.13.0/24 #AS44481 PDMS-AS Professional Data Management Services Limited, IM
91.211.96.0/22 #AS48536 FILCO-AS, IM
192.175.48.1/32 #AS50328 ORG-BCL24-RIPE, IM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
37.1.88.0/21 #AS50763 MCKAYCOM MCKAYCOM Wireless, IM
185.128.248.0/22 #AS50763 MCKAYCOM MCKAYCOM Wireless, IM
185.241.44.0/23 #AS50763 MCKAYCOM MCKAYCOM Wireless, IM
192.75.207.0/24 #AS50763 MCKAYCOM MCKAYCOM Wireless, IM
193.107.204.0/22 #AS50763 MCKAYCOM MCKAYCOM Wireless, IM
185.180.168.0/24 #AS57198 PARTITIONWARE-AS OV Limited Autonomous System, IM
185.180.171.0/24 #AS57198 PARTITIONWARE-AS OV Limited Autonomous System, IM
185.86.44.0/22 #AS57567 DUMARCA, IM
192.175.48.1/32 #AS64480 SDHOLDING, IM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS132227 A2D-AS-AP A2D Entertainment Limited, IM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
