144.16.111.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
144.16.140.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.71.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.76.0/22 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.80.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.88.0/22 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.95.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.98.0/23 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.102.0/23 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.105.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.107.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.41.108.0/23 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.141.129.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.141.130.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.141.132.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.141.135.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.141.139.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
202.141.140.0/24 #AS2697 ERX-ERNET-AS Education and Research Network, IN
192.175.48.1/32 #AS3969 ERX-STPHNET Software Technology Park, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS4754 STPN-GAC-ICANN 1016, Electronics Niketan, 6, CGO Complex, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
1.6.229.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
1.6.230.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
5.157.88.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
14.140.0.0/14 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
17.76.240.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
58.2.236.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.160.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.161.32.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.161.64.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.161.128.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.161.164.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.161.240.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.0.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.64.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.80.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.96.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.125.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.160.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.176.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.184.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.186.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.188.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
59.162.190.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
