5.10.224.0/23 #AS3194 SATGATE-IRAQ, IQ
5.10.227.0/24 #AS3194 SATGATE-IRAQ, IQ
5.10.228.0/23 #AS3194 SATGATE-IRAQ, IQ
5.10.230.0/24 #AS3194 SATGATE-IRAQ, IQ
185.118.128.0/22 #AS12952 KNOWLEDGE-PATH-ISP-ASN, IQ
5.11.19.0/24 #AS21277 NEWROZ-TELECOM-ASN, IQ
38.69.144.0/24 #AS21277 NEWROZ-TELECOM-ASN, IQ
93.91.192.0/20 #AS21277 NEWROZ-TELECOM-ASN, IQ
95.170.192.0/19 #AS21277 NEWROZ-TELECOM-ASN, IQ
109.127.64.0/18 #AS21277 NEWROZ-TELECOM-ASN, IQ
130.193.128.0/17 #AS21277 NEWROZ-TELECOM-ASN, IQ
154.48.204.0/24 #AS21277 NEWROZ-TELECOM-ASN, IQ
185.34.16.0/22 #AS21277 NEWROZ-TELECOM-ASN, IQ
185.37.160.0/22 #AS21277 NEWROZ-TELECOM-ASN, IQ
185.38.212.0/22 #AS21277 NEWROZ-TELECOM-ASN, IQ
185.184.197.0/24 #AS21277 NEWROZ-TELECOM-ASN, IQ
185.216.8.0/22 #AS21277 NEWROZ-TELECOM-ASN, IQ
