5.35.160.0/21 #AS8681 JT, JE
31.129.125.0/24 #AS8681 JT, JE
31.186.112.0/21 #AS8681 JT, JE
37.156.38.0/23 #AS8681 JT, JE
46.28.15.0/24 #AS8681 JT, JE
46.31.240.0/21 #AS8681 JT, JE
46.149.108.0/24 #AS8681 JT, JE
78.41.0.0/21 #AS8681 JT, JE
78.138.3.0/24 #AS8681 JT, JE
82.112.128.0/19 #AS8681 JT, JE
83.229.94.0/24 #AS8681 JT, JE
86.106.16.0/24 #AS8681 JT, JE
87.237.128.0/21 #AS8681 JT, JE
87.244.64.0/18 #AS8681 JT, JE
91.229.188.0/24 #AS8681 JT, JE
92.43.208.0/21 #AS8681 JT, JE
93.187.0.0/21 #AS8681 JT, JE
93.189.160.0/21 #AS8681 JT, JE
103.30.210.0/24 #AS8681 JT, JE
109.68.192.0/22 #AS8681 JT, JE
155.46.182.0/23 #AS8681 JT, JE
185.3.52.0/22 #AS8681 JT, JE
185.37.76.0/22 #AS8681 JT, JE
185.87.8.0/23 #AS8681 JT, JE
185.92.239.0/24 #AS8681 JT, JE
185.113.12.0/22 #AS8681 JT, JE
185.158.120.0/22 #AS8681 JT, JE
185.206.12.0/22 #AS8681 JT, JE
193.181.38.0/23 #AS8681 JT, JE
194.34.106.0/23 #AS8681 JT, JE
195.226.128.0/19 #AS8681 JT, JE
199.34.116.0/22 #AS8681 JT, JE
199.66.128.0/22 #AS8681 JT, JE
209.251.252.0/23 #AS8681 JT, JE
212.9.0.0/19 #AS8681 JT, JE
81.20.176.0/20 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
159.255.208.0/21 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
185.57.212.0/22 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.193.0/24 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.194.0/23 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.196.0/22 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.201.0/24 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.202.0/23 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.207.0/24 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.208.0/22 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.213.0/24 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.214.0/23 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.216.0/22 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.220.0/23 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
213.133.223.0/24 #AS13208 NEWTELSOLUTIONS-AS residential broadband, JE
193.201.42.0/24 #AS25040 ITCONSULT-AS, JE
146.19.127.0/24 #AS39498 LMAX-DIGITAL, JE
185.122.244.0/22 #AS39498 LMAX-DIGITAL, JE
192.175.48.1/32 #AS41713 NEWTEL-AS, JE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.122.244.0/22 #AS47675 LMAX-DIGITAL-PROXIMITY, JE
185.16.69.0/24 #AS61143 JERSEY-AIRTEL, JE
185.16.70.0/23 #AS61143 JERSEY-AIRTEL, JE
192.175.48.1/32 #AS197094 LLOYDSTSB, JE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
