81.28.112.0/20 #AS47887 NEU-AS AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO., JO
82.212.64.0/18 #AS47887 NEU-AS AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO., JO
185.175.248.0/22 #AS47887 NEU-AS AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO., JO
188.123.160.0/19 #AS47887 NEU-AS AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO., JO
37.252.222.0/24 #AS211260 PTERAUNI Petra for education Limited Public Shareholding, JO
185.10.216.0/22 #AS200666 PNF-JO Palestine National Fund, JO
141.0.0.0/21 #AS197921 HBTF Housing Bank for Trade and Finance PLC., JO
37.17.192.0/20 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
37.123.64.0/19 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
93.191.176.0/21 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
95.141.208.0/20 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
176.57.0.0/22 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
178.77.128.0/18 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
185.160.236.0/22 #AS42912 XOLJO Al mouakhah lil khadamat al logesteih wa al itisalat, JO
37.75.144.0/22 #AS59451 ARABBANK-AS Al-Bank Al-Arabi PLC. CO., JO
37.75.149.0/24 #AS59451 ARABBANK-AS Al-Bank Al-Arabi PLC. CO., JO
37.75.150.0/24 #AS59451 ARABBANK-AS Al-Bank Al-Arabi PLC. CO., JO
185.173.56.0/24 #AS59451 ARABBANK-AS Al-Bank Al-Arabi PLC. CO., JO
185.173.58.0/23 #AS59451 ARABBANK-AS Al-Bank Al-Arabi PLC. CO., JO
194.165.131.0/24 #AS59451 ARABBANK-AS Al-Bank Al-Arabi PLC. CO., JO
2.59.53.0/24 #AS209029 STS-CLOUD Specialized Technical Services (STS) Co.Ltd, JO
2.59.54.0/24 #AS209029 STS-CLOUD Specialized Technical Services (STS) Co.Ltd, JO
31.57.130.0/24 #AS212042 AS-ISTQSERVERS Istqrar for Servers Services Ltd, JO
31.58.140.0/24 #AS212042 AS-ISTQSERVERS Istqrar for Servers Services Ltd, JO
45.87.29.0/24 #AS212042 AS-ISTQSERVERS Istqrar for Servers Services Ltd, JO
45.150.95.0/24 #AS212042 AS-ISTQSERVERS Istqrar for Servers Services Ltd, JO
154.83.136.0/24 #AS212042 AS-ISTQSERVERS Istqrar for Servers Services Ltd, JO
217.74.17.0/24 #AS212042 AS-ISTQSERVERS Istqrar for Servers Services Ltd, JO
5.45.128.0/20 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
5.198.240.0/21 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
37.44.32.0/21 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
37.152.0.0/21 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
37.220.112.0/20 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
46.23.112.0/20 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
46.248.192.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
85.159.216.0/21 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
91.106.96.0/20 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
91.186.224.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
92.241.32.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
94.127.208.0/21 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
95.172.192.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
109.107.224.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
141.105.56.0/21 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
178.238.176.0/20 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
185.12.244.0/22 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
185.14.132.0/22 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
185.19.112.0/22 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
185.80.24.0/22 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
212.35.64.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
212.118.0.0/19 #AS9038 BAT-AS9038 Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co, JO
185.163.205.0/24 #AS212507 RHCJO Royal Hashemite Court, JO
5.253.46.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
31.57.160.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
31.57.173.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
37.202.221.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
45.84.58.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
45.135.185.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
45.153.4.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
46.202.33.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
69.171.209.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
77.74.229.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
80.83.91.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
81.168.67.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
82.163.54.0/23 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
85.203.33.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
85.237.89.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
89.34.226.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
89.185.2.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
95.134.31.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
102.177.177.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
102.177.184.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
102.212.5.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
109.105.198.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
149.18.73.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
149.57.24.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
149.57.37.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
151.243.83.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
154.56.131.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
154.58.202.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
154.194.55.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
154.197.91.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
154.197.110.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
179.61.177.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
185.209.39.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
185.209.72.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
185.234.111.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
193.34.81.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
193.38.244.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
194.32.123.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
195.182.199.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
198.6.215.0/24 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
199.178.64.0/22 #AS211826 ISTQSERVERS-AS Istqrar for Servers Services Ltd, JO
37.202.64.0/18 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
46.185.128.0/17 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
79.173.192.0/18 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
80.10.64.0/20 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
86.108.0.0/17 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
92.253.0.0/17 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
94.249.0.0/17 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
149.200.128.0/17 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
185.98.220.0/22 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
185.98.224.0/22 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
194.165.128.0/19 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
213.186.160.0/19 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
217.23.32.0/20 #AS8376 JORDAN-DATA-COMMUNICATIONS Jordan Data Communications Company LLC, JO
146.19.239.0/24 #AS210432 EXTENSYA-AS Al Mousanada Lckhadamat Al Isnad Wa Marakez Al Itisal Co LPS, JO
185.197.176.0/22 #AS206060 UNIONBANK Bank al Etihad Ltd, JO
193.108.134.0/23 #AS51958 RJNETWORK The Royal Jordanian Airlines PLC, JO
185.253.112.0/23 #AS204327 NETWORK-1 Network International Services Limited Jordan Company LLC, JO
185.135.200.0/23 #AS203357 EMKANAT Emkanat Co for Software Development, JO
89.38.152.0/23 #AS208148 JORIST Jordanian Experts for Information Security LLC, JO
93.115.2.0/24 #AS215270 MADFOATCOM Madfoo3atkom for electronic payment co PJSL, JO
84.18.64.0/19 #AS21088 FARAH-AS Network Exchange Technology Co. Ltd., JO
