203.140.0.0/19 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
203.179.32.0/19 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
210.159.96.0/19 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
210.166.96.0/19 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
210.249.192.0/19 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
211.7.192.0/21 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
211.7.208.0/21 #AS4693 CSK CSK-IT MANAGEMENT CORPORATION, JP
130.87.0.0/16 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.153.112.0/24 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.153.114.0/24 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
202.13.192.0/19 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
133.217.192.0/24 #AS18069 SOFTBANK SB Technology Corp., JP
103.149.30.0/23 #AS136586 INCOMMJAPANKK-AS-AP InComm Japan K.K., JP
202.142.8.0/21 #AS23836 RELNET RELATION Co. Ltd., JP
203.99.224.0/21 #AS23836 RELNET RELATION Co. Ltd., JP
216.146.28.0/24 #AS154486 LESSISMORE-AS-AP REI MIMURA, JP
160.30.228.0/24 #AS142165 BOSCHCORPORATION-AS-AP Bosch Corporation, JP
49.212.0.0/16 #AS9371 SAKURA-C SAKURA Internet Inc., JP
58.84.5.0/24 #AS9371 SAKURA-C SAKURA Internet Inc., JP
103.15.0.0/22 #AS9371 SAKURA-C SAKURA Internet Inc., JP
103.197.5.0/24 #AS9371 SAKURA-C SAKURA Internet Inc., JP
110.74.32.0/20 #AS9371 SAKURA-C SAKURA Internet Inc., JP
110.74.64.0/20 #AS9371 SAKURA-C SAKURA Internet Inc., JP
112.78.112.0/20 #AS9371 SAKURA-C SAKURA Internet Inc., JP
112.78.192.0/19 #AS9371 SAKURA-C SAKURA Internet Inc., JP
133.167.0.0/16 #AS9371 SAKURA-C SAKURA Internet Inc., JP
160.27.0.0/16 #AS9371 SAKURA-C SAKURA Internet Inc., JP
182.48.0.0/18 #AS9371 SAKURA-C SAKURA Internet Inc., JP
182.163.0.0/19 #AS9371 SAKURA-C SAKURA Internet Inc., JP
183.181.74.0/23 #AS9371 SAKURA-C SAKURA Internet Inc., JP
183.181.76.0/23 #AS9371 SAKURA-C SAKURA Internet Inc., JP
183.181.100.0/23 #AS9371 SAKURA-C SAKURA Internet Inc., JP
202.255.237.0/24 #AS9371 SAKURA-C SAKURA Internet Inc., JP
210.135.112.0/20 #AS9371 SAKURA-C SAKURA Internet Inc., JP
