102.209.155.0/24 #AS329409 JIJI-FIBER-LTD JIJI FIBER LTD, KE
102.210.40.0/22 #AS329387 SKYLINK Skylink Networks LTD, KE
102.209.76.0/22 #AS329422 SAFHOME-FIBRE-LIMITED SAFHOME FIBRE LIMITED, KE
102.203.236.0/23 #AS329670 MARANET MARANET SOLUTIONS LIMITED, KE
102.204.99.0/24 #AS329717 KURAMANET-LTD Kuramanet Ltd, KE
41.206.32.0/19 #AS15808 ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE
41.215.0.0/17 #AS15808 ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE
41.220.112.0/20 #AS15808 ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE
196.200.16.0/20 #AS15808 ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE
196.207.16.0/20 #AS15808 ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE
197.254.0.0/17 #AS15808 ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving, KE
41.78.24.0/22 #AS37156 XTARNET XTARNET, KE
41.79.168.0/22 #AS37156 XTARNET XTARNET, KE
102.203.140.0/22 #AS329341 TATU-TELECOM-COMPANY-SEZ-LIMITED Tatu Telecom Company SEZ Limited, KE
102.203.144.0/22 #AS329341 TATU-TELECOM-COMPANY-SEZ-LIMITED Tatu Telecom Company SEZ Limited, KE
102.205.48.0/22 #AS329341 TATU-TELECOM-COMPANY-SEZ-LIMITED Tatu Telecom Company SEZ Limited, KE
102.206.248.0/22 #AS329341 TATU-TELECOM-COMPANY-SEZ-LIMITED Tatu Telecom Company SEZ Limited, KE
102.208.232.0/22 #AS329341 TATU-TELECOM-COMPANY-SEZ-LIMITED Tatu Telecom Company SEZ Limited, KE
102.210.244.0/22 #AS329341 TATU-TELECOM-COMPANY-SEZ-LIMITED Tatu Telecom Company SEZ Limited, KE
102.215.76.0/22 #AS329101 IFSL1-AS Icon Fiber Solutions ltd, KE
196.43.212.0/24 #AS37354 SAWASAWA SawaSawa.com ASN in RIPE, KE
197.234.236.0/22 #AS37354 SAWASAWA SawaSawa.com ASN in RIPE, KE
196.43.192.0/24 #AS37261 ROCKFELLER ROCKFELLER Foundation Kenya, KE
196.43.202.0/24 #AS37261 ROCKFELLER ROCKFELLER Foundation Kenya, KE
196.6.202.0/23 #AS37579 NMG-AS Nation Media Group, KE
102.213.216.0/22 #AS329198 CELCOM-NETWORKS-LIMITED CELCOM NETWORKS LIMITED, KE
102.214.76.0/22 #AS329152 ATL7-AS ATIS TELCOM LIMITED, KE
102.212.11.0/24 #AS329254 TRUTH TRUTH WIRELESS LIMITED, KE
196.61.52.0/23 #AS328089 KRA1-AFRINIC Kenya Revenue Authority, KE
102.68.20.0/24 #AS328705 VICTORIA-COMMERCIAL-BANK-LIMITED Victoria Commercial Bank Limited, KE
194.9.64.0/23 #AS37166 KENYA-AIRWAYS Kenya Airways, KE
102.204.254.0/24 #AS329610 KENYA-NATIONAL-POLICE-DT-SACCO Kenya National Police Deposit Taking Savings and Credit Co-Operative Society Ltd, KE
