134.75.0.0/16 #AS1237 KREONET-AS-KR KISTI, KR
147.47.120.0/21 #AS1237 KREONET-AS-KR KISTI, KR
150.183.0.0/16 #AS1237 KREONET-AS-KR KISTI, KR
202.30.40.0/22 #AS1237 KREONET-AS-KR KISTI, KR
202.30.60.0/22 #AS1237 KREONET-AS-KR KISTI, KR
202.31.182.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.230.2.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.230.6.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.230.8.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.230.16.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.230.22.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.230.24.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.230.60.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.230.64.0/20 #AS1237 KREONET-AS-KR KISTI, KR
203.230.108.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.230.116.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.230.120.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.230.126.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.233.155.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.233.156.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.241.40.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.241.116.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.241.118.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.241.120.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.241.164.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.241.170.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.241.172.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.241.174.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.64.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.69.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.73.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.160.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.247.164.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.247.167.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.170.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.247.172.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.247.176.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.247.180.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.247.184.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.247.187.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.188.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.247.190.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.247.192.0/20 #AS1237 KREONET-AS-KR KISTI, KR
203.247.216.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.250.0.0/19 #AS1237 KREONET-AS-KR KISTI, KR
203.250.96.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.250.112.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.250.155.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.250.156.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.250.160.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.250.172.0/22 #AS1237 KREONET-AS-KR KISTI, KR
203.250.176.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.250.192.0/18 #AS1237 KREONET-AS-KR KISTI, KR
203.253.96.0/20 #AS1237 KREONET-AS-KR KISTI, KR
203.253.135.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.253.136.0/21 #AS1237 KREONET-AS-KR KISTI, KR
203.253.224.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.253.230.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.253.234.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.253.236.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.253.238.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.254.40.0/24 #AS1237 KREONET-AS-KR KISTI, KR
203.254.168.0/23 #AS1237 KREONET-AS-KR KISTI, KR
203.254.176.0/20 #AS1237 KREONET-AS-KR KISTI, KR
210.98.5.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.98.6.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.98.8.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.98.12.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.98.14.0/23 #AS1237 KREONET-AS-KR KISTI, KR
