91.140.128.0/17 #AS3225 GULFNET-KUWAIT, KW
91.209.172.0/24 #AS3225 GULFNET-KUWAIT, KW
91.216.188.0/24 #AS3225 GULFNET-KUWAIT, KW
94.187.224.0/19 #AS3225 GULFNET-KUWAIT, KW
185.16.4.0/22 #AS3225 GULFNET-KUWAIT, KW
185.46.144.0/22 #AS3225 GULFNET-KUWAIT, KW
185.187.176.0/24 #AS3225 GULFNET-KUWAIT, KW
194.54.192.0/18 #AS3225 GULFNET-KUWAIT, KW
194.126.63.0/24 #AS3225 GULFNET-KUWAIT, KW
195.78.74.0/23 #AS3225 GULFNET-KUWAIT, KW
213.132.224.0/19 #AS3225 GULFNET-KUWAIT, KW
80.184.0.0/16 #AS6412 KW KEMS Block-A, Floor 7, Souq Al-Kabeer Kuwait City, State of Kuwait P O Box 3623, Safat 13037, KW
168.187.0.0/16 #AS6412 KW KEMS Block-A, Floor 7, Souq Al-Kabeer Kuwait City, State of Kuwait P O Box 3623, Safat 13037, KW
196.1.69.0/24 #AS6412 KW KEMS Block-A, Floor 7, Souq Al-Kabeer Kuwait City, State of Kuwait P O Box 3623, Safat 13037, KW
62.150.0.0/16 #AS9155 QNET Kuwait, KW
78.154.192.0/18 #AS9155 QNET Kuwait, KW
94.29.128.0/17 #AS9155 QNET Kuwait, KW
193.188.149.0/24 #AS9155 QNET Kuwait, KW
195.39.128.0/18 #AS9155 QNET Kuwait, KW
195.226.224.0/19 #AS9155 QNET Kuwait, KW
196.1.70.0/24 #AS9155 QNET Kuwait, KW
213.189.64.0/19 #AS9155 QNET Kuwait, KW
193.33.224.0/23 #AS16060 KUWAIT-MOF-AS, KW
62.215.0.0/16 #AS21050 FAST-TELCO, KW
83.96.0.0/17 #AS21050 FAST-TELCO, KW
89.203.0.0/17 #AS21050 FAST-TELCO, KW
91.214.152.0/23 #AS21050 FAST-TELCO, KW
91.214.154.0/24 #AS21050 FAST-TELCO, KW
93.191.64.0/21 #AS21050 FAST-TELCO, KW
161.252.16.0/24 #AS21050 FAST-TELCO, KW
161.252.32.0/23 #AS21050 FAST-TELCO, KW
161.252.49.0/24 #AS21050 FAST-TELCO, KW
161.252.75.0/24 #AS21050 FAST-TELCO, KW
161.252.80.0/24 #AS21050 FAST-TELCO, KW
161.252.112.0/24 #AS21050 FAST-TELCO, KW
178.61.0.0/16 #AS21050 FAST-TELCO, KW
185.95.5.0/24 #AS21050 FAST-TELCO, KW
185.133.168.0/22 #AS24627 SHOWNET-KW-AS, KW
194.126.44.0/24 #AS24627 SHOWNET-KW-AS, KW
194.126.32.0/21 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.40.0/23 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.42.0/24 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.49.0/24 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.50.0/23 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.52.0/24 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.54.0/24 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
194.126.56.0/21 #AS25122 GULFSAT_COMMUNICATIONS-AS, KW
139.141.0.0/16 #AS25242 KUWAIT-UNIVERSITY Computer Information Systems Kuwait University Kuwait, KW
158.94.180.0/23 #AS25370 BOUBYAN-AS, KW
