109.248.152.0/21 #AS8200 UPLINK-AS, KZ
109.248.208.0/22 #AS8200 UPLINK-AS, KZ
109.248.236.0/24 #AS8200 UPLINK-AS, KZ
188.130.156.0/22 #AS8200 UPLINK-AS, KZ
80.92.192.0/21 #AS8393 ASTEL-AS Alma-Ata, KZ
91.203.20.0/23 #AS8393 ASTEL-AS Alma-Ata, KZ
91.203.22.0/24 #AS8393 ASTEL-AS Alma-Ata, KZ
93.183.96.0/23 #AS8393 ASTEL-AS Alma-Ata, KZ
149.154.190.0/23 #AS8393 ASTEL-AS Alma-Ata, KZ
185.209.88.0/24 #AS8393 ASTEL-AS Alma-Ata, KZ
185.217.16.0/22 #AS8393 ASTEL-AS Alma-Ata, KZ
193.193.224.0/19 #AS8393 ASTEL-AS Alma-Ata, KZ
195.12.116.0/24 #AS8393 ASTEL-AS Alma-Ata, KZ
213.157.32.0/19 #AS8393 ASTEL-AS Alma-Ata, KZ
195.49.208.0/24 #AS8430 ALMA-MEDIA-ALMATY-AS Almaty, Republic of Kazakhstan, KZ
185.217.180.0/22 #AS8720 ASPAN-AS, KZ
206.62.52.0/22 #AS8720 ASPAN-AS, KZ
217.11.64.0/20 #AS8720 ASPAN-AS, KZ
2.132.0.0/14 #AS9198 KAZTELECOM-AS, KZ
5.63.64.0/18 #AS9198 KAZTELECOM-AS, KZ
5.76.0.0/16 #AS9198 KAZTELECOM-AS, KZ
5.104.232.0/21 #AS9198 KAZTELECOM-AS, KZ
5.250.128.0/19 #AS9198 KAZTELECOM-AS, KZ
5.251.0.0/16 #AS9198 KAZTELECOM-AS, KZ
31.169.0.0/19 #AS9198 KAZTELECOM-AS, KZ
37.150.0.0/15 #AS9198 KAZTELECOM-AS, KZ
78.109.144.0/20 #AS9198 KAZTELECOM-AS, KZ
82.200.128.0/17 #AS9198 KAZTELECOM-AS, KZ
84.240.192.0/18 #AS9198 KAZTELECOM-AS, KZ
88.204.128.0/17 #AS9198 KAZTELECOM-AS, KZ
89.106.232.0/21 #AS9198 KAZTELECOM-AS, KZ
89.218.0.0/16 #AS9198 KAZTELECOM-AS, KZ
92.46.0.0/17 #AS9198 KAZTELECOM-AS, KZ
92.46.128.0/18 #AS9198 KAZTELECOM-AS, KZ
92.46.192.0/21 #AS9198 KAZTELECOM-AS, KZ
92.46.200.0/23 #AS9198 KAZTELECOM-AS, KZ
92.46.208.0/20 #AS9198 KAZTELECOM-AS, KZ
92.46.226.0/23 #AS9198 KAZTELECOM-AS, KZ
92.46.230.0/24 #AS9198 KAZTELECOM-AS, KZ
92.46.232.0/23 #AS9198 KAZTELECOM-AS, KZ
92.46.238.0/24 #AS9198 KAZTELECOM-AS, KZ
92.46.240.0/21 #AS9198 KAZTELECOM-AS, KZ
92.46.252.0/23 #AS9198 KAZTELECOM-AS, KZ
92.47.0.0/19 #AS9198 KAZTELECOM-AS, KZ
92.47.32.0/20 #AS9198 KAZTELECOM-AS, KZ
92.47.48.0/22 #AS9198 KAZTELECOM-AS, KZ
92.47.52.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.54.0/23 #AS9198 KAZTELECOM-AS, KZ
92.47.56.0/23 #AS9198 KAZTELECOM-AS, KZ
92.47.58.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.61.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.67.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.68.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.70.0/23 #AS9198 KAZTELECOM-AS, KZ
92.47.72.0/22 #AS9198 KAZTELECOM-AS, KZ
92.47.78.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.80.0/21 #AS9198 KAZTELECOM-AS, KZ
92.47.88.0/23 #AS9198 KAZTELECOM-AS, KZ
92.47.91.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.96.0/20 #AS9198 KAZTELECOM-AS, KZ
92.47.112.0/21 #AS9198 KAZTELECOM-AS, KZ
92.47.120.0/22 #AS9198 KAZTELECOM-AS, KZ
92.47.128.0/20 #AS9198 KAZTELECOM-AS, KZ
92.47.152.0/22 #AS9198 KAZTELECOM-AS, KZ
92.47.156.0/23 #AS9198 KAZTELECOM-AS, KZ
92.47.158.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.160.0/24 #AS9198 KAZTELECOM-AS, KZ
92.47.164.0/22 #AS9198 KAZTELECOM-AS, KZ
92.47.168.0/21 #AS9198 KAZTELECOM-AS, KZ
92.47.176.0/20 #AS9198 KAZTELECOM-AS, KZ
92.47.192.0/18 #AS9198 KAZTELECOM-AS, KZ
93.95.240.0/21 #AS9198 KAZTELECOM-AS, KZ
95.56.0.0/14 #AS9198 KAZTELECOM-AS, KZ
144.209.82.0/24 #AS9198 KAZTELECOM-AS, KZ
145.255.160.0/19 #AS9198 KAZTELECOM-AS, KZ
147.30.0.0/16 #AS9198 KAZTELECOM-AS, KZ
178.88.0.0/14 #AS9198 KAZTELECOM-AS, KZ
185.35.16.0/22 #AS9198 KAZTELECOM-AS, KZ
192.11.10.0/24 #AS9198 KAZTELECOM-AS, KZ
195.12.111.0/24 #AS9198 KAZTELECOM-AS, KZ
195.82.0.0/19 #AS9198 KAZTELECOM-AS, KZ
212.13.128.0/18 #AS9198 KAZTELECOM-AS, KZ
212.19.128.0/20 #AS9198 KAZTELECOM-AS, KZ
212.19.144.0/22 #AS9198 KAZTELECOM-AS, KZ
212.19.149.0/24 #AS9198 KAZTELECOM-AS, KZ
212.19.150.0/24 #AS9198 KAZTELECOM-AS, KZ
212.19.159.0/24 #AS9198 KAZTELECOM-AS, KZ
212.154.128.0/19 #AS9198 KAZTELECOM-AS, KZ
212.154.160.0/20 #AS9198 KAZTELECOM-AS, KZ
212.154.176.0/23 #AS9198 KAZTELECOM-AS, KZ
212.154.178.0/24 #AS9198 KAZTELECOM-AS, KZ
212.154.196.0/22 #AS9198 KAZTELECOM-AS, KZ
212.154.200.0/22 #AS9198 KAZTELECOM-AS, KZ
212.154.204.0/23 #AS9198 KAZTELECOM-AS, KZ
212.154.208.0/21 #AS9198 KAZTELECOM-AS, KZ
212.154.233.0/24 #AS9198 KAZTELECOM-AS, KZ
212.154.248.0/22 #AS9198 KAZTELECOM-AS, KZ
212.154.254.0/24 #AS9198 KAZTELECOM-AS, KZ
213.211.64.0/18 #AS9198 KAZTELECOM-AS, KZ
