5.188.174.0/23 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
91.192.82.0/24 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
93.189.59.0/24 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
109.122.206.0/24 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
185.224.251.0/24 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
213.111.134.0/23 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
213.111.140.0/23 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
213.183.34.0/23 #AS49287 SWIFTYCDN-AS Melbikomas UAB, LT
194.0.160.0/24 #AS42181 ASSECO-LIETUVA-AS UAB Asseco Lietuva, LT
92.62.134.0/24 #AS208119 RUPTELA UAB Ruptela, LT
185.11.24.0/24 #AS61091 PLIUS-AS UAB Diginet LTU, LT
82.135.160.0/21 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.0.0/17 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.128.0/18 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.200.0/21 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.208.0/20 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.224.0/21 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.232.0/23 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.236.0/22 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
86.100.240.0/20 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
212.59.18.0/24 #AS39007 BALTICUM-TV-AS UAB Balticum TV, LT
5.180.220.0/22 #AS203061 ITPROXIMUS UAB code200, LT
5.181.88.0/22 #AS203061 ITPROXIMUS UAB code200, LT
5.252.120.0/22 #AS203061 ITPROXIMUS UAB code200, LT
23.230.104.0/24 #AS203061 ITPROXIMUS UAB code200, LT
45.10.232.0/23 #AS203061 ITPROXIMUS UAB code200, LT
45.11.240.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.13.72.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.39.106.0/24 #AS203061 ITPROXIMUS UAB code200, LT
45.80.60.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.84.160.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.90.112.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.91.176.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.93.0.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.93.52.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.128.44.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.130.112.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.133.40.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.138.204.0/22 #AS203061 ITPROXIMUS UAB code200, LT
45.139.116.0/22 #AS203061 ITPROXIMUS UAB code200, LT
72.63.4.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.16.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.36.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.52.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.76.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.84.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.96.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.108.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.128.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.212.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.244.0/23 #AS203061 ITPROXIMUS UAB code200, LT
72.63.252.0/23 #AS203061 ITPROXIMUS UAB code200, LT
78.142.252.0/22 #AS203061 ITPROXIMUS UAB code200, LT
79.110.239.0/24 #AS203061 ITPROXIMUS UAB code200, LT
82.27.227.0/24 #AS203061 ITPROXIMUS UAB code200, LT
83.171.201.0/24 #AS203061 ITPROXIMUS UAB code200, LT
83.171.202.0/24 #AS203061 ITPROXIMUS UAB code200, LT
84.37.36.0/23 #AS203061 ITPROXIMUS UAB code200, LT
85.208.40.0/22 #AS203061 ITPROXIMUS UAB code200, LT
88.218.166.0/23 #AS203061 ITPROXIMUS UAB code200, LT
91.204.48.0/22 #AS203061 ITPROXIMUS UAB code200, LT
92.118.12.0/22 #AS203061 ITPROXIMUS UAB code200, LT
92.119.152.0/22 #AS203061 ITPROXIMUS UAB code200, LT
92.249.16.0/22 #AS203061 ITPROXIMUS UAB code200, LT
93.152.100.0/24 #AS203061 ITPROXIMUS UAB code200, LT
93.185.168.0/22 #AS203061 ITPROXIMUS UAB code200, LT
95.214.20.0/22 #AS203061 ITPROXIMUS UAB code200, LT
95.214.188.0/22 #AS203061 ITPROXIMUS UAB code200, LT
135.196.218.0/24 #AS203061 ITPROXIMUS UAB code200, LT
135.196.227.0/24 #AS203061 ITPROXIMUS UAB code200, LT
141.98.180.0/22 #AS203061 ITPROXIMUS UAB code200, LT
144.48.82.0/24 #AS203061 ITPROXIMUS UAB code200, LT
154.30.28.0/22 #AS203061 ITPROXIMUS UAB code200, LT
168.205.72.0/22 #AS203061 ITPROXIMUS UAB code200, LT
169.239.200.0/23 #AS203061 ITPROXIMUS UAB code200, LT
169.239.203.0/24 #AS203061 ITPROXIMUS UAB code200, LT
170.245.40.0/22 #AS203061 ITPROXIMUS UAB code200, LT
171.22.228.0/22 #AS203061 ITPROXIMUS UAB code200, LT
176.124.48.0/22 #AS203061 ITPROXIMUS UAB code200, LT
185.12.184.0/22 #AS203061 ITPROXIMUS UAB code200, LT
185.121.171.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.144.13.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.147.32.0/23 #AS203061 ITPROXIMUS UAB code200, LT
185.183.44.0/22 #AS203061 ITPROXIMUS UAB code200, LT
185.207.37.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.207.38.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.214.172.0/22 #AS203061 ITPROXIMUS UAB code200, LT
185.222.213.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.239.244.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.239.246.0/23 #AS203061 ITPROXIMUS UAB code200, LT
185.244.105.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.246.236.0/22 #AS203061 ITPROXIMUS UAB code200, LT
185.248.25.0/24 #AS203061 ITPROXIMUS UAB code200, LT
185.254.16.0/23 #AS203061 ITPROXIMUS UAB code200, LT
188.212.6.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.10.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.12.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.24.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.100.0/22 #AS203061 ITPROXIMUS UAB code200, LT
189.81.114.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.124.0/22 #AS203061 ITPROXIMUS UAB code200, LT
189.81.144.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.150.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.156.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.162.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.192.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.210.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.214.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.224.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.81.236.0/22 #AS203061 ITPROXIMUS UAB code200, LT
189.104.20.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.46.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.50.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.52.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.84.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.90.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.92.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.108.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.156.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.178.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.180.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.198.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.208.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.212.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.220.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.238.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.244.0/22 #AS203061 ITPROXIMUS UAB code200, LT
193.84.183.0/24 #AS203061 ITPROXIMUS UAB code200, LT
193.104.96.0/24 #AS203061 ITPROXIMUS UAB code200, LT
194.32.116.0/22 #AS203061 ITPROXIMUS UAB code200, LT
213.201.132.0/24 #AS203061 ITPROXIMUS UAB code200, LT
213.201.139.0/24 #AS203061 ITPROXIMUS UAB code200, LT
193.219.8.0/23 #AS35135 LBANK-AS Bank of Lithuania, LT
91.206.140.0/24 #AS35500 WESTERNUNION-AS Western Union Processing Lithuania UAB, LT
193.47.143.0/24 #AS35500 WESTERNUNION-AS Western Union Processing Lithuania UAB, LT
193.34.84.0/22 #AS44246 BITOSIS UAB Bitosis, LT
46.255.208.0/21 #AS42774 BB-AS Blue Bridge MSP UAB, LT
185.141.160.0/22 #AS42774 BB-AS Blue Bridge MSP UAB, LT
194.110.220.0/24 #AS42774 BB-AS Blue Bridge MSP UAB, LT
164.37.43.0/24 #AS197417 DEVORO UAB Devoro, LT
78.24.72.0/22 #AS3266 INTERLINK UAB Porenta, LT
78.24.77.0/24 #AS3266 INTERLINK UAB Porenta, LT
78.24.78.0/23 #AS3266 INTERLINK UAB Porenta, LT
185.216.46.0/24 #AS8892 SKLNK UAB Skylink LT., LT
193.8.246.0/24 #AS8892 SKLNK UAB Skylink LT., LT
185.216.208.0/24 #AS47929 BK-AS UAB Baltnetos komunikacijos, LT
77.90.99.0/24 #AS202725 ZETANETAS UAB Zetanetas, LT
185.168.12.0/22 #AS202725 ZETANETAS UAB Zetanetas, LT
45.135.250.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
46.236.216.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
62.3.20.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
64.204.1.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
79.172.193.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
80.240.89.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
82.29.76.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
82.163.56.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
82.198.252.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
91.124.92.0/23 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
92.114.40.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
151.244.142.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
151.245.214.0/23 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
151.246.32.0/21 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
169.40.64.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
169.40.212.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
169.40.216.0/21 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
178.95.152.0/23 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
185.116.91.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.216.160.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.217.0.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.217.40.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.217.140.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
103.230.143.0/24 #AS203098 TECH-INTERNET-BROADBAND trafficforce UAB, LT
185.90.63.0/24 #AS203098 TECH-INTERNET-BROADBAND trafficforce UAB, LT
81.7.108.0/22 #AS49602 KRENA Private Limited Liability Company KRENA, LT
81.7.112.0/23 #AS49602 KRENA Private Limited Liability Company KRENA, LT
158.129.128.0/18 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.40.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.48.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.56.0/22 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.80.0/20 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.128.0/20 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.144.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.201.32.0/24 #AS198009 AI-AS Ashburn International Ltd., LT
91.220.59.0/24 #AS51719 GENFIN UAB GF bankas, LT
23.129.200.0/24 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
64.137.56.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
64.137.92.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
64.137.96.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.143.224.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.143.244.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.143.246.0/24 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
