78.111.101.0/24 #AS59245 GCORELABSSA-AS-AP G-Core Labs S.A, LU
195.13.54.0/23 #AS59245 GCORELABSSA-AS-AP G-Core Labs S.A, LU
153.94.16.0/20 #AS204279 ELTRONA Eltrona Interdiffusion S.A., LU
178.249.192.0/21 #AS204279 ELTRONA Eltrona Interdiffusion S.A., LU
185.108.248.0/22 #AS204279 ELTRONA Eltrona Interdiffusion S.A., LU
192.98.120.0/21 #AS204279 ELTRONA Eltrona Interdiffusion S.A., LU
82.117.241.0/24 #AS212630 AS-LUXAIRPORT Societe de l'aeroport de Luxembourg SA, LU
91.209.220.0/24 #AS212630 AS-LUXAIRPORT Societe de l'aeroport de Luxembourg SA, LU
148.78.116.0/24 #AS207870 EPICGA-DC4-AS Epic Games International S.a r.l., LU
148.78.119.0/24 #AS207870 EPICGA-DC4-AS Epic Games International S.a r.l., LU
5.180.195.0/24 #AS199839 MIKENETWORKS-AS MikeNetworks S.a r.l.-S., LU
31.24.249.0/24 #AS199839 MIKENETWORKS-AS MikeNetworks S.a r.l.-S., LU
217.117.192.0/22 #AS3347 CETREL-LU-AS1 Worldline Financial Services (Europe) S.A., LU
217.117.196.0/24 #AS3347 CETREL-LU-AS1 Worldline Financial Services (Europe) S.A., LU
217.117.207.0/24 #AS3347 CETREL-LU-AS1 Worldline Financial Services (Europe) S.A., LU
185.26.160.0/22 #AS60288 EUROBASEGMBH Eurobase GmbH, LU
193.168.8.0/24 #AS210872 NSPA NATO SUPPORT AND PROCUREMENT AGENCY, LU
194.61.0.0/24 #AS213216 LUXCHAN LuxChan S.A R.L.-S, LU
44.9.16.0/21 #AS15780 LARU Luxembourg Amateur Radio Union A.s.b.l., LU
91.198.126.0/24 #AS43719 KYNDRYL-LUXEMBOURG-AS Kyndryl Luxembourg Sarl, LU
194.102.147.0/24 #AS62285 M7GROUP-NL Canal+ Luxembourg Sarl, LU
185.135.248.0/22 #AS203398 ROTAREX Rotarex S.A., LU
2.56.221.0/24 #AS202422 GHOST G-Core Labs S.A., LU
2.56.222.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.8.24.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.8.32.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.8.34.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.8.40.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.8.71.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.8.94.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.45.184.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.45.186.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.101.216.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.181.25.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.181.27.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.181.76.0/23 #AS202422 GHOST G-Core Labs S.A., LU
