41.140.0.0/14 #AS6713 IAM-AS, MA
41.248.0.0/14 #AS6713 IAM-AS, MA
62.251.128.0/17 #AS6713 IAM-AS, MA
81.192.0.0/16 #AS6713 IAM-AS, MA
102.48.0.0/13 #AS6713 IAM-AS, MA
102.72.0.0/13 #AS6713 IAM-AS, MA
105.128.0.0/11 #AS6713 IAM-AS, MA
154.144.0.0/13 #AS6713 IAM-AS, MA
155.91.75.0/24 #AS6713 IAM-AS, MA
160.77.0.0/16 #AS6713 IAM-AS, MA
160.89.0.0/16 #AS6713 IAM-AS, MA
160.90.0.0/16 #AS6713 IAM-AS, MA
160.105.0.0/16 #AS6713 IAM-AS, MA
160.160.0.0/12 #AS6713 IAM-AS, MA
193.188.7.0/24 #AS6713 IAM-AS, MA
193.194.50.0/24 #AS6713 IAM-AS, MA
194.204.192.0/18 #AS6713 IAM-AS, MA
196.66.0.0/15 #AS6713 IAM-AS, MA
196.68.0.0/15 #AS6713 IAM-AS, MA
196.70.248.0/21 #AS6713 IAM-AS, MA
196.71.0.0/16 #AS6713 IAM-AS, MA
196.72.0.0/15 #AS6713 IAM-AS, MA
196.76.0.0/16 #AS6713 IAM-AS, MA
196.78.0.0/15 #AS6713 IAM-AS, MA
196.80.0.0/13 #AS6713 IAM-AS, MA
196.88.0.0/16 #AS6713 IAM-AS, MA
196.90.0.0/15 #AS6713 IAM-AS, MA
196.92.0.0/21 #AS6713 IAM-AS, MA
196.93.0.0/16 #AS6713 IAM-AS, MA
196.94.0.0/15 #AS6713 IAM-AS, MA
196.206.0.0/16 #AS6713 IAM-AS, MA
196.217.0.0/16 #AS6713 IAM-AS, MA
197.128.0.0/14 #AS6713 IAM-AS, MA
212.217.0.0/17 #AS6713 IAM-AS, MA
